"","phylum_class","nb_NS","nb_NS_ncbi","nb_NS_withCS","nb_NS_withCS_ncbi","mean_Nb_CS_perCpx","sd_Nb_CS_perCpx","tot_BS_inCS","prop_withCS_ncbi","total_estim_BS","estim_missed_BS","prop_missed_BS","prop_withCSncbi_ncbi","total_estim_BS_bis","estim_missed_BS_bis","prop_missed_BS_bis"
"1","Annelida_",187,52,0,0,NA,NA,NA,0,NA,NA,NA,0,NA,NA,NA
"2","Annelida_Clitellata",953,167,3,3,5.2,4.43846820423443,26,0.0179640718562874,1024.90299401198,71.902994011976,0.0754491017964072,0.0179640718562874,1024.90299401198,71.902994011976,0.0754491017964072
"3","Annelida_Polychaeta",11264,1194,64,49,2.99180327868852,1.74154819334442,365,0.0536013400335008,12466.5820907818,1202.58209078178,0.106763324820825,0.0410385259631491,12184.7269132548,920.726913254799,0.0817406705659445
"4","Arthropoda_",13,1,0,0,NA,NA,NA,0,NA,NA,NA,0,NA,NA,NA
"5","Arthropoda_Arachnida",1522,60,0,0,2.5,0.707106781186548,5,0,1522,0,0,0,1522,0,0
"6","Arthropoda_Branchiopoda",49,26,0,0,NA,NA,NA,0,NA,NA,NA,0,NA,NA,NA
"7","Arthropoda_Cephalocarida",12,3,0,0,NA,NA,NA,0,NA,NA,NA,0,NA,NA,NA
"8","Arthropoda_Chilopoda",47,7,0,0,NA,NA,NA,0,NA,NA,NA,0,NA,NA,NA
"9","Arthropoda_Collembola",27,8,0,0,NA,NA,NA,0,NA,NA,NA,0,NA,NA,NA
"10","Arthropoda_Copepoda",10390,620,21,18,8,NA,8,0.0338709677419355,12853.435483871,2463.43548387097,0.237096774193548,0.0290322580645161,12501.5161290323,2111.51612903226,0.203225806451613
"11","Arthropoda_Diplopoda",9,3,0,0,NA,NA,NA,0,NA,NA,NA,0,NA,NA,NA
"12","Arthropoda_Ichthyostraca",57,2,0,0,NA,NA,NA,0,NA,NA,NA,0,NA,NA,NA
"13","Arthropoda_Insecta",1585,343,1,1,3,NA,3,0.00291545189504373,1594.24198250729,9.24198250728864,0.00583090379008747,0.00291545189504373,1594.24198250729,9.24198250728864,0.00583090379008747
"14","Arthropoda_Malacostraca",31162,3991,76,68,3.41025641025641,2.57693297436636,399,0.0190428464044099,32592.2779201922,1430.27792019223,0.0458981426157573,0.0170383362565773,32441.7223496457,1279.72234964568,0.0410667591825196
"15","Arthropoda_Merostomata",4,4,0,0,NA,NA,NA,0,NA,NA,NA,0,NA,NA,NA
