"Class","Nb_NomSp","Nb_CS","Nb_RIOK","Nb_CSss","Nb_1cpa","Nb_ncbi","Nb_mito","Nb_mitonuc","ferti","ferti_I","image","genitals","hard_skeleton","res0","res1","res1m","res1b","res2","Phylum","gs_Mean","yearb_Median","nsessile","sum4Traits","nimage","res"
"Anthozoa",7124,47,35,19,35,1987,1853,1426,"E","FALSE","N","N","Y",0.0755657338295166,-0.268228251759356,-0.165955720441406,-1.03954577128294,-0.242613757817733,"Cnidaria",6.623148148,1914,1,3,1,1.45034336184
"Staurozoa",49,0,0,0,0,25,24,24,"E","FALSE","N","N","N",-1.09340358408868,-1.06669478529295,-1.05293380241833,-1.26903679385141,-1.0652160447917,"Cnidaria",4.454545455,1910,1,4,1,-2.75549490437948
"Cubozoa",47,1,1,0,1,25,21,17,"I","TRUE","N","N","N",0.741591126000013,0.518950366207702,0.635047123725599,0.485377423158906,0.58005074382908,"Cnidaria",2.611111111,1967,0,2,1,-1.70494819018801
"Hydrozoa",3691,62,22,10,15,869,832,525,"E","FALSE","N","N","N",7.22798479742641,6.95738941487863,6.85707833706153,7.02867648478361,6.8761764072998,"Cnidaria",6.698729583,1932,1,4,1,13.2578335684522
"Scyphozoa",221,16,14,12,7,87,79,74,"E","FALSE","N","N","N",6.81134231863866,6.16701299360336,6.29957111746514,5.60513769345707,6.22691415399552,"Cnidaria",3.540983607,1898,0,3,1,4.35002388990149
"Leptocardii",30,1,0,0,1,11,11,6,"E","FALSE","N","N","N",1.27479305297326,1.10226863217299,1.08615534627152,1.18487827966113,1.08530481394966,"Chordata",10,1922,0,3,1,-1.63714918216726
"Ascidiacea",2924,16,10,3,14,311,284,125,"B","FALSE","N","N","N",1.53330519625293,1.8515177785257,1.63737485097426,2.3259096417797,1.76254990452089,"Chordata",17.20588235,1963,1,3.5,1,4.52221945084074
"Elasmobranchii",1223,13,8,6,13,770,765,354,"I","TRUE","Y","Y","Y",-0.502950791708688,-1.05871165557831,-1.04192724969371,0.093298047965439,-1.1103732035708,"Chordata",6.084577114,1939,0,0,0,4.26120626340382
"Holocephali",56,0,0,0,0,35,35,8,"I","TRUE","Y","Y","Y",-1.31402207116419,-1.25081111070882,-1.25192688693442,-0.813638442985408,-1.26133483663132,"Chordata",9.333333333,1969,0,0,0,-2.64062965334212
"Reptilia",93,3,3,1,3,76,76,74,"I","TRUE","Y","Y","Y",1.41801421313388,0.927664911397653,0.936714834243218,0.378601041232399,0.907915392807831,"Chordata",2.447368421,1852,0,0,0,-0.562852295066009
"Mammalia",134,4,3,2,4,130,130,123,"I","TRUE","Y","Y","Y",1.24057919729541,0.659368468617454,0.678264144468762,0.0291595101248169,0.637716070220645,"Chordata",1.970588235,1829,0,0,0,-0.185138661229882
"Actinopterygii",16749,148,66,48,86,9477,9313,5822,"E","FALSE","Y","N","Y",-3.25682432150248,-4.7542244051344,-4.61647127766989,-4.0583275207813,-4.8698153052209,"Chordata",5.607429719,1928,0,1,0,-0.409653861070155
"Sagittoidea",132,3,1,2,3,42,33,25,"I","TRUE","N","N","N",1.7976466249075,1.59519679307459,1.78566173885556,1.65196337692981,1.70527549858124,"Chaetognatha",5.076923077,1968,0,2,1,-0.482283980036658
"Enteropneusta",108,1,0,0,1,32,26,25,"E","FALSE","N","N","N",0.3485252298173,0.239382022901546,0.351480138335827,0.0731112167108164,0.304163615669243,"Hemichordata",4.909090909,1923,0.5,3.5,1,-1.75605990374169
