"Class";"Nb_NomSp";"Nb_CS";"Nb_ncbi";"Nb_mito";"ferti";"ferti_I";"image";"genitals";"hard_skeleton";"res0";"res1";"res2";"Phylum";"gs_Mean";"year_Median"
"Anthozoa";7156;26;1621;1500;"E";FALSE;"N";"N";"Y";0.0203719538205627;-0.210289303565185;-0.209121247551613;"Cnidaria";6.617946346;1914
"Staurozoa";49;0;9;9;"E";FALSE;"N";"N";"N";-0.491585913744951;-0.570590492867083;-0.574362014798069;"Cnidaria";4.454545455;1910
"Cubozoa";47;0;23;19;"I";TRUE;"N";"N";"N";-0.765307449696021;-0.789176230492637;-0.778465454661323;"Cnidaria";2.611111111;1967
"Hydrozoa";3691;21;673;636;"E";FALSE;"N";"N";"N";2.43555190858136;2.27968418444557;2.26056932550377;"Cnidaria";6.698729583;1932
"Scyphozoa";221;3;68;49;"E";FALSE;"N";"N";"N";1.82369659385992;1.57253424231398;1.62376099492166;"Cnidaria";3.540983607;1898
"Leptocardii";30;1;10;10;"E";FALSE;"N";"N";"N";1.66539973192679;1.45429639011809;1.44842400241073;"Chordata";10;1922
"Ascidiacea";2925;14;228;194;"B";FALSE;"N";"N";"N";2.49891384129951;2.60296535336458;2.59212090155992;"Chordata";17.20588235;1963
"Elasmobranchii";1223;8;710;705;"I";TRUE;"Y";"Y";"Y";0.0372005878807676;-0.439413335175607;-0.458068687357189;"Chordata";6.084577114;1939
"Holocephali";56;0;27;27;"I";TRUE;"Y";"Y";"Y";-0.836861644576145;-0.856341964415046;-0.859952773247149;"Chordata";9.333333333;1969
"Reptilia";93;3;72;72;"I";TRUE;"Y";"Y";"Y";2.30493046863061;1.73566849948334;1.72742456560334;"Chordata";2.447368421;1852
"Mammalia";134;0;130;130;"I";TRUE;"Y";"Y";"Y";-1.91967423917717;-1.77989804358058;-1.78544223197123;"Chordata";1.970588235;1829
"Actinopterygii";16753;89;7866;7616;"E";FALSE;"Y";"N";"Y";-0.749471761271726;-1.83080931304242;-1.85241273718369;"Chordata";5.604347826;1928
"Sagittoidea";132;2;40;23;"I";TRUE;"N";"N";"N";1.62631701313201;1.4054666941899;1.47278041652087;"Chaetognatha";5.076923077;1968
"Enteropneusta";108;0;29;25;"E";FALSE;"N";"N";"N";-0.907386231342651;-0.956886457425518;-0.950696483590934;"Hemichordata";4.909090909;1923
"Crinoidea";671;2;146;139;"E";FALSE;"N";"N";"Y";-0.197116775021554;-0.312502093645271;-0.319346910447745;"Echinodermata";3.531578947;1911
"Holothuroidea";1738;2;201;183;"E";FALSE;"N";"N";"Y";-1.23284437500358;-1.32373015332299;-1.33318551339899;"Echinodermata";7.333333333;1928
"Echinoidea";1014;4;243;223;"E";FALSE;"N";"N";"Y";0.164582236694014;0.0090139952049458;0.0131395520079701;"Echinodermata";3.930232558;1907
"Ophiuroidea";2094;10;331;323;"E";FALSE;"N";"N";"Y";1.41260838582791;1.32340908727635;1.29423085096834;"Echinodermata";8.11627907;1911
"Asteroidea";1904;11;381;368;"E";FALSE;"N";"N";"Y";1.702966503218;1.53443685175948;1.51358158260371;"Echinodermata";5.437142857;1912
"Enoplea";1654;1;32;12;"I";TRUE;"N";"Y";"N";-0.870800389927792;-1.11233581575374;-1.11647974349058;"Nematoda";7.985507246;1959
"Chromadorea";4318;5;232;89;"I";TRUE;"N";"Y";"N";-1.10705455656415;-1.23180449786275;-1.15895458107376;"Nematoda";7.72450805;1973
"Heterotardigrada";204;1;14;5;"I";TRUE;"N";"N";"N";0.778174596032572;0.750832431564757;0.781408266204444;"Tardigrada";4.163265306;1987
"Eutardigrada";5;0;2;1;"I";TRUE;"N";"N";"N";-0.167678002410356;-0.237904551467219;-0.227192665341195;"Tardigrada";2.5;1980
"Diplopoda";9;0;3;3;"I";TRUE;"N";"Y";"Y";-0.228187050465294;-0.298177689262974;-0.299674463729841;"Arthropoda";1.125;1928
"Chilopoda";47;0;7;6;"I";TRUE;"N";"Y";"Y";-0.438964397927829;-0.526307017684011;-0.524893680742553;"Arthropoda";2.043478261;1934
