"NameBeforeCor";"Authors_publication";"Title_publication";"Year_publication";"Journal";"Volume";"BP";"EP";"GeneticMarker_fromAuth";"Nb_CScomplex_inArticle";"acceptedName_worms";"class_worms";"phylum_worms";"Npol";"Ntemp";"Trop";"Stemp";"Spol";"gs";"ncbi";"mito";"Eco_diff";"Nb_CS";"Nig";"Nsg";"Nim";"Nsm";"Habitat";"Larva";"adultDispersal";"region";"range_lat_NotRarefied";"range_long_NotRarefied";"CHull_NotRarefied";"NbSitesObis_beforeRaref";"range_lat_r100";"range_long_r100";"range_CHull_r100";"NbSitesUsed_r100";"RIOK_Nomsp";"Morpho_diff";"Geo_diff";"RIOK";"larv.pktro";"larv.leci";"larv.dd";"larv.pel";"larva";"Hpelagic";"Hcoastal";"Hcoralreef";"Hdeepsea";"Hintertidal";"Hseagrass";"Hestuarine";"Hcave";"adultbenthic";"adultpelagic";"Demersal";"HKKv2";"HKKv3";"Hsubstrate";"HDifAccess";"Dispers";"DispAdult"
"Alitta virens";"Carr, Christina M.; Hardy, Sarah M.; Brown, Tanya M.; Macdonald, Tara A.; Hebert, Paul D. N.";"A Tri-Oceanic Perspective: DNA Barcoding Reveals Geographic Structure and Cryptic Diversity in Canadian Polychaetes";2011;"PLOS ONE";6;NA;"";"mtDNA";33;"Alitta virens";"Polychaeta";"Annelida";TRUE;TRUE;TRUE;FALSE;FALSE;8;TRUE;TRUE;NA;2;NA;NA;NA;NA;"Coastal";NA;"Demersal or benthic";"Atlantic, Pacific";57,88916667;212,3499976;90311069,21;1971;24,50066477;163,6600037;30941926,53;100;NA;NA;"Allopatric";NA;NA;NA;NA;NA;NA;FALSE;TRUE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;TRUE;FALSE;TRUE;"25";"25";NA;"Normal";NA;"Demersal or benthic"
"Barantolla americana";"Carr, Christina M.; Hardy, Sarah M.; Brown, Tanya M.; Macdonald, Tara A.; Hebert, Paul D. N.";"A Tri-Oceanic Perspective: DNA Barcoding Reveals Geographic Structure and Cryptic Diversity in Canadian Polychaetes";2011;"PLOS ONE";6;NA;"";"mtDNA";33;"Barantolla americana";"Polychaeta";"Annelida";FALSE;TRUE;FALSE;FALSE;FALSE;4;FALSE;FALSE;NA;2;NA;NA;NA;NA;"Coastal";NA;"Demersal or benthic";"Pacific";42,71359634;93,43779755;7064325,34;50;NA;NA;NA;NA;NA;NA;"Sympatric";NA;NA;NA;NA;NA;NA;FALSE;TRUE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;TRUE;FALSE;TRUE;"25";"25";NA;"Normal";NA;"Demersal or benthic"
"Brada villosa";"Carr, Christina M.; Hardy, Sarah M.; Brown, Tanya M.; Macdonald, Tara A.; Hebert, Paul D. N.";"A Tri-Oceanic Perspective: DNA Barcoding Reveals Geographic Structure and Cryptic Diversity in Canadian Polychaetes";2011;"PLOS ONE";6;NA;"";"mtDNA";33;"Bradabyssa villosa";"Polychaeta";"Annelida";TRUE;TRUE;TRUE;TRUE;TRUE;5;FALSE;FALSE;NA;2;NA;NA;NA;NA;"Coastal";NA;"Demersal or benthic";"Arctic, Pacific";149,6500033;310,405;301429124,7;682;141,67167;249,33297;187696550,6;100;NA;NA;"Allopatric";NA;NA;NA;NA;NA;NA;FALSE;TRUE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;TRUE;FALSE;TRUE;"25";"25";NA;"Normal";NA;"Demersal or benthic"
"Chone magna";"Carr, Christina M.; Hardy, Sarah M.; Brown, Tanya M.; Macdonald, Tara A.; Hebert, Paul D. N.";"A Tri-Oceanic Perspective: DNA Barcoding Reveals Geographic Structure and Cryptic Diversity in Canadian Polychaetes";2011;"PLOS ONE";6;NA;"";"mtDNA";33;"Chone magna";"Polychaeta";"Annelida";FALSE;TRUE;FALSE;FALSE;FALSE;21;FALSE;FALSE;NA;2;NA;NA;NA;NA;"Coastal";NA;"Demersal or benthic";"Pacific";43,06129053;153,3175003;14890605,97;35;NA;NA;NA;NA;NA;NA;"Sympatric";NA;NA;NA;NA;NA;NA;FALSE;TRUE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;TRUE;FALSE;TRUE;"25";"25";NA;"Normal";NA;"Demersal or benthic"
"Cirratulus cirratus";"Carr, Christina M.; Hardy, Sarah M.; Brown, Tanya M.; Macdonald, Tara A.; Hebert, Paul D. N.";"A Tri-Oceanic Perspective: DNA Barcoding Reveals Geographic Structure and Cryptic Diversity in Canadian Polychaetes";2011;"PLOS ONE";6;NA;"";"mtDNA";33;"Cirratulus cirratus";"Polychaeta";"Annelida";TRUE;TRUE;TRUE;TRUE;TRUE;43;TRUE;TRUE;NA;3;NA;NA;NA;NA;"Coastal";NA;"Demersal or benthic";"Arctic, Pacific";155,9091667;305,9300006;269601533,5;1585;135,61499;278,04001;197723270,7;100;NA;NA;"Sympatric, Allopatric";NA;NA;NA;NA;NA;NA;FALSE;TRUE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;TRUE;FALSE;TRUE;"25";"25";NA;"Normal";NA;"Demersal or benthic"
"Eteone longa";"Carr, Christina M.; Hardy, Sarah M.; Brown, Tanya M.; Macdonald, Tara A.; Hebert, Paul D. N.";"A Tri-Oceanic Perspective: DNA Barcoding Reveals Geographic Structure and Cryptic Diversity in Canadian Polychaetes";2011;"PLOS ONE";6;NA;"";"mtDNA";33;"Eteone longa";"Polychaeta";"Annelida";TRUE;TRUE;TRUE;FALSE;FALSE;35;TRUE;FALSE;NA;4;NA;NA;NA;NA;"Coastal";NA;"Demersal or benthic";"Arctic";62,42140824;278,8333333;99408434,09;10000;31,00011006;245,36;46244986,49;100;NA;NA;"Sympatric";NA;NA;NA;NA;NA;NA;FALSE;TRUE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;TRUE;FALSE;TRUE;"25";"25";NA;"Normal";NA;"Demersal or benthic"
"Euclimene zonalis";"Carr, Christina M.; Hardy, Sarah M.; Brown, Tanya M.; Macdonald, Tara A.; Hebert, Paul D. N.";"A Tri-Oceanic Perspective: DNA Barcoding Reveals Geographic Structure and Cryptic Diversity in Canadian Polychaetes";2011;"PLOS ONE";6;NA;"";"mtDNA";33;"Clymenella zonalis";"Polychaeta";"Annelida";TRUE;TRUE;FALSE;FALSE;FALSE;18;FALSE;FALSE;NA;2;NA;NA;NA;NA;"Coastal";NA;"Demersal or benthic";"Atlantic";40,86019897;193,6046677;21992587,4;353;27,91440201;71,18942033;8108134,299;100;NA;NA;"Sympatric";NA;NA;NA;NA;NA;NA;FALSE;TRUE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;TRUE;FALSE;TRUE;"25";"25";NA;"Normal";NA;"Demersal or benthic"
"Eumida minuta";"Carr, Christina M.; Hardy, Sarah M.; Brown, Tanya M.; Macdonald, Tara A.; Hebert, Paul D. N.";"A Tri-Oceanic Perspective: DNA Barcoding Reveals Geographic Structure and Cryptic Diversity in Canadian Polychaetes";2011;"PLOS ONE";6;NA;"";"mtDNA";33;"Eumida arctica";"Polychaeta";"Annelida";TRUE;TRUE;TRUE;TRUE;FALSE;34;TRUE;TRUE;NA;2;NA;NA;NA;NA;"Coastal";NA;"Demersal or benthic";"Arctic";104,30693;146,0836738;145676589,5;25;NA;NA;NA;NA;NA;NA;"Sympatric";NA;NA;NA;NA;NA;NA;FALSE;TRUE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;TRUE;FALSE;TRUE;"25";"25";NA;"Normal";NA;"Demersal or benthic"
"Eunoe nodosa";"Carr, Christina M.; Hardy, Sarah M.; Brown, Tanya M.; Macdonald, Tara A.; Hebert, Paul D. N.";"A Tri-Oceanic Perspective: DNA Barcoding Reveals Geographic Structure and Cryptic Diversity in Canadian Polychaetes";2011;"PLOS ONE";6;NA;"";"mtDNA";33;"Eunoe nodosa";"Polychaeta";"Annelida";TRUE;TRUE;FALSE;FALSE;FALSE;49;TRUE;TRUE;NA;2;NA;NA;NA;NA;"Coastal";NA;"Demersal or benthic";"Arctic";46,65450171;256,9278;68146779,69;474;34,69278061;189,6101667;44021526,04;100;NA;NA;"Sympatric";NA;NA;NA;NA;NA;NA;FALSE;TRUE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;TRUE;FALSE;TRUE;"25";"25";NA;"Normal";NA;"Demersal or benthic"
"Eunoe oerstedi";"Carr, Christina M.; Hardy, Sarah M.; Brown, Tanya M.; Macdonald, Tara A.; Hebert, Paul D. N.";"A Tri-Oceanic Perspective: DNA Barcoding Reveals Geographic Structure and Cryptic Diversity in Canadian Polychaetes";2011;"PLOS ONE";6;NA;"";"mtDNA";33;"Eunoe oerstedi";"Polychaeta";"Annelida";TRUE;TRUE;FALSE;FALSE;FALSE;49;TRUE;TRUE;NA;2;NA;NA;NA;NA;"Coastal";NA;"Demersal or benthic";"Atlantic, Arctic";52,05920029;274,6153667;59929240,81;95;NA;NA;NA;NA;NA;NA;"Allopatric";NA;NA;NA;NA;NA;NA;FALSE;TRUE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;TRUE;FALSE;TRUE;"25";"25";NA;"Normal";NA;"Demersal or benthic"
