phylum_class;Nb_NomSp;Nb_CS;Nb_mito;Nb_ncbi;year_Median;gs_Mean;Class;Phylum;ferti;genitals;image;hard_skeleton;ferti_I;res0;res1;res2
Annelida_Clitellata;974;3;171;176;1983;7.065217391;Clitellata;Annelida;E;N;N;N;FALSE;-0.013412153;-0.11547947;-0.131482692
Annelida_Polychaeta;11901;64;975;1199;1962;8.630166788;Polychaeta;Annelida;B;N;N;N;FALSE;5.415951145;5.624230682;5.652256983
Arthropoda_Arachnida;1541;0;41;61;1984;6.642241379;Arachnida;Arthropoda;I;Y;Y;Y;TRUE;-2.012824924;-2.332401533;-2.334319228
Arthropoda_Branchiopoda;49;0;26;26;1887;2.333333333;Branchiopoda;Arthropoda;I;Y;Y;Y;TRUE;-0.816567795;-0.832457842;-0.835815744
Arthropoda_Cephalocarida;12;0;3;3;1973;2.4;Cephalocarida;Arthropoda;I;Y;N;Y;TRUE;-0.235980696;-0.311342378;-0.313132078
Arthropoda_Chilopoda;47;0;6;7;1934;2.043478261;Chilopoda;Arthropoda;I;Y;N;Y;TRUE;-0.438964398;-0.526307018;-0.524893681
Arthropoda_Collembola;33;0;6;8;1924;2.0625;Collembola;Arthropoda;I;Y;N;Y;TRUE;-0.441169167;-0.511043622;-0.503201165
Arthropoda_Copepoda;10740;22;493;621;1967;5.726933333;Copepoda;Arthropoda;I;Y;N;Y;TRUE;0.174068982;0.200286625;0.184960382
Arthropoda_Diplopoda;9;0;3;3;1928;1.125;Diplopoda;Arthropoda;I;Y;N;Y;TRUE;-0.22818705;-0.298177689;-0.299674464
Arthropoda_Ichthyostraca;57;0;0;2;1936;5.7;Ichthyostraca;Arthropoda;I;Y;N;Y;TRUE;-0.308722857;-0.442361506;-0.434808744
Arthropoda_Insecta;1589;1;334;345;1934;4.726190476;Insecta;Arthropoda;I;Y;Y;Y;TRUE;-2.429550767;-2.484441818;-2.49834638
Arthropoda_Malacostraca;32347;76;3637;3999;1970;6.28765792;Malacostraca;Arthropoda;I;Y;Y;Y;TRUE;-1.153594282;-1.150276252;-1.187678931
Arthropoda_Merostomata;4;0;4;4;1793.5;1.333333333;Merostomata;Arthropoda;E;N;Y;Y;FALSE;-0.266266995;-0.311687131;-0.312646671
Arthropoda_Ostracoda;5828;3;59;105;1976;7.79144385;Ostracoda;Arthropoda;I;Y;N;Y;TRUE;-1.885956541;-2.305112953;-2.332032461
Arthropoda_Pauropoda;7;0;0;0;1935;2.333333333;Pauropoda;Arthropoda;I;Y;N;Y;TRUE;-0.018252321;-0.136832006;-0.13871842
Arthropoda_Pycnogonida;1345;2;112;145;1965.5;17.02531646;Pycnogonida;Arthropoda;E;N;N;Y;FALSE;-0.725112268;-0.805857052;-0.787967557
Arthropoda_Remipedia;28;0;16;17;2003.5;2.333333333;Remipedia;Arthropoda;I;Y;N;Y;TRUE;-0.641324572;-0.665059802;-0.663447855
Arthropoda_Symphyla;4;0;0;1;1908;2;Symphyla;Arthropoda;I;N;N;Y;TRUE;-0.100068635;-0.179753606;-0.16486213
Arthropoda_Tantulocarida;38;0;0;2;1991;1.652173913;Tantulocarida;Arthropoda;I;Y;N;Y;TRUE;-0.264577147;-0.380610216;-0.369902942
Arthropoda_Thecostraca;1796;10;252;299;1937.5;6.006688963;Thecostraca;Arthropoda;I;Y;N;Y;TRUE;1.762041099;1.656779126;1.680899053
Brachiopoda_Craniata;12;0;3;3;1920;3;Craniata;Brachiopoda;E;N;N;Y;FALSE;-0.235980696;-0.311342378;-0.313132078
Brachiopoda_Lingulata;24;0;2;8;1846;4;Lingulata;Brachiopoda;E;N;N;Y;FALSE;-0.426806216;-0.486922128;-0.454371169
Brachiopoda_Rhynchonellata;377;0;37;63;1939;3.27826087;Rhynchonellata;Brachiopoda;E;N;N;Y;FALSE;-1.46138528;-1.539465767;-1.503194359
Bryozoa_Gymnolaemata;5604;8;176;191;1952;7.158365262;Gymnolaemata;Bryozoa;I;N;N;Y;TRUE;-0.406811219;-0.518830971;-0.573189542
Bryozoa_Phylactolaemata;3;0;0;0;1915;3;Phylactolaemata;Bryozoa;I;N;N;N;TRUE;0.017609483;-0.089577575;-0.090812523
Bryozoa_Stenolaemata;649;0;19;23;1929;5.232;Stenolaemata;Bryozoa;I;N;N;Y;TRUE;-1.247428453;-1.494314871;-1.503625373
Chaetognatha_Sagittoidea;132;2;23;40;1968.5;5.076923077;Sagittoidea;Chaetognatha;I;N;N;N;TRUE;1.626317013;1.405466694;1.472780417
Chordata_Actinopterygii;16753;89;7616;7866;1928;5.604347826;Actinopterygii;Chordata;E;N;Y;Y;FALSE;-0.749471761;-1.830809313;-1.852412737
Chordata_Appendicularia;68;0;1;7;1905;5.230769231;Appendicularia;Chordata;E;N;N;N;FALSE;-0.474146091;-0.577207129;-0.552919423
Chordata_Ascidiacea;2925;14;194;228;1963;17.20588235;Ascidiacea;Chordata;B;N;N;N;FALSE;2.498913841;2.602965353;2.592120902
Chordata_Aves;569;0;511;513;1821;3.897260274;Aves;Chordata;I;N;Y;Y;TRUE;-3.895694723;-3.550933148;-3.56077338
Chordata_Coelacanthi;2;0;2;2;1969;2;Coelacanthi;Chordata;I;N;Y;Y;TRUE;-0.163210264;-0.220396084;-0.221074581
Chordata_Elasmobranchii;1223;8;705;710;1939;6.084577114;Elasmobranchii;Chordata;I;Y;Y;Y;TRUE;0.037200588;-0.439413335;-0.458068687
Chordata_Holocephali;56;0;27;27;1969;9.333333333;Holocephali;Chordata;I;Y;Y;Y;TRUE;-0.836861645;-0.856341964;-0.859952773
Chordata_Leptocardii;30;1;10;10;1922;10;Leptocardii;Chordata;E;N;N;N;FALSE;1.665399732;1.45429639;1.448424002
Chordata_Mammalia;134;0;130;130;1829;1.970588235;Mammalia;Chordata;I;Y;Y;Y;TRUE;-1.919674239;-1.779898044;-1.785442232
Chordata_Myxini;86;0;30;32;1991;12.28571429;Myxini;Chordata;E;N;N;N;FALSE;-0.93175036;-0.960013278;-0.958863509
Chordata_Petromyzonti;11;0;11;11;1851;1.571428571;Petromyzonti;Chordata;E;N;Y;Y;FALSE;-0.497899272;-0.516874632;-0.51846585
Chordata_Reptilia;93;3;72;72;1852;2.447368421;Reptilia;Chordata;I;Y;Y;Y;TRUE;2.304930469;1.735668499;1.727424566
Chordata_Thaliacea;78;0;4;28;1906;3.12;Thaliacea;Chordata;I;N;N;N;TRUE;-0.868197683;-0.90209632;-0.830408994
Cnidaria_Anthozoa;7156;26;1500;1621;1914;6.617946346;Anthozoa;Cnidaria;E;N;N;Y;FALSE;0.020371954;-0.210289304;-0.209121248
Cnidaria_Cubozoa;47;0;19;23;1967;2.611111111;Cubozoa;Cnidaria;I;N;N;N;TRUE;-0.76530745;-0.78917623;-0.778465455
Cnidaria_Hydrozoa;3691;21;636;673;1932;6.698729583;Hydrozoa;Cnidaria;E;N;N;N;FALSE;2.435551909;2.279684184;2.260569326
Cnidaria_Scyphozoa;221;3;49;68;1898;3.540983607;Scyphozoa;Cnidaria;E;N;N;N;FALSE;1.823696594;1.572534242;1.623760995
Cnidaria_Staurozoa;49;0;9;9;1910;4.454545455;Staurozoa;Cnidaria;E;N;N;N;FALSE;-0.491585914;-0.570590493;-0.574362015
Ctenophora_Nuda;26;0;1;6;1831.5;13;Nuda;Ctenophora;E;N;N;N;FALSE;-0.372967108;-0.446337967;-0.417228297
Ctenophora_Tentaculata;174;0;5;29;1909;3.48;Tentaculata;Ctenophora;E;N;N;N;FALSE;-0.964377352;-1.045065938;-0.987506135
Cycliophora_Eucycliophora;2;1;2;2;2000.5;2;Eucycliophora;Cycliophora;I;N;N;N;TRUE;2.81529981;2.341833615;2.339271037
Dicyemida_Rhombozoa;122;0;9;22;1971;13.55555556;Rhombozoa;Dicyemida;I;N;N;N;TRUE;-0.819016253;-0.895427366;-0.860786797
Echinodermata_Asteroidea;1904;11;368;381;1912;5.437142857;Asteroidea;Echinodermata;E;N;N;Y;FALSE;1.702966503;1.534436852;1.513581583
Echinodermata_Crinoidea;671;2;139;146;1911;3.531578947;Crinoidea;Echinodermata;E;N;N;Y;FALSE;-0.197116775;-0.312502094;-0.31934691
Echinodermata_Echinoidea;1014;4;223;243;1907;3.930232558;Echinoidea;Echinodermata;E;N;N;Y;FALSE;0.164582237;0.009013995;0.013139552
Echinodermata_Holothuroidea;1738;2;183;201;1928;7.333333333;Holothuroidea;Echinodermata;E;N;N;Y;FALSE;-1.232844375;-1.323730153;-1.333185513
Echinodermata_Ophiuroidea;2094;10;323;331;1911;8.11627907;Ophiuroidea;Echinodermata;E;N;N;Y;FALSE;1.412608386;1.323409087;1.294230851
Entoprocta_;193;0;15;21;1962;16.08333333;;Entoprocta;I;N;N;N;TRUE;-0.873557062;-0.98492759;-0.976203621
Gastrotricha_;506;1;41;72;1988;10.76595745;;Gastrotricha;I;Y;N;N;TRUE;-0.31722648;-0.399791925;-0.349171417
Gnathostomulida_;100;0;8;20;1991;3.846153846;;Gnathostomulida;I;Y;N;N;TRUE;-0.765534387;-0.836493547;-0.801626402
Hemichordata_Enteropneusta;108;0;25;29;1923;4.909090909;Enteropneusta;Hemichordata;E;N;N;N;FALSE;-0.907386231;-0.956886457;-0.950696484
Hemichordata_Graptolithoidea;22;0;1;7;1908.5;11;Graptolithoidea;Hemichordata;I;N;N;N;TRUE;-0.395357052;-0.458400728;-0.423399578
Kinorhyncha_;188;1;17;41;1985;8.952380952;;Kinorhyncha;I;Y;N;Y;TRUE;0.461962865;0.343721309;0.419550311
Mollusca_Bivalvia;8340;28;1107;1310;1901;6.916252073;Bivalvia;Mollusca;E;N;N;Y;FALSE;0.613690838;0.525671238;0.566134933
Mollusca_Caudofoveata;141;0;6;7;1985;10.07142857;Caudofoveata;Mollusca;E;N;N;N;FALSE;-0.580112015;-0.726926537;-0.730696031
Mollusca_Cephalopoda;814;9;360;362;1925.5;4.573033708;Cephalopoda;Mollusca;I;Y;Y;Y;TRUE;2.118261844;1.606052763;1.586987319
Mollusca_Gastropoda;37107;81;3974;4106;1937;10.92667845;Gastropoda;Mollusca;B;B;Y;Y;FALSE;-1.404119122;-1.373258763;-1.490521764
Mollusca_Monoplacophora;30;0;3;3;1990;4.285714286;Monoplacophora;Mollusca;E;N;N;Y;FALSE;-0.282955874;-0.380892279;-0.384100487
Mollusca_Polyplacophora;1019;1;155;171;1919;12.27710843;Polyplacophora;Mollusca;E;N;N;Y;FALSE;-1.361768288;-1.445106771;-1.445228425
Mollusca_Scaphopoda;577;0;14;23;1920;12.27659574;Scaphopoda;Mollusca;E;N;N;Y;FALSE;-1.200228619;-1.428424842;-1.426688976
Mollusca_Solenogastres;290;0;7;11;1978;3.222222222;Solenogastres;Mollusca;I;N;N;N;TRUE;-0.817119119;-1.006679981;-1.006852698
Nematoda_Chromadorea;4318;5;89;232;1973;7.72450805;Chromadorea;Nematoda;I;Y;N;N;TRUE;-1.107054557;-1.231804498;-1.158954581
Nematoda_Enoplea;1654;1;12;32;1959;7.985507246;Enoplea;Nematoda;I;Y;N;N;TRUE;-0.87080039;-1.112335816;-1.116479743
Nemertea_Hoplonemertea;676;10;84;92;1937.5;4.017857143;Hoplonemertea;Nemertea;E;N;N;N;FALSE;4.158375585;4.126710262;4.119939571
Nemertea_Palaeonemertea;118;3;24;27;1954;7.866666667;Palaeonemertea;Nemertea;E;N;N;N;FALSE;2.693303648;2.507492282;2.513969516
Nemertea_Pilidiophora;476;2;59;64;1903;4.76;Pilidiophora;Nemertea;E;N;N;N;FALSE;0.610973097;0.541948655;0.536051578
Platyhelminthes_;2200;4;38;281;1971;3.859649123;;Platyhelminthes;I;Y;N;N;TRUE;-0.786286323;-0.861485625;-0.632717939
Porifera_Calcarea;792;3;3;71;1917;9.542168675;Calcarea;Porifera;E;N;N;Y;FALSE;0.81650002;0.793948064;0.923338766
Porifera_Demospongiae;7362;12;524;827;1929;15.36951983;Demospongiae;Porifera;E;N;N;Y;FALSE;-1.610530222;-1.677041324;-1.562012537
Porifera_Hexactinellida;681;0;44;50;1927;5.279069767;Hexactinellida;Porifera;E;N;N;Y;FALSE;-1.523586974;-1.703556679;-1.709802318
Porifera_Homoscleromorpha;126;1;26;29;1998;14;Homoscleromorpha;Porifera;E;N;N;Y;FALSE;0.781945317;0.651047256;0.655156024
Rotifera_Eurotatoria;143;1;17;20;1929;4.333333333;Eurotatoria;Rotifera;I;Y;N;N;TRUE;0.855971412;0.781546757;0.785634984
