"","phylum_worms","Morpho_diff","NoMorphoDiff","StatMorphoDiff","DiagMorphoDiff","Eco_diff","Geo_diff","Geo_dif3","sympara","symp","allop","Hsubstrate","HDifAccess","Hcave","Hintertidal","Hestuarine","Hcoralreef","Hseagrass","Hcoastal","Hdeepsea","Hpelagic"
"phylum_worms",NA,"0***","0***","0.0027**","0.3147","0.9469","0.9305","0.9484","0.0304*","0.0251*","0.0177*","0***","0***","0***","0***","0***","0***","0.8837","0.0037**","0.0292*","0***"
"Morpho_diff","0.0005***",NA,"0***","0***","0***","0.0913","0.0818","0.0806","0.092","0.0532","0.0039**","0.0064**","0.0308*","0.0397*","0.2941","0.2474","0.655","0.0984","0.7856","0.0021**","0.0003***"
"NoMorphoDiff","0.0005***","0.0005***",NA,"0***","0***","0.0831","0.6952","0.5898","0.2632","0.1794","0.1577","0.0018**","0.0051**","0.6384","0.152","0.478","0.7463","0.8308","0.9304","0.0011**","0.2215"
"StatMorphoDiff","0.001**","0.0005***","0***",NA,"0***","0.8161","0.2881","0.1419","0.4078","0.4071","0.0964","0.7104","0.3106","0.4225","0.5969","0.1382","0.7377","0.0789","0.7014","0.3135","0.0001***"
"DiagMorphoDiff","0.3058","0.0005***","0***","0***",NA,"0.1764","0.0071**","0.0192*","0.0395*","0.0228*","0.0013**","0.026*","0.2801","0.055","0.4708","0.505","0.4284","0.1916","0.5583","0.0496*","0.0086**"
"Eco_diff","0.9655","0.099","0.0813","0.8164","0.1746",NA,"0.3611","0.1057","0.6874","0.838","0.2024","0.274","0.0973","1","0.8349","0.2666","1","1","0.1675","0.0469*","1"
"Geo_diff","0.5297","0.0795","0.7286","0.2814","0.008**","0.4988",NA,"0***","0***","0***","0***","0.7779","0.0772","0.9758","0.6737","0.065","0.0722","0.1195","0.0052**","0.003**","0.7701"
"Geo_dif3","0.9235","0.0705","0.6462","0.1449","0.015*","0.1204","0.0005***",NA,"0.0003***","0***","0***","0.9462","0.1036","0.8643","0.3993","0.437","0.048*","0.0381*","0.0054**","0.0178*","0.7316"
"sympara","0.0125*","0.1004","0.2512","0.3853","0.0333*","0.6511","0.0005***","0.0005***",NA,"0***","0***","0.2002","0.5506","0.8272","0.5797","0.5308","0.0989","0.2427","0.0145*","0.5627","0.9938"
"symp","0.01*","0.052","0.1495","0.3892","0.0206*","0.6616","0.0005***","0.0005***","0***",NA,"0***","0.1372","0.4979","0.7713","0.6699","0.1629","0.1017","0.1787","0.0077**","0.3873","0.8525"
"allop","0.0075**","0.004**","0.1356","0.0924","0.0012**","0.1591","0.0005***","0.0005***","0***","0***",NA,"0.6875","0.0615","0.7882","0.4164","0.6502","0.7795","0.997","0.4812","0.0232*","0.7651"
"Hsubstrate","0.0005***","0.0025**","0.0025**","0.7561","0.033*","0.3208","0.7236","0.8876","0.1999","0.1339","0.6592",NA,"0.0001***","0.5489","0***","0.0274*","0.0193*","0.5047","0***","0.017*","0.0003***"
"HDifAccess","0.0005***","0.043*","0.008**","0.3173","0.2734","0.1069","0.039*","0.1004","0.5572","0.4963","0.0645","0.0005***",NA,"0***","0***","0.0107*","0***","0.165","0***","0***","0***"
"Hcave","0.0065**","0.053","0.5602","0.2835","0.0319*","1","0.8681","1","0.6392","0.6325","0.5932","0.5007","0.0005***",NA,"0.7415","1","0.7917","1","0.5299","1","1"
"Hintertidal","0.0005***","0.2814","0.1435","0.5717","0.4084","0.7989","0.7291","0.4303","0.5541","0.6146","0.3677","0.0005***","0.0005***","1",NA,"0.2657","0***","0.9023","0***","0***","0***"
"Hestuarine","0.0005***","0.2904","0.4247","0.1324","0.4384","0.1949","0.098","0.3978","0.503","0.1424","0.6678","0.02*","0.001**","1","0.2463",NA,"0.0087**","1","0***","0.0095**","0.0797"
"Hcoralreef","0.0005***","0.6737","0.6989","0.7184","0.3784","0.8076","0.065","0.0445*","0.0956","0.0971","0.779","0.012*","0.0005***","1","0***","0.0033**",NA,"0.9477","0***","0***","0***"
"Hseagrass","0.4838","0.083","0.7371","0.0568","0.1126","1","0.1424","0.046*","0.211","0.1465","1","0.6567","0.1589","1","1","0.6777","0.7888",NA,"0.2581","0.1666","0.1086"
"Hcoastal","0.0005***","0.7786","0.9193","0.6392","0.5541","0.1509","0.004**","0.005**","0.014*","0.0067**","0.4668","0.0005***","0.0005***","0.3458","0***","0***","0***","0.224",NA,"0***","0.0001***"
"Hdeepsea","0.0445*","0.0055**","0.001**","0.2652","0.0425*","0.0356*","0.0015**","0.0125*","0.5076","0.3778","0.0178*","0.0095**","0.0005***","1","0***","0.0011**","0***","0.0996","0***",NA,"0.0042**"
"Hpelagic","0.0005***","0.0015**","0.1861","0.0002***","0.0054**","1","0.8191","0.8551","0.917","0.8352","0.7376","0.0005***","0.0005***","1","0***","0.0504","0***","0.0618","0***","0.0011**",NA
