"","phylum_worms","Morpho_diff","NoMorphoDiff","StatMorphoDiff","DiagMorphoDiff","Eco_diff","Geo_diff","Geo_dif3","sympara","symp","allop","larv.pktro","larv.leci","larv.dd","larv.pel","DispAdult","Dispers","HKKv2","HKKv3","Hsubstrate","HDifAccess"
"phylum_worms",NA,"0***","0***","0.0027**","0.3147",0.9693,"0.9305","0.9484","0.0304*","0.0251*","0.0177*","0***","0***","0***","0***","0***","0***","0***","0***","0***","0***"
"Morpho_diff","0.0005***",NA,"0***","0***","0***",0.0913,"0.0818","0.0806","0.092","0.0532","0.0039**","0.9139","0.2573","0.3703","0.0063**","0.0003***","0.0691","0.0001***","0***","0.0064**","0.0308*"
"NoMorphoDiff","0.0005***","0.0005***",NA,"0***","0***",0.0831,"0.6952","0.5898","0.2632","0.1794","0.1577","0.9485","0.4963","1","0.928","0.1379","0.3542","0.018*","0.0159*","0.0018**","0.0051**"
"StatMorphoDiff","0.002**","0.0005***","0***",NA,"0***",0.8161,"0.2881","0.1419","0.4078","0.4071","0.0964","0.8826","0.4976","0.2752","0.0063**","0.0001***","0.0156*","0.0006***","0.0002***","0.7104","0.3106"
"DiagMorphoDiff","0.3223","0.0005***","0***","0***",NA,0.1764,"0.0071**","0.0192*","0.0395*","0.0228*","0.0013**","0.7491","0.1326","0.2552","0.0088**","0.018*","0.1551","0.0028**","0.0018**","0.026*","0.2801"
"Eco_diff","0.9565","0.1099","0.084","0.8091","0.1754",NA,"0.6708","0.1598","0.6874","0.7504","0.2005","0.1034","0.4999","0.4733","0.4999","0.0006***","0.2966","0.0312*","0.0382*","0.4878","0.268"
"Geo_diff","0.5192","0.0815","0.7346","0.2699","0.004**",0.5597,NA,"0***","0***","0***","0***","0.5614","0.1028","0.059","0.363","0.7331","0.3581","0.0937","0.0842","0.7779","0.0772"
"Geo_dif3","0.9235","0.062","0.6332","0.1529","0.017*",0.099,"0.0005***",NA,"0.0003***","0***","0***","0.6304","0.8709","0.1679","0.4077","0.5449","0.3288","0.2636","0.1233","0.9462","0.1036"
"sympara","0.014*","0.0855","0.2512","0.3853","0.0333*",0.7376,"0.0005***","0.0005***",NA,"0***","0***","0.7063","0.0634","0.0485*","0.7477","0.4171","0.3189","0.3489","0.2664","0.2002","0.5506"
"symp","0.0105*","0.0475*","0.1495","0.3892","0.0206*",0.7766,"0.0005***","0.0005***","0***",NA,"0***","0.4227","0.0236*","0.1422","0.9471","0.6521","0.4879","0.5517","0.4675","0.1372","0.4979"
"allop","0.0065**","0.0045**","0.1356","0.0924","0.0012**",0.1234,"0.0005***","0.0005***","0***","0***",NA,"0.2186","0.1215","0.2177","0.5874","0.5003","0.425","0.118","0.0965","0.6875","0.0615"
"larv.pktro","0.0005***","0.92","0.9146","0.8411","0.7549",0.0725,"0.5257","0.6002","0.6654","0.3892","0.2133",NA,"0***","0***","0***","0.0788","0***","0.0001***","0.0003***","0.269","0.0223*"
"larv.leci","0.0005***","0.2634","0.4698","0.4979","0.1214",0.5057,"0.0955","0.9185","0.0542","0.019*","0.1065","0***",NA,"0.0002***","0***","0***","0.0938","0.0008***","0.0005***","0***","0.4194"
"larv.dd","0.0005***","0.3738","1","0.2255","0.2546",0.5082,"0.05","0.1744","0.0433*","0.1368","0.1863","0***","0***",NA,"0.0002***","0.6238","0***","0.0179*","0.0086**","0.0437*","0***"
"larv.pel","0.0005***","0.007**","0.8978","0.0055**","0.0059**",0.5012,"0.3618","0.4303","0.7353","0.9329","0.5847","0***","0***","0.0001***",NA,"0***","0***","0***","0***","0.64","0***"
"DispAdult","0.0005***","0.0005***","0.1157","0.0001***","0.011*",0.074,"0.8531","0.6287","0.3903","0.594","0.4949","0.0662","0***","0.5916","0***",NA,"0***","0***","0***","0.5941","0***"
"Dispers","0.0005***","0.0765","0.3533","0.021*","0.1434",0.5192,"0.3243","0.3363","0.3173","0.4888","0.4243","0.0005***","0.0685","0.0005***","0.0005***","0.0005***",NA,"0***","0***","0.0524","0***"
"HKKv2","0.0005***","0.001**","0.0215*","0.0005***","0.0035**",0.092,"0.024*","0.2544","0.3663","0.5552","0.1004","0.001**","0.001**","0.027*","0.0005***","0.0005***","0.0005***",NA,"0***","0***","0***"
"HKKv3","0.0005***","0.0005***","0.0165*","0.0005***","0.002**",0.0795,"0.0225*","0.1024","0.2489","0.4798","0.0885","0.0005***","0.002**","0.0095**","0.0005***","0.0005***","0.0005***","0.0005***",NA,"0.0008***","0***"
"Hsubstrate","0.0005***","0.0065**","0.003**","0.7391","0.0305*",0.4358,"0.7191","0.8996","0.2109","0.1329","0.6802","0.2674","0.0005***","0.0495*","0.7941","1","0.0525","0.0005***","0.0005***",NA,"0.0001***"
"HDifAccess","0.0005***","0.034*","0.0055**","0.3018","0.3023",0.2214,"0.0405*","0.0955","0.5377","0.5007","0.0425*","0.015*","0.4198","0.0005***","0.0005***","0.0005***","0.0005***","0.0005***","0.0005***","0.0005***",NA
