NameBeforeCor,acceptedName_wormsV1,genus_wormsV1,class_wormsV1,phylum_wormsV1,PremierNom,Article_authors,Article_year,Article_title,Article_journal,Article_vol,Article_start.Page,Article_end.Page,GeneticMarker,Nb_CS,Morpho_diff,relativeDistribution,Eco_diff,Repro_diff,RIOK,Nig,Nsg,Nim,Nsm,Region,Comments,Larva,Habitat,adultDispersal,gs,yearb,Nb_CScomplex_inArticle,Npol,Ntemp,Trop,Stemp,Spol,nb_zones,SimplifiedName,ncbi,mito,dna,larv.pktro,larv.leci,larv.dd,larv.pel,larva,Hpelagic,Hcoastal,Hcoralreef,Hdeepsea,Hintertidal,Hseagrass,Hestuarine,Hcave,adultbenthic,adultpelagic,HabAdu,Demersal,HKKv3,Hsubstrate,HDifAccess,Dispers,DispAdult,Geo_dif3,NoMorphoDiff,StatMorphoDiff,DiagMorphoDiff,phylum_class,hard_skeleton,ferti,image,genitals,CSss,Sympatric,Repro_invest,Larv_type,shallow
Abyssorchomene spp.,NA,Abyssorchomene,Malacostraca,Arthropoda,Abyssorchomene,"FRANCE, SC",1994,"GENETIC POPULATION-STRUCTURE AND GENE FLOW AMONG DEEP-SEA AMPHIPODS, ABYSSORCHOMENE SPP, FROM 6 CALIFORNIA CONTINENTAL BORDERLAND BASINS",MARINE BIOLOGY,118,67,77,Allozymes,2,Statistic,Allopatric,Yes,NA,TRUE,831,12,100,5,Pacific,NA,NA,"Soft sediment, Deep sea",Demersal or benthic,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,"Soft sediment, Deep sea,Demersal or benthic",TRUE,100,Sediment,Inaccessible,NA,Demersal or benthic,Allopatric,FALSE,TRUE,FALSE,Arthropoda_Malacostraca,Y,I,Y,Y,TRUE,FALSE,NA,NA,FALSE
Acar spp.,NA,Acar,Bivalvia,Mollusca,Acar,"Marko, P. B.; Moran, A. L.",2009,"Out of sight, out of mind: high cryptic diversity obscures the identities and histories of geminate species in the marine bivalve subgenus Acar",JOURNAL OF BIOGEOGRAPHY,36,1861,1880,"mtDNA, ITS",22,NA,"Allopatric, Sympatric",NA,NA,TRUE,233,42,NA,NA,"Pacific, Caribbean",NA,"Planktotroph, Lecithotrophic",unknown,Demersal or benthic,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,TRUE,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,"unknown,Demersal or benthic",TRUE,NA,NA,Average,NA,Demersal or benthic,"Sympatric, Allopatric",NA,NA,NA,Mollusca_Bivalvia,Y,E,N,N,NA,TRUE,NA,NA,FALSE
Acartia spp.,NA,Acartia,Copepoda,Arthropoda,Acartia,"MCKINNON, AD; KIMMERER, WJ; BENZIE, JAH",1992,"SYMPATRIC SIBLING SPECIES WITHIN THE GENUS ACARTIA (COPEPODA, CALANOIDA) - A CASE-STUDY FROM WESTERNPORT AND PORT PHILLIP BAYS, AUSTRALIA",JOURNAL OF CRUSTACEAN BIOLOGY,12,239,259,Allozymes,2,Statistic,Sympatric,NA,NA,TRUE,97,4,161,7,Australia,NA,"Pelagic, Direct development, Brooding","Pelagic, Coastal","Pelagic, Coastal",NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,"Pelagic, Coastal,Pelagic, Coastal",FALSE,1000,NA,Average,High,Pelagic,Sympatric,FALSE,TRUE,FALSE,Arthropoda_Hexanauplia,NA,NA,NA,NA,TRUE,TRUE,HIGH,DD,FALSE
Acrocnida spp.,NA,Acrocnida,Ophiuroidea,Echinodermata,Acrocnida,"Muths, D.; Davoult, D.; Jolly, M. T.; Gentil, F.; Jollivet, D.",2010,Pre-zygotic factors best explain reproductive isolation between the hybridizing species of brittle-stars Acrocnida brachiata and A. spatulispina (Echinodermata: Ophiuroidea),GENETICA,138,667,679,"mtDNA, Allozymes, ITS",2,NA,Parapatric,Yes,NA,TRUE,529,6,NA,NA,Atlantic,NA,Lecithotrophic,"Soft sediment, Coastal","Demersal or benthic, Coastal",NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,"Soft sediment, Coastal,Demersal or benthic, Coastal",TRUE,25,Sediment,Average,NA,Demersal or benthic,Allopatric,NA,NA,NA,Echinodermata_Ophiuroidea,Y,E,N,N,NA,FALSE,HIGH,LT,FALSE
Acropora spp.,NA,Acropora,Anthozoa,Cnidaria,Acropora,"Nakajima, Yuichi; Nishikawa, Akira; Iguchi, Akira; Sakai, Kazuhiko",2012,The population genetic approach delineates the species boundary of reproductively isolated corymbose acroporid corals,MOLECULAR PHYLOGENETICS AND EVOLUTION,63,527,531,"mtDNA, other nuclear, microsatellites",2,Statistic,"Allopatric, Sympatric",No,Yes,TRUE,157,2,NA,NA,Pacific,Habitat difference mentioned; is in another paper. Actual data on morphological and reproductive differences also in another paper.,"Planktotroph, External fertilization",Coral reef,Demersal or benthic,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,"Coral reef,Demersal or benthic",TRUE,10,NA,Average,NA,Demersal or benthic,"Sympatric, Allopatric",FALSE,TRUE,FALSE,Cnidaria_Anthozoa,Y,E,N,N,TRUE,TRUE,LOW,PT,FALSE
Aglaophamus sp.,NA,Aglaophamus,Polychaeta,Annelida,Aglaophamus,"Brasier, MJ; Harle, J; Wiklund, H; Jeffreys, RM; Linse, K; Ruhl, HA; Glover, AG",2017,Distributional Patterns of Polychaetes Across the West Antarctic Based on DNA Barcoding and Particle Tracking Analyses,FRONTIERS IN MARINE SCIENCE,4,NA,NA,mtDNA,2,NA,NA,NA,NA,NA,29,NA,NA,NA,Antarctic,NA,Pelagic,NA,NA,NA,NA,6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,FALSE,FALSE,TRUE,TRUE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"NA,NA",FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,Annelida_Polychaeta,N,B,N,N,NA,NA,NA,NA,FALSE
Akko sp.nov.,NA,Akko,Actinopterygii,Chordata,Akko,"Ruber, L; Van Tassell, JL; Zardoya, R",2003,"Rapid speciation and ecological divergence in the American seven-spined gobies (Gobiidae, Gobiosomatini) inferred from a molecular phylogeny",EVOLUTION,57,1584,1598,mtDNA,2,NA,Allopatric,NA,NA,NA,1,1,NA,NA,NA,NA,Unknown,"Coral reef, Rocky shore, Coastal, Estuarine","Demersal or benthic, Coastal",NA,NA,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,TRUE,FALSE,"Coral reef, Rocky shore, Coastal, Estuarine,Demersal or benthic, Coastal",TRUE,10,Rocky,Average,NA,Demersal or benthic,Allopatric,NA,NA,NA,Chordata_Actinopterygii,Y,E,Y,N,NA,FALSE,NA,NA,FALSE
Albula spp.,NA,Albula,Actinopterygii,Chordata,Albula,"Colborn, J; Crabtree, RE; Shaklee, JB; Pfeiler, E; Bowen, BW",2001,The evolutionary enigma of bonefishes (Albula spp.): Cryptic species and ancient separations in a globally distributed shorefish,EVOLUTION,55,807,820,mtDNA,5,NA,"Allopatric, Sympatric",NA,NA,NA,164,14,NA,NA,Global,NA,"Planktotroph, Pelagic","Soft sediment, Seagrass, Coastal","Demersal or benthic, Coastal",NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,TRUE,FALSE,FALSE,TRUE,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE,"Soft sediment, Seagrass, Coastal,Demersal or benthic, Coastal",TRUE,10,Sediment,Average,Moderate to high,Demersal or benthic,"Sympatric, Allopatric",NA,NA,NA,Chordata_Actinopterygii,Y,E,Y,N,NA,TRUE,LOW,PT,FALSE
Alcyonidium gelatinosum,NA,Alcyonidium,Gymnolaemata,Bryozoa,Alcyonidium,"THORPE, JP; BEARDMORE, JA; RYLAND, JS",1978,GENETIC EVIDENCE FOR CRYPTIC SPECIATION IN MARINE BRYOZOAN ALCYONIDIUM-GELATINOSUM,MARINE BIOLOGY,49,27,32,Allozymes,2,Diagnostic,Sympatric,NA,NA,TRUE,99,3,99,3,Atlantic,larval info not given,Lecithotrophic,"Rocky shore, Coastal, Intertidal or tide pools","Demersal or benthic, Coastal",NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,"Rocky shore, Coastal, Intertidal or tide pools,Demersal or benthic, Coastal",TRUE,5,Rocky,Accessible,NA,Demersal or benthic,Sympatric,FALSE,FALSE,TRUE,Bryozoa_Gymnolaemata,Y,I,N,N,FALSE,TRUE,HIGH,LT,TRUE
Allogalathea spp.,NA,Allogalathea,Malacostraca,Arthropoda,Allogalathea,"Cabezas, Patricia; Macpherson, Enrique; Machordom, Annie",2011,Allogalathea (Decapoda: Galatheidae): a monospecific genus of squat lobster?,ZOOLOGICAL JOURNAL OF THE LINNEAN SOCIETY,162,245,270,"mtDNA, other nuclear",4,Statistic,Sympatric,NA,NA,TRUE,43,8,43,8,Indo-Pacific,larval info not given here,NA,"Soft sediment, lagoon",Demersal or benthic,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,"Soft sediment, lagoon,Demersal or benthic",TRUE,10,Sediment,Average,NA,Demersal or benthic,Sympatric,FALSE,TRUE,FALSE,Arthropoda_Malacostraca,Y,I,Y,Y,TRUE,TRUE,NA,NA,TRUE
