Species
Abra segmentum
Abudefduf saxatilis
Abudefduf sexfasciatus
Abudefduf vaigiensis
Acabaria erythraea
Acanthogobius flavimanus
Acanthophora nayadiformis
Acanthopleura gemmata
Acanthosiphonia echinata
Acanthurus chirurgus
Acanthurus coeruleus
Acanthurus gahhm
Acanthurus monroviae
Acanthurus sohal
Acar plicata
Acartia (Acanthacartia) tonsa
Acartia (Acartiura) clausi
Acartia (Acartiura) margalefi
Acartia (Acartiura) omorii
Acartia (Odontacartia) centrura
Acentrogobius pflaumii
Achelia sawayai
Achnanthes pseudogroenlandica
Acinetospora crinita
Acipenser baeri
Acipenser gueldenstaedtii
Acipenser oxyrinchus
Acipenser ruthenus
Acipenser stellatus
Acipenser transmontanus
Acorus calamus
Acrochaetium catenulatum
Acrochaetium kylinii
Acrochaetium leptonema
Acrochaetium mahumetanum
Acrochaetium mediterraneum
Acrochaetium microscopicum
Acrochaetium moniliforme
Acrochaetium pacificum
Acrochaetium robustum
Acrochaetium rosulatum
Acrochaetium savianum
Acrochaetium spathoglossi
Acrochaetium subpinnatum
Acrochaetium subseriatum
Acromegalomma claparedei
Acrosiphonia arcta
Acrothamnion preissii
Acrothrix gracilis
Actaea savignyii
Actaeodes tomentosus
Acteocina crithodes
Acteocina mucronata
Actumnus globulus
Adacna vitrea
Adelosina carinatastriata
Aeolidiella indica
Aequorea macrodactyla
Aerococcus viridans
Aeromonas salmonicida salmonicida
Aetea anguina
Aetea ligulata
Aetea longicollis
Aetea sica
Aetea truncata
Afrocardium richardi
Afropinnotheres monodi
Agardhiella subulata
Aglaothamnion cordatum
Aglaothamnion feldmanniae
Aglaothamnion halliae
Ahnfeltiopsis flabelliformis
Ahnfeltiopsis furcellata
Aidanosagitta neglecta
Aiptasia diaphana
Aiptasia pulchella
Akashiwo sanguinea
Alectryonella crenulifera
Alectryonella plicatula
Alepes djedaba
Alexandrium acatenella
Alexandrium affine
Alexandrium catenella
Alexandrium leei
Alexandrium margalefii
Alexandrium minutum
Alexandrium monilatum
Alexandrium ostenfeldii
Alexandrium pseudogonyaulax
Alexandrium tamarense
Alexandrium taylori
Aliculastrum cylindricum
Alitta succinea
Alitta virens
Alkmaria romijni
Alloeocarpa loculosa
Allolepidapedon fistularia
Allolepidapedon fistulariae
Alpheus dentipes
Alpheus edwardsii
Alpheus inopinatus
Alpheus lobidens
Alpheus migrans
Alpheus rapacida
Aluterus monoceros
Aluterus scriptus
Alveinus miliaceus
Amathia distans
Amathia gracilis
Amathia imbricata
Amathia verticillata
Amathina tricarinata
Ameira divagans divagans
Ammonia confertitesta
Ammonia tepida
Ammothea hilgendorfi
Ampelisca cavicoxa
Ampelisca heterodactyla
Amphiascus tenuiremis
Amphibalanus amphitrite
Amphibalanus eburneus
Amphibalanus improvisus
Amphibalanus reticulatus
Amphibalanus variegatus
Amphicorina pectinata
Amphinome rostrata
Amphioctopus aegina
Amphiodia obtecta
Amphioplus laevis
Amphiroa rigida
Amphisbetia operculata
Amphisorus hemprichii
Amphistegina lessonii
Amphistegina lobifera
Amphiura parviscutata
Amphogona pusilla
Amphorellopsis acuta
Ampithoe valida
Anadara broughtonii
Anadara diluvii
Anadara inaequivalvis
Anadara kagoshimensis
Anadara natalensis
Anadara transversa
Angiola punctostriata
Anguillicoloides crassus
Angulus flacca
Anilocra pilchardi
Anomia chinensis
Anomia ephippium
Anoplodactylus californicus
Anoplodactylus digitatus
Anotrichium furcellatum
Antennella secundaria
Anthopleura anjunae
Anthopleura elegantissima
Antigona lamellaris
Antiopella cristata
Antithamnion amphigeneum
Antithamnion densum
Antithamnion diminuatum
Antithamnion hubbsii
Antithamnion nipponicum
Antithamnion pectinatum
Antithamnionella boergesenii
Antithamnionella elegans
Antithamnionella elegans var. sublittoralis
Antithamnionella spirographidis
Antithamnionella ternifolia
Aoroides curvipes
Aoroides longimerus
Aoroides secundus
Aoroides semicurvatus
Apedinella radians
Aphanius dispar
Aphelochaeta marioni
Aplidium accarense
Aplidium glabrum
Aplidium pallidum
Aplysia dactylomela
Aplysilla rosea
Aplysiopsis formosa
Apoglossum gregarium
Apogon fasciatus
Apogon queketti
Apogon smithi
Apogonichthyoides pharaonis
Aporrhais pespelecani
Apseudopsis tridens
Aquilonastra burtoni
Arachnidium lacourti
Arachnoidea protecta
Aracia heterobranchiata
Arbopercula tenella
Arcania brevifrons
Archesola typhlops
Arcuatula perfragilis
Arcuatula senhousia
Argopecten irradians
Aricidea hartmani
Arietellus pavoninus
Arnoglossus nigrofilamentosus
Artemia franciscana
Artemia urmiana
Ascidia cannelata
