"","Species","Phylum","Class"
"1","Fulmarus glacialis","Chordata","Aves"
"2","Boreogadus saida","Chordata","Teleostei"
"3","Reinhardtius hippoglossoides","Chordata","Teleostei"
"4","Rissa tridactyla","Chordata","Aves"
"5","Alle alle","Chordata","Aves"
"6","Uria lomvia","Chordata","Aves"
"7","Porifera","Porifera",NA
"8","Macrourus berglax","Chordata","Teleostei"
"9","Liparis fabricii","Chordata","Teleostei"
"10","Amblyraja radiata","Chordata","Elasmobranchii"
"11","Hippoglossoides platessoides","Chordata","Teleostei"
"12","Uria","Chordata","Aves"
"13","Larus hyperboreus","Chordata","Aves"
"14","Ophiuroidea","Echinodermata","Ophiuroidea"
"15","Calanus finmarchicus","Arthropoda","Copepoda"
"16","Sebastes","Chordata","Teleostei"
"17","Pandalus borealis","Arthropoda","Malacostraca"
"18","Gadus morhua","Chordata","Teleostei"
"19","Gaidropsarus ensis","Chordata","Teleostei"
"20","Triglops nybelini","Chordata","Teleostei"
"21","Leptagonus decagonus","Chordata","Teleostei"
"22","Lebbeus polaris","Arthropoda","Malacostraca"
"23","Calanus glacialis","Arthropoda","Copepoda"
"24","Calanus hyperboreus","Arthropoda","Copepoda"
"25","Sebastes mentella","Chordata","Teleostei"
"26","Amblyraja hyperborea","Chordata","Elasmobranchii"
"27","Eumicrotremus spinosus","Chordata","Teleostei"
"28","Themisto libellula","Arthropoda","Malacostraca"
"29","Myctophidae","Chordata","Teleostei"
"30","Actiniaria","Cnidaria","Anthozoa"
"31","Pycnogonida","Arthropoda","Pycnogonida"
"32","Leptoclinus maculatus","Chordata","Teleostei"
"33","Triglops","Chordata","Teleostei"
"34","Cottunculus microps","Chordata","Teleostei"
"35","Meganyctiphanes norvegica","Arthropoda","Malacostraca"
"36","Anarhichas denticulatus","Chordata","Teleostei"
"37","Polychaeta","Annelida","Polychaeta"
"38","Artediellus","Chordata","Teleostei"
"39","Gorgonocephalus arcticus","Echinodermata","Ophiuroidea"
"40","Salvelinus alpinus","Chordata","Teleostei"
"41","Lycodes reticulatus","Chordata","Teleostei"
"42","Triglops pingelii","Chordata","Teleostei"
"43","Boreomysis","Arthropoda","Malacostraca"
"44","Zoarcidae","Chordata","Teleostei"
"45","Bathylagus euryops","Chordata","Teleostei"
"46","Gonatus fabricii","Mollusca","Cephalopoda"
"47","Careproctus reinhardti","Chordata","Teleostei"
"48","Pandalus montagui","Arthropoda","Malacostraca"
"49","Balaenoptera physalus","Chordata","Mammalia"
"50","Cepphus grylle","Chordata","Aves"
"51","Liparidae","Chordata","Teleostei"
"52","Bryozoa","Bryozoa",NA
"53","Pseudocalanus minutus","Arthropoda","Copepoda"
"54","Anarhichas minor","Chordata","Teleostei"
"55","Strongylocentrotus","Echinodermata","Echinoidea"
"56","Liparis gibbus","Chordata","Teleostei"
"57","Artediellus atlanticus","Chordata","Teleostei"
"58","Ascidiacea","Chordata","Ascidiacea"
"59","Icelus spatula","Chordata","Teleostei"
"60","Pagophila eburnea","Chordata","Aves"
"61","Gaidropsarus argentatus","Chordata","Teleostei"
"62","Gastropoda","Mollusca","Gastropoda"
"63","Sclerocrangon ferox","Arthropoda","Malacostraca"
"64","Pennatuloidea","Cnidaria","Anthozoa"
"65","Themisto gaudichaudii","Arthropoda","Malacostraca"
"66","Synaphobranchus kaupii","Chordata","Teleostei"
"67","Myoxocephalus scorpius","Chordata","Teleostei"
"68","Hormathiidae","Cnidaria","Anthozoa"
"69","Metridia longa","Arthropoda","Copepoda"
"70","Aspidophoroides olrikii","Chordata","Teleostei"
"71","Henricia","Echinodermata","Asteroidea"
"72","Crossaster papposus","Echinodermata","Asteroidea"
"73","Heliometra glacialis","Echinodermata","Crinoidea"
"74","Chaetognatha","Chaetognatha",NA
"75","Gaidropsarus","Chordata","Teleostei"
"76","Mallotus villosus","Chordata","Teleostei"
"77","Megaptera novaeangliae","Chordata","Mammalia"
"78","Sabinea septemcarinata","Arthropoda","Malacostraca"
"79","Triglops murrayi","Chordata","Teleostei"
"80","Ptilella grandis","Cnidaria","Anthozoa"
"81","Lycodes eudipleurostictus","Chordata","Teleostei"
"82","Lycodes","Chordata","Teleostei"
"83","Zoantharia","Cnidaria","Anthozoa"
"84","Scyphozoa","Cnidaria","Scyphozoa"
"85","Stercorarius pomarinus","Chordata","Aves"
"86","Eumicrotremus derjugini","Chordata","Teleostei"
"87","Larus glaucoides glaucoides","Chordata","Aves"
"88","Coryphaenoides rupestris","Chordata","Teleostei"
"89","Spirontocaris spinus","Arthropoda","Malacostraca"
"90","Copepoda","Arthropoda","Copepoda"
"91","Octocorallia","Cnidaria","Anthozoa"
"92","Anonyx nugax","Arthropoda","Malacostraca"
"93","Larus marinus","Chordata","Aves"
"94","Hydrozoa","Cnidaria","Hydrozoa"
"95","Rhachotropis aculeata","Arthropoda","Malacostraca"
"96","Asteroidea","Echinodermata","Asteroidea"
"97","Thysanoessa","Arthropoda","Malacostraca"
"98","Benthosema glaciale","Chordata","Teleostei"
"99","Eualus belcheri","Arthropoda","Malacostraca"
"100","Lycenchelys","Chordata","Teleostei"
"101","Balaenoptera acutorostrata","Chordata","Mammalia"
"102","Epimeria (Epimeria) loricata","Arthropoda","Malacostraca"
"103","Eusirus holmii","Arthropoda","Malacostraca"
"104","Stegocephalus inflatus","Arthropoda","Malacostraca"
"105","Eukrohnia hamata","Chaetognatha","Sagittoidea"
"106","Somniosus microcephalus","Chordata","Elasmobranchii"
"107","Calanus","Arthropoda","Copepoda"
"108","Antimora rostrata","Chordata","Teleostei"
"109","Laridae","Chordata","Aves"
"110","Anarhichas lupus","Chordata","Teleostei"
"111","Fulmarus","Chordata","Aves"
"112","Pasiphaea tarda","Arthropoda","Malacostraca"
"113","Pontophilus norvegicus","Arthropoda","Malacostraca"
"114","Diplopteraster multipes","Echinodermata","Asteroidea"
"115","Euchaeta","Arthropoda","Copepoda"
"116","Eusergestes arcticus","Arthropoda","Malacostraca"
"117","Lumpenus lampretaeformis","Chordata","Teleostei"
"118","Psilaster andromeda","Echinodermata","Asteroidea"
"119","Oithona similis","Arthropoda","Copepoda"
"120","Puffinus gravis","Chordata","Aves"
"121","Didemnidae","Chordata","Ascidiacea"
"122","Notacanthus chemnitzii","Chordata","Teleostei"
"123","Sclerocrangon boreas","Arthropoda","Malacostraca"
"124","Sabellidae","Annelida","Polychaeta"
"125","Scolecithricella minor minor","Arthropoda","Copepoda"
"126","Eualus gaimardii","Arthropoda","Malacostraca"
"127","Serpulidae","Annelida","Polychaeta"
"128","Stercorarius longicaudus","Chordata","Aves"
"129","Echinoidea","Echinodermata","Echinoidea"
"130","Leptasterias groenlandica","Echinodermata","Asteroidea"
"131","Argis dentata","Arthropoda","Malacostraca"
"132","Gymnocanthus tricuspis","Chordata","Teleostei"
"133","Paramphithoe hystrix","Arthropoda","Malacostraca"
"134","Stercorarius","Chordata","Aves"
"135","Nudibranchia","Mollusca","Gastropoda"
"136","Sterna paradisaea","Chordata","Aves"
"137","Nezumia bairdii","Chordata","Teleostei"
"138","Eumesogrammus praecisus","Chordata","Teleostei"
"139","Lycodes vahlii","Chordata","Teleostei"
"140","Larus argentatus","Chordata","Aves"
"141","Oithona","Arthropoda","Copepoda"
"142","Phocidae","Chordata","Mammalia"
"143","Rossia","Mollusca","Cephalopoda"
"144","Themisto","Arthropoda","Malacostraca"
"145","Phalaropus fulicarius","Chordata","Aves"
"146","Tole","Arthropoda","Malacostraca"
"147","Icelus bicornis","Chordata","Teleostei"
"148","Arctogadus glacialis","Chordata","Teleostei"
"149","Hymenodora glacialis","Arthropoda","Malacostraca"
"150","Eusirus cuspidatus","Arthropoda","Malacostraca"
"151","Pteraster militaris","Echinodermata","Asteroidea"
"152","Centroscyllium fabricii","Chordata","Elasmobranchii"
"153","Chlamys islandica","Mollusca","Bivalvia"
"154","Sipunculidae","Annelida",NA
"155","Thysanoessa longicaudata","Arthropoda","Malacostraca"
"156","Atlantopandalus propinqvus","Arthropoda","Malacostraca"
"157","Cirroteuthis muelleri","Mollusca","Cephalopoda"
"158","Pontaster tenuispinus","Echinodermata","Asteroidea"
"159","Uria aalge","Chordata","Aves"
"160","Stephanasterias albula","Echinodermata","Asteroidea"
"161","Lycodes pallidus","Chordata","Teleostei"
"162","Paralepididae","Chordata","Teleostei"
"163","Demospongiae","Porifera","Demospongiae"
"164","Siphonophorae","Cnidaria","Hydrozoa"
"165","Paraeuchaeta norvegica","Arthropoda","Copepoda"
"166","Lycodes paamiuti","Chordata","Teleostei"
"167","Nephtheidae","Cnidaria","Anthozoa"
"168","Gymnelus viridis","Chordata","Teleostei"
"169","Sebastes norvegicus","Chordata","Teleostei"
"170","Lycodes esmarkii","Chordata","Teleostei"
"171","Bathyraja spinicauda","Chordata","Elasmobranchii"
"172","Acanthephyra pelagica","Arthropoda","Malacostraca"
"173","Similipecten greenlandicus","Mollusca","Bivalvia"
"174","Paraliparis bathybius","Chordata","Teleostei"
"175","Arctozenus risso","Chordata","Teleostei"
"176","Aglantha digitale","Cnidaria","Hydrozoa"
"177","Microcalanus","Arthropoda","Copepoda"
"178","Rajidae","Chordata","Elasmobranchii"
"179","Artediellus uncinatus","Chordata","Teleostei"
"180","Myoxocephalus quadricornis","Chordata","Teleostei"
"181","Pseudocalanus","Arthropoda","Copepoda"
"182","Myoxocephalus scorpioides","Chordata","Teleostei"
"183","Ursus maritimus","Chordata","Mammalia"
"184","Obtusoecia obtusata","Arthropoda","Ostracoda"
"185","Octopodidae","Mollusca","Cephalopoda"
"186","Odobenus rosmarus rosmarus","Chordata","Mammalia"
"187","Brachiopoda","Brachiopoda",NA
"188","Arctozenus risso kroyeri","Chordata","Teleostei"
"189","Hymenaster pellucidus","Echinodermata","Asteroidea"
"190","Pasiphaea multidentata","Arthropoda","Malacostraca"
"191","Stercorarius parasiticus","Chordata","Aves"
"192","Parasagitta elegans","Chaetognatha","Sagittoidea"
"193","Conchoecia","Arthropoda","Ostracoda"
"194","Lophaster furcifer","Echinodermata","Asteroidea"
"195","Fratercula arctica","Chordata","Aves"
"196","Animalia",NA,NA
"197","Metridia lucens lucens","Arthropoda","Copepoda"
"198","Scolopacidae","Chordata","Aves"
"199","Cirripedia","Arthropoda","Thecostraca"
"200","Acanella arbuscula","Cnidaria","Anthozoa"
"201","Lebbeus groenlandicus","Arthropoda","Malacostraca"
"202","Astarte","Mollusca","Bivalvia"
"203","Hoplostethus atlanticus","Chordata","Teleostei"
"204","Physeter macrocephalus","Chordata","Mammalia"
"205","Lycodes adolfi","Chordata","Teleostei"
"206","Pungitius pungitius","Chordata","Teleostei"
"207","Mysis","Arthropoda","Malacostraca"
"208","Euphausiacea","Arthropoda","Malacostraca"
"209","Molpadia","Echinodermata","Holothuroidea"
"210","Lithodes maja","Arthropoda","Malacostraca"
"211","Somateria mollissima","Chordata","Aves"
"212","Halirages fulvocinctus","Arthropoda","Malacostraca"
"213","Munnopsis typica","Arthropoda","Malacostraca"
"214","Monodon monoceros","Chordata","Mammalia"
"215","Larus","Chordata","Aves"
"216","Gadus macrocephalus","Chordata","Teleostei"
"217","Salmo salar","Chordata","Teleostei"
"218","Rajella fyllae","Chordata","Elasmobranchii"
"219","Amphipoda","Arthropoda","Malacostraca"
"220","Holothuroidea","Echinodermata","Holothuroidea"
"221","Gorgonocephalidae","Echinodermata","Ophiuroidea"
"222","Sabinea sarsii","Arthropoda","Malacostraca"
"223","Scopelosaurus lepidus","Chordata","Teleostei"
"224","Gasterosteus aculeatus","Chordata","Teleostei"
"225","Lysianassidae","Arthropoda","Malacostraca"
"226","Pusa hispida","Chordata","Mammalia"
"227","Lampanyctus macdonaldi","Chordata","Teleostei"
"228","Agonidae","Chordata","Teleostei"
"229","Spinocalanus","Arthropoda","Copepoda"
"230","Somateria","Chordata","Aves"
"231","Aspidophoroides monopterygius","Chordata","Teleostei"
"232","Hyperiidea","Arthropoda","Malacostraca"
"233","Delphinapterus leucas","Chordata","Mammalia"
"234","Pseudosagitta maxima","Chaetognatha","Sagittoidea"
"235","Bivalvia","Mollusca","Bivalvia"
"236","Coregonus artedi","Chordata","Teleostei"
"237","Ctenophora","Ctenophora",NA
"238","Arcturus baffini","Arthropoda","Malacostraca"
"239","Microcalanus pygmaeus","Arthropoda","Copepoda"
"240","Rhodichthys regina","Chordata","Teleostei"
"241","Stomias boa","Chordata","Teleostei"
"242","Asconema","Porifera","Hexactinellida"
"243","Lycenchelys kolthoffi","Chordata","Teleostei"
"244","Cyclopteropsis mcalpini","Chordata","Teleostei"
"245","Euphausiidae","Arthropoda","Malacostraca"
"246","Paroediceros lynceus","Arthropoda","Malacostraca"
"247","Chauliodus sloani","Chordata","Teleostei"
"248","Hippoglossus hippoglossus","Chordata","Teleostei"
"249","Clione limacina","Mollusca","Gastropoda"
"250","Cyclopterus lumpus","Chordata","Teleostei"
"251","Serrivomer beanii","Chordata","Teleostei"
"252","Ctenodiscus crispatus","Echinodermata","Asteroidea"
"253","Appendicularia","Chordata","Appendicularia"
"254","Alcidae","Chordata","Aves"
"255","Mysidae","Arthropoda","Malacostraca"
"256","Umbellula","Cnidaria","Anthozoa"
"257","Cnidaria","Cnidaria",NA
"258","Limacina helicina","Mollusca","Gastropoda"
"259","Cyclothone microdon","Chordata","Teleostei"
"260","Oncaea","Arthropoda","Copepoda"
"261","Eurythenes gryllus","Arthropoda","Malacostraca"
"262","Eumicrotremus","Chordata","Teleostei"
"263","Cottidae","Chordata","Teleostei"
"264","Gorgonocephalus","Echinodermata","Ophiuroidea"
"265","Icasterias panopla","Echinodermata","Asteroidea"
"266","Acanthostepheia malmgreni","Arthropoda","Malacostraca"
"267","Amalopenaeus elegans","Arthropoda","Malacostraca"
