"","Species","Phylum","Class"
"1","Mirounga leonina","Chordata","Mammalia"
"2","Thyrsites atun","Chordata","Teleostei"
"3","Arctocephalus gazella","Chordata","Mammalia"
"4","Pachymetopon blochii","Chordata","Teleostei"
"5","Eudyptes chrysolophus","Chordata","Aves"
"6","Diomedea exulans","Chordata","Aves"
"7","Thunnus alalunga","Chordata","Teleostei"
"8","Chrysoblephus laticeps","Chordata","Teleostei"
"9","Aptenodytes patagonicus","Chordata","Aves"
"10","Seriola lalandi","Chordata","Teleostei"
"11","Atractoscion aequidens","Chordata","Teleostei"
"12","Argyrozona argyrozona","Chordata","Teleostei"
"13","Thunnus albacares","Chordata","Teleostei"
"14","Galeorhinus galeus","Chordata","Elasmobranchii"
"15","Morus capensis","Chordata","Aves"
"16","Katsuwonus pelamis","Chordata","Teleostei"
"17","Merluccius hubbsi","Chordata","Teleostei"
"18","Argyrosomus","Chordata","Teleostei"
"19","Pleoticus muelleri","Arthropoda","Malacostraca"
"20","Thalassarche melanophris","Chordata","Aves"
"21","Lithodes santolla","Arthropoda","Malacostraca"
"22","Procellaria aequinoctialis","Chordata","Aves"
"23","Tetraclita stalactifera","Arthropoda","Thecostraca"
"24","Thunnus obesus","Chordata","Teleostei"
"25","Mytilaster solisianus","Mollusca","Bivalvia"
"26","Illex argentinus","Mollusca","Cephalopoda"
"27","Echinolittorina lineolata","Mollusca","Gastropoda"
"28","Loligo reynaudii","Mollusca","Cephalopoda"
"29","Psammobatis normani","Chordata","Elasmobranchii"
"30","Scombridae","Chordata","Teleostei"
"31","Loligo","Mollusca","Cephalopoda"
"32","Sebastes capensis","Chordata","Teleostei"
"33","Phoebetria palpebrata","Chordata","Aves"
"34","Calanoides carinatus","Arthropoda","Copepoda"
"35","Oithona similis","Arthropoda","Copepoda"
"36","Stromateus brasiliensis","Chordata","Teleostei"
"37","Calanus agulhensis","Arthropoda","Copepoda"
"38","Patagonotothen ramsayi","Chordata","Teleostei"
"39","Lottia subrugosa","Mollusca","Gastropoda"
"40","Pagrus pagrus","Chordata","Teleostei"
"41","Todaropsis eblanae","Mollusca","Cephalopoda"
"42","Thalassarche chrysostoma","Chordata","Aves"
"43","Euphausia superba","Arthropoda","Malacostraca"
"44","Cephalopholis fulva","Chordata","Teleostei"
"45","Libidoclaea granaria","Arthropoda","Malacostraca"
"46","Discopyge tschudii","Chordata","Elasmobranchii"
"47","Merluccius paradoxus","Chordata","Teleostei"
"48","Selachii","Chordata","Elasmobranchii"
"49","Peltarion spinulosum","Arthropoda","Malacostraca"
"50","Scomber japonicus","Chordata","Teleostei"
"51","Munida","Arthropoda","Malacostraca"
"52","Dipturus chilensis","Chordata","Elasmobranchii"
"53","Genypterus blacodes","Chordata","Teleostei"
"54","Pleuronectiformes","Chordata","Teleostei"
"55","Thalassoma noronhanum","Chordata","Teleostei"
"56","Megaptera novaeangliae","Chordata","Mammalia"
"57","Pterogymnus laniarius","Chordata","Teleostei"
"58","Merluccius capensis","Chordata","Teleostei"
"59","Rhincalanus gigas","Arthropoda","Copepoda"
"60","Genypterus","Chordata","Teleostei"
"61","Metridia","Arthropoda","Copepoda"
