Taxonomic_group	One_mito	log_mito	Num_CS	Repro_mode	Genitals	Phylum	Vision_type_adults	image
Eutardigrada	1	0.301029996	0	I	N	Tardigrada	photosensitive	N
Pararotatoria	1	0.301029996	0	I	Y	Rotifera	photosensitive	N
Coelacanthi	2	0.477121255	0	I	N	Chordata	image	Y
Eucycliophora	2	0.477121255	1	U	U	Cycliophora	N	N
Graptolithoidea	2	0.477121255	0	I	N	Hemichordata	N	N
Cephalocarida	3	0.602059991	0	I	Y	Arthropoda	N	N
Craniata	3	0.602059991	0	E	N	Brachiopoda	N	N
Diplopoda	3	0.602059991	0	I	Y	Arthropoda	photosensitive	N
Lingulata	3	0.602059991	0	E	N	Brachiopoda	N	N
Ichthyostraca	4	0.698970004	0	I	Y	Arthropoda	U	U
Merostomata	4	0.698970004	0	E	N	Arthropoda	compound	Y
Nuda	4	0.698970004	0	E	N	Ctenophora	N	N
Priapulida	4	0.698970004	0	E	N	Priapulida	N	N
Heterotardigrada	5	0.77815125	1	I	N	Tardigrada	photosensitive	N
Monoplacophora	5	0.77815125	0	U	U	Mollusca	U	U
Appendicularia	6	0.84509804	0	E	N	Chordata	N	N
Calcarea	6	0.84509804	3	E	N	Porifera	N	N
Chilopoda	6	0.84509804	0	I	Y	Arthropoda	photosensitive	N
Thaliacea	6	0.84509804	0	I	N	Chordata	N	N
Collembola	7	0.903089987	0	I	Y	Arthropoda	photosensitive	N
Eoacanthocephala	7	0.903089987	0	I	Y	Acanthocephala	N	N
Myxozoa	8	0.954242509	0	U	N	Cnidaria	U	U
Rhombozoa	10	1.041392685	0	I	N	Dicyemida	N	N
Leptocardii	11	1.079181246	1	E	N	Chordata	photosensitive	N
Petromyzonti	11	1.079181246	0	E	N	Chordata	image	Y
Solenogastres	11	1.079181246	0	I	N	Mollusca	N	N
Scaphopoda	14	1.176091259	0	U	U	Mollusca	N	N
Tentaculata	15	1.204119983	0	E	N	Ctenophora	N	N
Caudofoveata	16	1.230448921	0	E	N	Mollusca	N	N
Remipedia	17	1.255272505	0	I	Y	Arthropoda	N	N
Cubozoa	22	1.361727836	0	I	N	Cnidaria	camera	Y
Stenolaemata	22	1.361727836	0	I	N	Bryozoa	N	N
Eurotatoria	23	1.380211242	2	I	Y	Rotifera	photosensitive	N
Kinorhyncha	23	1.380211242	1	I	Y	Kinorhyncha	photosensitive	N
Phascolosomatidea	23	1.380211242	3	E	N	Sipuncula	pigment_cup	N
Staurozoa	25	1.414973348	0	U	N	Cnidaria	U	U
Enoplea	26	1.431363764	2	I	Y	Nematoda	pigment_cup	N
Enteropneusta	26	1.431363764	1	E	N	Hemichordata	N	N
Branchiopoda	27	1.447158031	0	I	Y	Arthropoda	compound	Y
Sagittoidea	27	1.447158031	2	I	N	Chaetognatha	pigment_cup	N
Sipunculidea	28	1.462397998	1	E	N	Sipuncula	pigment_cup	N
Holocephali	30	1.491361694	0	I	Y	Chordata	image	Y
Palaeonemertea	30	1.491361694	0	E	N	Nemertea	pigment_cup	N
Myxini	32	1.51851394	0	U	N	Chordata	photosensitive	N
Rhynchonellata	37	1.579783597	0	E	N	Brachiopoda	N	N
Homoscleromorpha	38	1.591064607	2	E	N	Porifera	N	N
Arachnida	57	1.763427994	0	I	Y	Arthropoda	lens	Y
Palaeacanthocephala	63	1.806179974	0	I	Y	Acanthocephala	N	N
Scyphozoa	65	1.819543936	10	E	N	Cnidaria	pigment_cup	N
Hexactinellida	71	1.857332496	0	E	N	Porifera	N	N
Pilidiophora	78	1.897627091	3	E	N	Nemertea	pigment_cup	N
Reptilia	84	1.929418926	3	I	Y	Chordata	image	Y
Monogenea	93	1.973127854	0	I	Y	Platyhelminthes	U	U
Hoplonemertea	110	2.045322979	3	E	N	Nemertea	pigment_cup	N
Ostracoda	112	2.053078443	2	I	Y	Arthropoda	photosensitive	N
Cestoda	123	2.093421685	0	I	Y	Platyhelminthes	N	N
Pycnogonida	129	2.113943352	2	E	N	Arthropoda	photosensitive	N
Mammalia	131	2.120573931	5	I	Y	Chordata	image	Y
Crinoidea	132	2.123851641	3	E	N	Echinodermata	N	N
Chromadorea	151	2.181843588	5	I	Y	Nematoda	N	N
Gymnolaemata	204	2.311753861	10	I	N	Bryozoa	N	N
Clitellata	207	2.318063335	3	E	N	Annelida	pigment_cup	N
Polyplacophora	211	2.326335861	1	E	N	Mollusca	photosensitive	N
Echinoidea	243	2.387389826	7	E	N	Echinodermata	N	N
Trematoda	244	2.389166084	0	I	Y	Platyhelminthes	pigment_cup	N
Ascidiacea	258	2.413299764	16	B	N	Chordata	N	N
Holothuroidea	294	2.469822016	3	E	N	Echinodermata	N	N
Cephalopoda	391	2.593286067	12	I	Y	Mollusca	image	Y
Asteroidea	414	2.618048097	18	E	N	Echinodermata	photosensitive	N]
Insecta	419	2.62324929	1	I	Y	Arthropoda	compound	Y
