Class	One_mito	Num_CS	Repro_mode	Genitals	Phylum	Vision_type_adults	image_forming
#Actinopterygii	8842	75	E	N	Chordata	image	Y
Anthozoa	1678	32	E	N	Cnidaria	N	N
#Appendicularia	6	0	E	N	Chordata	N	N
#Arachnida	57	0	I	Y	Arthropoda	lens	Y
Ascidiacea	258	16	B	N	Chordata	N	N
Asteroidea	414	18	E	N	Echinodermata	photosensitive	N
#Aves	523	0	I	B	Chordata	image	Y
Bivalvia	1235	31	E	N	Mollusca	lens	Y
#Branchiopoda	27	0	I	Y	Arthropoda	compound	Y
Calcarea	6	3	E	N	Porifera	N	N
#Caudofoveata	16	0	E	N	Mollusca	N	N
#Cephalocarida	3	0	I	Y	Arthropoda	N	N
Cephalopoda	391	12	I	Y	Mollusca	image	Y
#Cestoda	123	0	I	Y	Platyhelminthes	N	N
#Chilopoda	6	0	I	Y	Arthropoda	photosensitive	N
Chromadorea	151	5	I	Y	Nematoda	N	N
Clitellata	207	3	E	N	Annelida	pigment_cup	N
#Coelacanthi	2	0	I	N	Chordata	image	Y
#Collembola	7	0	I	Y	Arthropoda	photosensitive	N
#Craniata	3	0	E	N	Brachiopoda	N	N
Crinoidea	132	3	E	N	Echinodermata	N	N
#Cubozoa	22	0	I	N	Cnidaria	camera	Y
Demospongiae	669	18	E	N	Porifera	N	N
#Diplopoda	3	0	I	Y	Arthropoda	photosensitive	N
Echinoidea	243	7	E	N	Echinodermata	N	N
Elasmobranchii	740	11	I	Y	Chordata	image	Y
Enoplea	26	2	I	Y	Nematoda	pigment_cup	N
Enteropneusta	26	1	E	N	Hemichordata	N	N
Eoacanthocephala	7	0	I	Y	Acanthocephala	N	N
Eucycliophora	2	1	U	U	Cycliophora	N	N
Eurotatoria	23	2	I	Y	Rotifera	photosensitive	N
#Eutardigrada	1	0	I	N	Tardigrada	photosensitive	N
#Gastropoda	4858	76	B	B	Mollusca	lens	Y
#Graptolithoidea	2	0	I	N	Hemichordata	N	N
Gymnolaemata	204	10	I	N	Bryozoa	N	N
Heterotardigrada	5	1	I	N	Tardigrada	photosensitive	N
#Hexactinellida	71	0	E	N	Porifera	N	N
Hexanauplia	1100	37	I	Y	Arthropoda	photosensitive	N
#Holocephali	30	0	I	Y	Chordata	image	Y
Holothuroidea	294	3	E	N	Echinodermata	N	N
Homoscleromorpha	38	2	E	N	Porifera	N	N
Hoplonemertea	110	3	E	N	Nemertea	pigment_cup	N
Hydrozoa	769	16	E	N	Cnidaria	pigment_cup	N
#Ichthyostraca	4	0	I	Y	Arthropoda	U	U
Insecta	419	1	I	Y	Arthropoda	compound	Y
Kinorhyncha	23	1	I	Y	Kinorhyncha	photosensitive	N
Leptocardii	11	1	E	N	Chordata	photosensitive	N
#Lingulata	3	0	E	N	Brachiopoda	N	N
#Loricifera	0	0	I	N	Loricifera	U	U
#Malacostraca	4980	90	I	Y	Arthropoda	compound	Y
Mammalia	131	5	I	Y	Chordata	image	Y
#Merostomata	4	0	E	N	Arthropoda	compound	Y
#Monogenea	93	0	I	Y	Platyhelminthes	U	U
#Monoplacophora	5	0	U	U	Mollusca	U	U
#Myxini	32	0	U	N	Chordata	photosensitive	N
#Myxozoa	8	0	U	N	Cnidaria	U	U
#Nuda	4	0	E	N	Ctenophora	N	N
Ophiuroidea	564	11	E	N	Echinodermata	N	N
Ostracoda	112	2	I	Y	Arthropoda	photosensitive	N
Palaeacanthocephala	63	0	I	Y	Acanthocephala	N	N
#Palaeonemertea	30	0	E	N	Nemertea	pigment_cup	N
#Pararotatoria	1	0	I	Y	Rotifera	photosensitive	N
#Pauropoda	0	0	I	Y	Arthropoda	N	N
#Petromyzonti	11	0	E	N	Chordata	image	Y
Phascolosomatidea	23	3	E	N	Sipuncula	pigment_cup	N
Pilidiophora	78	3	E	N	Nemertea	pigment_cup	N
Polychaeta	1389	42	B	N	Annelida	pigment_cup	N
Polyplacophora	211	1	E	N	Mollusca	photosensitive	N
#Priapulida	4	0	E	N	Priapulida	N	N
Pycnogonida	129	2	E	N	Arthropoda	photosensitive	N
#Remipedia	17	0	I	Y	Arthropoda	N	N
Reptilia	84	3	I	Y	Chordata	image	Y
#Rhombozoa	10	0	I	N	Dicyemida	N	N
#Rhynchonellata	37	0	E	N	Brachiopoda	N	N
Sagittoidea	27	2	I	N	Chaetognatha	pigment_cup	N
#Scaphopoda	14	0	U	U	Mollusca	N	N
Scyphozoa	65	10	E	N	Cnidaria	pigment_cup	N
Sipunculidea	28	1	E	N	Sipuncula	pigment_cup	N
#Solenogastres	11	0	I	N	Mollusca	N	N
#Staurozoa	25	0	U	N	Cnidaria	U	U
#Stenolaemata	22	0	I	N	Bryozoa	N	N
#Symphyla	0	0	I	N	Arthropoda	N	N
#Tentaculata	15	0	E	N	Ctenophora	N	N
#Thaliacea	6	0	I	N	Chordata	N	N
#Trematoda	244	0	I	Y	Platyhelminthes	pigment_cup	N
