EasinID,Name,Authorship,LSID,Reference,HasImpact,IsEUConcern,IsMSConcern,IsOutermostConcern,IsPartNative,IsHorizonScanning,Status
R19422,'Candidatus Liberibacter solanacearum',"Fagen et al., 2014",urn:lsid:easin.jrc.ec.europa.eu:species:R19422,https://easin.jrc.ec.europa.eu/spexplorer/species/factsheet/R19422,false,false,false,false,true,false,Q
R11525,'Candidatus Phytoplasma asteris',,urn:lsid:easin.jrc.ec.europa.eu:species:R11525,https://easin.jrc.ec.europa.eu/spexplorer/species/factsheet/R11525,false,false,false,false,true,false,Q
R19423,'Candidatus Phytoplasma brasiliense',,urn:lsid:easin.jrc.ec.europa.eu:species:R19423,https://easin.jrc.ec.europa.eu/spexplorer/species/factsheet/R19423,false,false,false,false,false,false,Q
R19424,'Candidatus Phytoplasma cirsii',,urn:lsid:easin.jrc.ec.europa.eu:species:R19424,https://easin.jrc.ec.europa.eu/spexplorer/species/factsheet/R19424,false,false,false,false,true,false,Q
R19425,'Candidatus Phytoplasma convolvuli',,urn:lsid:easin.jrc.ec.europa.eu:species:R19425,https://easin.jrc.ec.europa.eu/spexplorer/species/factsheet/R19425,false,false,false,false,true,false,Q
R19426,'Candidatus Phytoplasma cynodontis',,urn:lsid:easin.jrc.ec.europa.eu:species:R19426,https://easin.jrc.ec.europa.eu/spexplorer/species/factsheet/R19426,false,false,false,false,true,false,Q
R19427,'Candidatus Phytoplasma fragariae',,urn:lsid:easin.jrc.ec.europa.eu:species:R19427,https://easin.jrc.ec.europa.eu/spexplorer/species/factsheet/R19427,false,false,false,false,true,false,Q
R19428,'Candidatus Phytoplasma fraxini',,urn:lsid:easin.jrc.ec.europa.eu:species:R19428,https://easin.jrc.ec.europa.eu/spexplorer/species/factsheet/R19428,false,false,false,false,true,false,Q
R11526,'Candidatus Phytoplasma mali',,urn:lsid:easin.jrc.ec.europa.eu:species:R11526,https://easin.jrc.ec.europa.eu/spexplorer/species/factsheet/R11526,true,false,false,false,true,false,Q
R19429,'Candidatus Phytoplasma pini',,urn:lsid:easin.jrc.ec.europa.eu:species:R19429,https://easin.jrc.ec.europa.eu/spexplorer/species/factsheet/R19429,false,false,false,false,true,false,Q
R19430,'Candidatus Phytoplasma pruni',,urn:lsid:easin.jrc.ec.europa.eu:species:R19430,https://easin.jrc.ec.europa.eu/spexplorer/species/factsheet/R19430,false,false,false,false,true,false,Q
R11527,'Candidatus Phytoplasma prunorum',,urn:lsid:easin.jrc.ec.europa.eu:species:R11527,https://easin.jrc.ec.europa.eu/spexplorer/species/factsheet/R11527,true,false,false,false,true,false,Q
R11528,'Candidatus Phytoplasma pyri',,urn:lsid:easin.jrc.ec.europa.eu:species:R11528,https://easin.jrc.ec.europa.eu/spexplorer/species/factsheet/R11528,true,false,false,false,true,false,Q
R19431,'Candidatus Phytoplasma rhamni',,urn:lsid:easin.jrc.ec.europa.eu:species:R19431,https://easin.jrc.ec.europa.eu/spexplorer/species/factsheet/R19431,false,false,false,false,true,false,Q
R19432,'Candidatus Phytoplasma rubi',,urn:lsid:easin.jrc.ec.europa.eu:species:R19432,https://easin.jrc.ec.europa.eu/spexplorer/species/factsheet/R19432,false,false,false,false,true,false,Q
R14622,'Candidatus Phytoplasma solani',,urn:lsid:easin.jrc.ec.europa.eu:species:R14622,https://easin.jrc.ec.europa.eu/spexplorer/species/factsheet/R14622,false,false,false,false,true,false,Q
R19433,'Candidatus Phytoplasma spartii',,urn:lsid:easin.jrc.ec.europa.eu:species:R19433,https://easin.jrc.ec.europa.eu/spexplorer/species/factsheet/R19433,false,false,false,false,true,false,Q
R11529,'Candidatus Phytoplasma trifolii',,urn:lsid:easin.jrc.ec.europa.eu:species:R11529,https://easin.jrc.ec.europa.eu/spexplorer/species/factsheet/R11529,false,false,false,false,true,false,Q
R19434,'Candidatus Phytoplasma ulmi',,urn:lsid:easin.jrc.ec.europa.eu:species:R19434,https://easin.jrc.ec.europa.eu/spexplorer/species/factsheet/R19434,false,false,false,false,true,false,Q
R19435,'Candidatus Phytoplasma ziziphi',,urn:lsid:easin.jrc.ec.europa.eu:species:R19435,https://easin.jrc.ec.europa.eu/spexplorer/species/factsheet/R19435,false,false,false,false,true,false,Q
R00001,Abax parallelus,"(Duftschmid, 1812)",urn:lsid:easin.jrc.ec.europa.eu:species:R00001,https://easin.jrc.ec.europa.eu/spexplorer/species/factsheet/R00001,false,false,false,false,true,false,A
R00003,Abelia x grandiflora,(Rovelli ex André) Rehder,urn:lsid:easin.jrc.ec.europa.eu:species:R00003,https://easin.jrc.ec.europa.eu/spexplorer/species/factsheet/R00003,false,false,false,false,false,false,Q
R00004,Abgrallaspis cyanophylli,"(Signoret, 1869)",urn:lsid:easin.jrc.ec.europa.eu:species:R00004,https://easin.jrc.ec.europa.eu/spexplorer/species/factsheet/R00004,false,false,false,false,false,false,C
R19170,Abida polyodon,"(Draparnaud, 1801)",urn:lsid:easin.jrc.ec.europa.eu:species:R19170,https://easin.jrc.ec.europa.eu/spexplorer/species/factsheet/R19170,false,false,false,false,true,false,
R00005,Abies alba,Mill.,urn:lsid:easin.jrc.ec.europa.eu:species:R00005,https://easin.jrc.ec.europa.eu/spexplorer/species/factsheet/R00005,false,false,false,false,true,false,A
R00006,Abies balsamea,(L.) Mill.,urn:lsid:easin.jrc.ec.europa.eu:species:R00006,https://easin.jrc.ec.europa.eu/spexplorer/species/factsheet/R00006,false,false,false,false,false,false,A
R18689,Abies balsamea var. phanerolepis,Fernald,urn:lsid:easin.jrc.ec.europa.eu:species:R18689,https://easin.jrc.ec.europa.eu/spexplorer/species/factsheet/R18689,false,false,false,false,false,false,A
