"","Species","Phylum","Class"
"1","Loligo reynaudii","Mollusca","Cephalopoda"
"2","Mirounga leonina","Chordata","Mammalia"
"3","Aptenodytes patagonicus","Chordata","Aves"
"4","Arctocephalus gazella","Chordata","Mammalia"
"5","Chrysoblephus puniceus","Chordata","Teleostei"
"6","Argyrosomus","Chordata","Teleostei"
"7","Merluccius","Chordata","Teleostei"
"8","Argyrozona argyrozona","Chordata","Teleostei"
"9","Cheimerius nufar","Chordata","Teleostei"
"10","Epinephelus","Chordata","Teleostei"
"11","Thalassarche melanophris","Chordata","Aves"
"12","Diomedea exulans","Chordata","Aves"
"13","Pterogymnus laniarius","Chordata","Teleostei"
"14","Copepoda","Arthropoda","Copepoda"
"15","Thunnus albacares","Chordata","Teleostei"
"16","Fiona","Mollusca","Gastropoda"
"17","Chrysoblephus anglicus","Chordata","Teleostei"
"18","Atractoscion aequidens","Chordata","Teleostei"
"19","Oncaea","Arthropoda","Copepoda"
"20","Sagitta","Chaetognatha","Sagittoidea"
"21","Morus capensis","Chordata","Aves"
"22","Katsuwonus pelamis","Chordata","Teleostei"
"23","Chrysoblephus laticeps","Chordata","Teleostei"
"24","Coryphaena hippurus","Chordata","Teleostei"
"25","Oikopleura","Chordata","Appendicularia"
"26","Eudyptes chrysolophus","Chordata","Aves"
"27","Procellaria aequinoctialis","Chordata","Aves"
"28","Teleostei","Chordata","Teleostei"
"29","Ostracoda","Arthropoda","Ostracoda"
"30","Carcharhinus falciformis","Chordata","Elasmobranchii"
"31","Corycaeus","Arthropoda","Copepoda"
"32","Caretta caretta","Chordata",NA
"33","Sebastes capensis","Chordata","Teleostei"
"34","Chrysoblephus cristiceps","Chordata","Teleostei"
"35","Elagatis bipinnulata","Chordata","Teleostei"
"36","Aptenodytes forsteri","Chordata","Aves"
"37","Phoebetria fusca","Chordata","Aves"
"38","Selachii","Chordata","Elasmobranchii"
"39","Polysteganus praeorbitalis","Chordata","Teleostei"
"40","Thunnus obesus","Chordata","Teleostei"
"41","Polychaeta","Annelida","Polychaeta"
"42","Calanus simillimus","Arthropoda","Copepoda"
"43","Argyrosomus thorpei","Chordata","Teleostei"
"44","Ctenocalanus vanus","Arthropoda","Copepoda"
"45","Canthidermis maculata","Chordata","Teleostei"
"46","Thalassarche chrysostoma","Chordata","Aves"
"47","Acanthocybium solandri","Chordata","Teleostei"
"48","Scomberomorus commerson","Chordata","Teleostei"
"49","Clausocalanus arcuicornis arcuicornis","Arthropoda","Copepoda"
"50","Pachymetopon aeneum","Chordata","Teleostei"
"51","Genypterus capensis","Chordata","Teleostei"
"52","Petrus rupestris","Chordata","Teleostei"
"53","Cymatoceps nasutus","Chordata","Teleostei"
"54","Siphonophorae","Cnidaria","Hydrozoa"
"55","Gastropoda","Mollusca","Gastropoda"
"56","Paracalanus parvus parvus","Arthropoda","Copepoda"
"57","Decapoda","Arthropoda","Malacostraca"
"58","Microsetella rosea","Arthropoda","Copepoda"
"59","Lobotes surinamensis","Chordata","Teleostei"
"60","Chrysoblephus gibbiceps","Chordata","Teleostei"
"61","Phoebetria palpebrata","Chordata","Aves"
"62","Amphipoda","Arthropoda","Malacostraca"
"63","Scomber japonicus","Chordata","Teleostei"
"64","Drepanopus pectinatus","Arthropoda","Copepoda"
"65","Larus dominicanus","Chordata","Aves"
"66","Metridia lucens lucens","Arthropoda","Copepoda"
"67","Oithona similis","Arthropoda","Copepoda"
"68","Decapterus macarellus","Chordata","Teleostei"
"69","Paracalanus aculeatus aculeatus","Arthropoda","Copepoda"
"70","Lethrinus","Chordata","Teleostei"
"71","Sphyraena barracuda","Chordata","Teleostei"
"72","Polysteganus coeruleopunctatus","Chordata","Teleostei"
"73","Euphausia","Arthropoda","Malacostraca"
"74","Onychoprion","Chordata","Aves"
"75","Acrocalanus gibber","Arthropoda","Copepoda"
"76","Salpa","Chordata","Thaliacea"
"77","Chelonia mydas","Chordata",NA
"78","Laridae","Chordata","Aves"
"79","Chelidonichthys capensis","Chordata","Teleostei"
"80","Champsocephalus gunnari","Chordata","Teleostei"
"81","Rhincalanus gigas","Arthropoda","Copepoda"
"82","Calocalanus","Arthropoda","Copepoda"
"83","Calocalanus pavo","Arthropoda","Copepoda"
"84","Channichthys rhinoceratus","Chordata","Teleostei"
"85","Polysteganus undulosus","Chordata","Teleostei"
"86","Auxis thazard","Chordata","Teleostei"
"87","Aluterus monoceros","Chordata","Teleostei"
"88","Lucicutia flavicornis","Arthropoda","Copepoda"
"89","Eukrohnia hamata","Chaetognatha","Sagittoidea"
"90","Subeucalanus subcrassus","Arthropoda","Copepoda"
"91","Calanoides carinatus","Arthropoda","Copepoda"
"92","Megaptera novaeangliae","Chordata","Mammalia"
"93","Paracalanus","Arthropoda","Copepoda"
"94","Thecosomata","Mollusca","Gastropoda"
"95","Trachurus capensis","Chordata","Teleostei"
"96","Nannocalanus minor","Arthropoda","Copepoda"
"97","Pisces","Chordata",NA
"98","Animalia",NA,NA
"99","Pomatomus saltatrix","Chordata","Teleostei"
"100","Calanoida","Arthropoda","Copepoda"
"101","Bivalvia","Mollusca","Bivalvia"
