"","nb_NS","nb_NS_ncbi","nb_NS_withCS","nb_NS_withCS_ncbi","mean_Nb_CS_perCpx","sd_Nb_CS_perCpx","missed_BS_estim","prop.missed_BS_estim","prop.missed_BS_estim_ncbi"
"Malacostraca",32573,5910,99,95,3.41025641025641,2.57693297436636,238.615384615385,0.00727228397073269,0.0388079867887705
"Demospongiae",7478,1052,14,13,3.44444444444444,2.40641843269258,34.2222222222222,0.00455553912143174,0.031505728314239
"Gastropoda",7478,1052,14,13,3.8968253968254,4.13149728806275,40.5555555555556,0.00539406209821626,0.0371199023695718
"Actinopterygii",7478,1052,14,13,3.19594594594595,3.49860766043924,30.7432432432432,0.00409432607392823,0.0283938444641364
"Polychaeta",7478,1052,14,13,2.99180327868852,1.74154819334442,27.8852459016393,0.00371511753618472,0.0258224158608231
"Hexanauplia",7478,1052,14,13,3.1025641025641,1.95737299507155,29.4358974358974,0.00392089893780525,0.0272192716236722
"Insecta",7478,1052,14,13,3,NA,28,0.00373034905409006,0.0259259259259259
"Echinoidea",7478,1052,14,13,2.77777777777778,1.56347191994114,24.8888888888889,0.00331724076651956,0.0231118448204705
"Ostracoda",7478,1052,14,13,4,0,42,0.00558510638297872,0.0383912248628885
"Bivalvia",7478,1052,14,13,3.38888888888889,3.75901033919285,33.4444444444444,0.00445246512728725,0.0308117514586959
"Gymnolaemata",7478,1052,14,13,3,1.61245154965971,28,0.00373034905409006,0.0259259259259259
"Cephalopoda",7478,1052,14,13,2.86363636363636,1.20694239991391,26.0909090909091,0.00347689139257375,0.0242010287545324
"Enoplea",7478,1052,14,13,2,NA,14,0.00186865990389749,0.0131332082551595
"Hydrozoa",7478,1052,14,13,3.24590163934426,2.02201003710761,31.4426229508197,0.00418707812677372,0.0290210319261613
"Arachnida",7478,1052,14,13,2.5,0.707106781186548,21,0.00280037338311775,0.0195712954333644
"Ascidiacea",7478,1052,14,13,3,1.75119007154183,28,0.00373034905409006,0.0259259259259259
"Asteroidea",7478,1052,14,13,3,1.4142135623731,28,0.00373034905409006,0.0259259259259259
"Clitellata",7478,1052,14,13,5.2,4.43846820423443,58.8,0.00780171956267912,0.05293482175009
"Anthozoa",7478,1052,14,13,2.75555555555556,1.38425489566106,24.5777777777778,0.00327591109426094,0.0228295421706642
"Holothuroidea",7478,1052,14,13,2.5,0.577350269189626,21,0.00280037338311775,0.0195712954333644
"Stenolaemata",7478,1052,14,13,NA,NA,NA,NA,NA
"Solenogastres",7478,1052,14,13,NA,NA,NA,NA,NA
"Hoplonemertea",7478,1052,14,13,3.33333333333333,1.23091490979333,32.6666666666667,0.00434936978519439,0.0301167793484942
"Rhynchonellata",7478,1052,14,13,NA,NA,NA,NA,NA
"Ophiuroidea",7478,1052,14,13,2.93548387096774,1.86074329003166,27.0967741935484,0.00361044967291045,0.0251106062417793
"Hexactinellida",7478,1052,14,13,NA,NA,NA,NA,NA
"",37786,5592,118,104,NA,NA,NA,NA,NA
"Chromadorea",37786,5592,118,104,4.33333333333333,3.01109061083632,393.333333333333,0.0103022577659816,0.0657161951436846
"Polyplacophora",37786,5592,118,104,3,1.4142135623731,236,0.00620693282836253,0.0404941660947152
"Pycnogonida",37786,5592,118,104,2.85714285714286,0.899735410842437,219.142857142857,0.00576613691380114,0.0377108019076651
"Calcarea",37786,5592,118,104,3.5,1.91485421551268,295,0.00774664530868412,0.0501104127739086
"Reptilia",32573,5910,99,95,2,0,99,0.00303011753183154,0.0164752870693959
"Scyphozoa",32573,5910,99,95,4.0625,2.79210195611359,303.1875,0.00922210034238307,0.0487974167848628
"Branchiopoda",32573,5910,99,95,NA,NA,NA,NA,NA
"Elasmobranchii",16766,9579,137,136,2.75,2.00567377026456,239.75,0.0140981726768887,0.024417568427753
"Collembola",16766,9579,137,136,NA,NA,NA,NA,NA
"Heterotardigrada",16766,9579,137,136,2,0,137,0.00810507010589836,0.0141004528612598
"Aves",12022,1860,110,98,NA,NA,NA,NA,NA
"Crinoidea",12022,1860,110,98,3.33333333333333,1.52752523165195,256.666666666667,0.0209034640026061,0.121259842519685
"Nematoda incertae sedis",12022,1860,110,98,NA,NA,NA,NA,NA
"Monoplacophora",12022,1860,110,98,NA,NA,NA,NA,NA
"Pilidiophora",12022,1860,110,98,2,1,110,0.00906693043191559,0.0558375634517767
"Sagittoidea",12022,1860,110,98,3,1,220,0.017970919784349,0.105769230769231
"Cubozoa",12022,1860,110,98,2,NA,110,0.00906693043191559,0.0558375634517767
"Eurotatoria",12022,1860,110,98,15,NA,1540,0.11355257336676,0.452941176470588
"Tentaculata",12022,1860,110,98,NA,NA,NA,NA,NA
"Enteropneusta",12022,1860,110,98,2,NA,110,0.00906693043191559,0.0558375634517767
"Pauropoda",12739,1301,35,31,NA,NA,NA,NA,NA
"Ichthyostraca",12739,1301,35,31,NA,NA,NA,NA,NA
"Appendicularia",12739,1301,35,31,NA,NA,NA,NA,NA
"Remipedia",12739,1301,35,31,NA,NA,NA,NA,NA
"Scaphopoda",12739,1301,35,31,NA,NA,NA,NA,NA
"Phascolosomatidea",12739,1301,35,31,2.42857142857143,0.786795792469443,50,0.00390960982093987,0.0370096225018505
"Cyclorhagida",1591,413,1,1,2,NA,1,0.000628140703517588,0.00241545893719807
"Mammalia",12739,1301,35,31,2.25,0.5,43.75,0.00342258121296278,0.0325339282394497
"Chilopoda",12739,1301,35,31,NA,NA,NA,NA,NA
"Homoscleromorpha",1013,268,6,5,3,1.4142135623731,12,0.0117073170731707,0.0428571428571429
"Leptocardii",1013,268,6,5,3,NA,12,0.0117073170731707,0.0428571428571429
"Palaeonemertea",1013,268,6,5,3.66666666666667,1.15470053837925,16,0.0155490767735666,0.0563380281690141
"Nuda",1013,268,6,5,NA,NA,NA,NA,NA
"Thaliacea",1013,268,6,5,NA,NA,NA,NA,NA
"Holocephali",1013,268,6,5,NA,NA,NA,NA,NA
"Staurozoa",1013,268,6,5,NA,NA,NA,NA,NA
"Merostomata",1013,268,6,5,NA,NA,NA,NA,NA
"Petromyzonti",1013,268,6,5,NA,NA,NA,NA,NA
"Graptolithoidea",1013,268,6,5,NA,NA,NA,NA,NA
"Caudofoveata",37786,5592,118,104,NA,NA,NA,NA,NA
"Cephalocarida",12022,1860,110,98,NA,NA,NA,NA,NA
"Craniata",32573,5910,99,95,NA,NA,NA,NA,NA
"Allomalorhagida",5823,165,3,3,NA,NA,NA,NA,NA
"Lingulata",8350,1579,32,32,NA,NA,NA,NA,NA
"Diplopoda",8350,1579,32,32,NA,NA,NA,NA,NA
"Mollusca incertae sedis",8350,1579,32,32,NA,NA,NA,NA,NA
"Myxini",5623,339,8,7,NA,NA,NA,NA,NA
"Sipunculidea",5623,339,8,7,3.33333333333333,1.52752523165195,18.6666666666667,0.00330871491875923,0.0521901211556384
"Nemertea incertae sedis",823,440,21,20,NA,NA,NA,NA,NA
"Eutardigrada",823,440,21,20,NA,NA,NA,NA,NA
"Coelacanthi",823,440,21,20,NA,NA,NA,NA,NA
"Pararotatoria",823,440,21,20,NA,NA,NA,NA,NA
"Porifera incertae sedis",823,440,21,20,NA,NA,NA,NA,NA
"Phylactolaemata",823,440,21,20,NA,NA,NA,NA,NA
"Symphyla",823,440,21,20,NA,NA,NA,NA,NA
"Eucycliophora",1673,66,1,1,3,NA,2,0.00119402985074627,0.0294117647058824
"Cnidaria incertae sedis",1673,66,1,1,NA,NA,NA,NA,NA
