,prop.missed_BS_estim_ncbi,nb_NS_ncbi,nb_NS,nb_NS_withCS,nb_NS_withCS_ncbi,mean_Nb_CS_perCpx,sd_Nb_CS_perCpx,missed_BS_estim,prop.missed_BS_estim,prop.missed_BS_estim_ncbi
Chordata_Aves,NA,534,577,0,0,NA,NA,NA,NA,NA
Platyhelminthes_,NA,485,2908,5,5,NA,NA,NA,NA,NA
Xenacoelomorpha_,NA,130,452,0,0,NA,NA,NA,NA,NA
Porifera_Hexactinellida,NA,85,686,0,0,NA,NA,NA,NA,NA
Gastrotricha_,NA,79,510,1,1,NA,NA,NA,NA,NA
Brachiopoda_Rhynchonellata,NA,63,377,0,0,NA,NA,NA,NA,NA
Annelida_,NA,58,197,0,0,NA,NA,NA,NA,NA
Ctenophora_Tentaculata,NA,45,174,0,0,NA,NA,NA,NA,NA
Chordata_Myxini,NA,39,85,0,0,NA,NA,NA,NA,NA
Chordata_Holocephali,NA,35,56,0,0,NA,NA,NA,NA,NA
Chordata_Thaliacea,NA,29,77,0,0,NA,NA,NA,NA,NA
Bryozoa_Stenolaemata,NA,28,642,0,0,NA,NA,NA,NA,NA
Arthropoda_Branchiopoda,NA,27,49,0,0,NA,NA,NA,NA,NA
Cnidaria_Staurozoa,NA,25,49,0,0,NA,NA,NA,NA,NA
Mollusca_Scaphopoda,NA,24,576,0,0,NA,NA,NA,NA,NA
Entoprocta_,NA,23,195,0,0,NA,NA,NA,NA,NA
Gnathostomulida_,NA,21,100,0,0,NA,NA,NA,NA,NA
Mollusca_Caudofoveata,NA,20,143,0,0,NA,NA,NA,NA,NA
Mollusca_Solenogastres,NA,19,290,0,0,NA,NA,NA,NA,NA
Arthropoda_Remipedia,NA,18,28,0,0,NA,NA,NA,NA,NA
Kinorhyncha_Allomalorhagida,NA,15,111,0,0,NA,NA,NA,NA,NA
Chordata_Appendicularia,NA,14,68,0,0,NA,NA,NA,NA,NA
Phoronida_,NA,11,13,0,0,NA,NA,NA,NA,NA
Chordata_Petromyzonti,NA,10,10,0,0,NA,NA,NA,NA,NA
Arthropoda_Collembola,NA,9,27,0,0,NA,NA,NA,NA,NA
Brachiopoda_Lingulata,NA,9,24,0,0,NA,NA,NA,NA,NA
Priapulida_,NA,7,22,0,0,NA,NA,NA,NA,NA
Arthropoda_Ichthyostraca,NA,7,57,0,0,NA,NA,NA,NA,NA
Arthropoda_Chilopoda,NA,7,47,0,0,NA,NA,NA,NA,NA
Hemichordata_Graptolithoidea,NA,7,22,0,0,NA,NA,NA,NA,NA
Ctenophora_Nuda,NA,6,27,0,0,NA,NA,NA,NA,NA
Mollusca_Monoplacophora,NA,5,30,0,0,NA,NA,NA,NA,NA
Arthropoda_Merostomata,NA,4,4,0,0,NA,NA,NA,NA,NA
Orthonectida_,NA,4,24,0,0,NA,NA,NA,NA,NA
Arthropoda_Cephalocarida,NA,3,12,0,0,NA,NA,NA,NA,NA
Brachiopoda_Craniata,NA,3,12,0,0,NA,NA,NA,NA,NA
Arthropoda_Diplopoda,NA,3,10,0,0,NA,NA,NA,NA,NA
Nematoda_Nematoda incertae sedis,NA,2,44,0,0,NA,NA,NA,NA,NA
Tardigrada_Eutardigrada,NA,2,5,0,0,NA,NA,NA,NA,NA
Placozoa_,NA,2,3,0,0,NA,NA,NA,NA,NA
Chordata_Coelacanthi,NA,2,2,0,0,NA,NA,NA,NA,NA
Arthropoda_,NA,1,13,0,0,NA,NA,NA,NA,NA
Nematomorpha_,NA,1,5,0,0,NA,NA,NA,NA,NA
Rotifera_Pararotatoria,NA,1,3,0,0,NA,NA,NA,NA,NA
Arthropoda_Symphyla,NA,1,4,0,0,NA,NA,NA,NA,NA
Arthropoda_Pauropoda,NA,0,7,0,0,NA,NA,NA,NA,NA
Nemertea_,NA,0,1,0,0,NA,NA,NA,NA,NA
Loricifera_,NA,0,29,0,0,NA,NA,NA,NA,NA
Mollusca_Mollusca incertae sedis,NA,0,2,0,0,NA,NA,NA,NA,NA
Nemertea_Nemertea incertae sedis,NA,0,23,0,0,NA,NA,NA,NA,NA
Porifera_Porifera incertae sedis,NA,0,1,0,0,NA,NA,NA,NA,NA
Bryozoa_Phylactolaemata,NA,0,2,0,0,NA,NA,NA,NA,NA
Cnidaria_Cnidaria incertae sedis,NA,0,1,0,0,NA,NA,NA,NA,NA
Cycliophora_Eucycliophora,0.5,2,2,1,1,3,NA,2,0.5,0.5
Rotifera_Eurotatoria,0.358974359,25,142,1,1,15,NA,14,0.08974359,0.358974359
Cnidaria_Scyphozoa,0.292246521,89,223,12,12,4.0625,2.792101956,36.75,0.141482194,0.292246521
Sipuncula_Phascolosomatidea,0.277777778,26,48,7,7,2.428571429,0.786795792,10,0.172413793,0.277777778
Nemertea_Palaeonemertea,0.195121951,33,115,3,3,3.666666667,1.154700538,8,0.06504065,0.195121951
Sipuncula_Sipunculidea,0.189189189,30,108,3,3,3.333333333,1.527525232,7,0.060869565,0.189189189
Nemertea_Hoplonemertea,0.171492205,124,675,11,11,3.333333333,1.23091491,25.66666667,0.036631779,0.171492205
Chordata_Leptocardii,0.153846154,11,30,1,1,3,NA,2,0.0625,0.153846154
Chaetognatha_Sagittoidea,0.125,42,132,3,3,3,1,6,0.043478261,0.125
Cnidaria_Hydrozoa,0.123955386,873,3720,55,55,3.245901639,2.022010037,123.5245902,0.032138363,0.123955386
Annelida_Polychaeta,0.105381431,1860,12022,110,98,2.991803279,1.741548193,219.0983607,0.017898587,0.105381431
Chordata_Ascidiacea,0.09221902,315,2934,16,16,3,1.751190072,32,0.010788941,0.09221902
Mollusca_Cephalopoda,0.081681055,440,823,21,20,2.863636364,1.2069424,39.13636364,0.045394633,0.081681055
Echinodermata_Ophiuroidea,0.07843517,614,2096,27,27,2.935483871,1.86074329,52.25806452,0.024325785,0.07843517
Annelida_Clitellata,0.075743913,205,965,4,3,5.2,4.438468204,16.8,0.017111428,0.075743913
Echinodermata_Asteroidea,0.05952381,474,1911,15,15,3,1.414213562,30,0.015455951,0.05952381
Mollusca_Gastropoda,0.057606245,5592,37786,118,104,3.896825397,4.131497288,341.8253968,0.008965248,0.057606245
Arthropoda_Hexanauplia,0.053535787,1301,12739,35,31,3.102564103,1.957372995,73.58974359,0.00574355,0.053535787
Arthropoda_Ostracoda,0.051724138,165,5823,3,3,4,0,9,0.00154321,0.051724138
Tardigrada_Heterotardigrada,0.047619048,20,204,1,1,2,0,1,0.004878049,0.047619048
Mollusca_Bivalvia,0.046177596,1579,8350,32,32,3.388888889,3.759010339,76.44444444,0.009071969,0.046177596
Arthropoda_Pycnogonida,0.045828437,232,1349,6,5,2.857142857,0.899735411,11.14285714,0.008192417,0.045828437
Bryozoa_Gymnolaemata,0.045070423,339,5623,8,7,3,1.61245155,16,0.002837383,0.045070423
Arthropoda_Arachnida,0.043062201,100,1573,3,3,2.5,0.707106781,4.5,0.002852615,0.043062201
Porifera_Homoscleromorpha,0.041666667,46,126,1,1,3,1.414213562,2,0.015625,0.041666667
Porifera_Calcarea,0.040431267,178,793,3,3,3.5,1.914854216,7.5,0.009369144,0.040431267
Arthropoda_Malacostraca,0.038807987,5910,32573,99,95,3.41025641,2.576932974,238.6153846,0.007272284,0.038807987
Cnidaria_Cubozoa,0.038461538,25,48,1,1,2,NA,1,0.020408163,0.038461538
Echinodermata_Echinoidea,0.038277512,268,1013,6,5,2.777777778,1.56347192,10.66666667,0.010420059,0.038277512
Chordata_Reptilia,0.037974684,76,93,3,3,2,0,3,0.03125,0.037974684
Cnidaria_Anthozoa,0.035216201,2020,7197,42,40,2.755555556,1.384254896,73.73333333,0.010141114,0.035216201
Porifera_Demospongiae,0.031505728,1052,7478,14,13,3.444444444,2.406418433,34.22222222,0.004555539,0.031505728
Chordata_Actinopterygii,0.030450337,9579,16766,137,136,3.195945946,3.49860766,300.8445946,0.017627429,0.030450337
Echinodermata_Crinoidea,0.027184466,167,673,2,2,3.333333333,1.527525232,4.666666667,0.006886375,0.027184466
Kinorhyncha_Cyclorhagida,0.023809524,41,193,1,1,2,NA,1,0.005154639,0.023809524
Nemertea_Pilidiophora,0.023255814,84,478,2,1,2,1,2,0.004166667,0.023255814
Chordata_Elasmobranchii,0.021779714,786,1218,10,10,2.75,2.00567377,17.5,0.014164306,0.021779714
Nematoda_Chromadorea,0.018083183,362,4441,2,2,4.333333333,3.011090611,6.666666667,0.001498913,0.018083183
Mollusca_Polyplacophora,0.017467249,225,1028,2,2,3,1.414213562,4,0.003875969,0.017467249
Echinodermata_Holothuroidea,0.015929204,278,1749,3,3,2.5,0.577350269,4.5,0.002566296,0.015929204
Nematoda_Enoplea,0.014925373,66,1673,1,1,2,NA,1,0.000597372,0.014925373
Arthropoda_Insecta,0.004819277,413,1591,1,1,3,NA,2,0.001255493,0.004819277
Chordata_Mammalia,0,131,134,0,0,2.25,0.5,0,0,0
Hemichordata_Enteropneusta,0,32,109,0,0,2,NA,0,0,0
