"","nb_NS","nb_NS_ncbi","nb_NS_withCS","nb_NS_withCS_ncbi","mean_Nb_CS_perCpx","sd_Nb_CS_perCpx","missed_BS_estim","prop.missed_BS_estim","prop.missed_BS_estim_ncbi"
"Arthropoda_Malacostraca",32573,5910,99,95,3.41025641025641,2.57693297436636,238.615384615385,0.00727228397073269,0.0388079867887705
"Porifera_Demospongiae",7478,1052,14,13,3.44444444444444,2.40641843269258,34.2222222222222,0.00455553912143174,0.031505728314239
"Mollusca_Gastropoda",37786,5592,118,104,3.8968253968254,4.13149728806275,341.825396825397,0.00896524764441084,0.0576062445329574
"Chordata_Actinopterygii",16766,9579,137,136,3.19594594594595,3.49860766043924,300.844594594595,0.0176274291903893,0.0304503367147284
"Annelida_Polychaeta",12022,1860,110,98,2.99180327868852,1.74154819334442,219.098360655738,0.0178985867281276,0.105381431105855
"Arthropoda_Hexanauplia",12739,1301,35,31,3.1025641025641,1.95737299507155,73.5897435897436,0.0057435495135994,0.0535357869014531
"Arthropoda_Insecta",1591,413,1,1,3,NA,2,0.00125549278091651,0.00481927710843374
"Echinodermata_Echinoidea",1013,268,6,5,2.77777777777778,1.56347191994114,10.6666666666667,0.0104200586128297,0.0382775119617225
"Arthropoda_Ostracoda",5823,165,3,3,4,0,9,0.00154320987654321,0.0517241379310345
"Mollusca_Bivalvia",8350,1579,32,32,3.38888888888889,3.75901033919285,76.4444444444444,0.00907196919749993,0.0461775958117994
"Bryozoa_Gymnolaemata",5623,339,8,7,3,1.61245154965971,16,0.00283738251463025,0.0450704225352113
"Mollusca_Cephalopoda",823,440,21,20,2.86363636363636,1.20694239991391,39.1363636363636,0.0453946327832551,0.0816810549283749
"Nematoda_Enoplea",1673,66,1,1,2,NA,1,0.000597371565113501,0.0149253731343284
"Cnidaria_Hydrozoa",3720,873,55,55,3.24590163934426,2.02201003710761,123.524590163934,0.032138363438613,0.123955385931434
"Arthropoda_Arachnida",1573,100,3,3,2.5,0.707106781186548,4.5,0.00285261489698891,0.0430622009569378
"Chordata_Ascidiacea",2934,315,16,16,3,1.75119007154183,32,0.0107889413351315,0.0922190201729107
"Echinodermata_Asteroidea",1911,474,15,15,3,1.4142135623731,30,0.0154559505409583,0.0595238095238095
"Annelida_Clitellata",965,205,4,3,5.2,4.43846820423443,16.8,0.0171114279894072,0.0757439134355275
"Cnidaria_Anthozoa",7197,2020,42,40,2.75555555555556,1.38425489566106,73.7333333333333,0.0101411136886696,0.0352162007259759
"Echinodermata_Holothuroidea",1749,278,3,3,2.5,0.577350269189626,4.5,0.00256629597946963,0.015929203539823
"Bryozoa_Stenolaemata",642,28,0,0,NA,NA,NA,NA,NA
"Mollusca_Solenogastres",290,19,0,0,NA,NA,NA,NA,NA
"Nemertea_Hoplonemertea",675,124,11,11,3.33333333333333,1.23091490979333,25.6666666666667,0.0366317792578497,0.171492204899777
"Brachiopoda_Rhynchonellata",377,63,0,0,NA,NA,NA,NA,NA
"Echinodermata_Ophiuroidea",2096,614,27,27,2.93548387096774,1.86074329003166,52.258064516129,0.0243257853324524,0.0784351699428682
"Porifera_Hexactinellida",686,85,0,0,NA,NA,NA,NA,NA
"Platyhelminthes_",2908,485,5,5,NA,NA,NA,NA,NA
"Nematoda_Chromadorea",4441,362,2,2,4.33333333333333,3.01109061083632,6.66666666666667,0.0014989132878663,0.0180831826401447
"Mollusca_Polyplacophora",1028,225,2,2,3,1.4142135623731,4,0.00387596899224806,0.0174672489082969
"Gastrotricha_",510,79,1,1,NA,NA,NA,NA,NA
"Priapulida_",22,7,0,0,NA,NA,NA,NA,NA
"Arthropoda_Pycnogonida",1349,232,6,5,2.85714285714286,0.899735410842437,11.1428571428571,0.00819241676294507,0.045828437132785
"Xenacoelomorpha_",452,130,0,0,NA,NA,NA,NA,NA
"Porifera_Calcarea",793,178,3,3,3.5,1.91485421551268,7.5,0.00936914428482199,0.0404312668463612
"Chordata_Reptilia",93,76,3,3,2,0,3,0.03125,0.0379746835443038
"Cnidaria_Scyphozoa",223,89,12,12,4.0625,2.79210195611359,36.75,0.141482194417709,0.292246520874752
"Arthropoda_Branchiopoda",49,27,0,0,NA,NA,NA,NA,NA
"Chordata_Elasmobranchii",1218,786,10,10,2.75,2.00567377026456,17.5,0.0141643059490085,0.0217797137523335
"Arthropoda_Collembola",27,9,0,0,NA,NA,NA,NA,NA
"Tardigrada_Heterotardigrada",204,20,1,1,2,0,1,0.0048780487804878,0.0476190476190476
"Chordata_Aves",577,534,0,0,NA,NA,NA,NA,NA
"Echinodermata_Crinoidea",673,167,2,2,3.33333333333333,1.52752523165195,4.66666666666667,0.00688637481554353,0.0271844660194175
"Nematoda_Nematoda incertae sedis",44,2,0,0,NA,NA,NA,NA,NA
"Mollusca_Monoplacophora",30,5,0,0,NA,NA,NA,NA,NA
"Nemertea_Pilidiophora",478,84,2,1,2,1,2,0.00416666666666667,0.0232558139534884
"Annelida_",197,58,0,0,NA,NA,NA,NA,NA
"Gnathostomulida_",100,21,0,0,NA,NA,NA,NA,NA
"Chaetognatha_Sagittoidea",132,42,3,3,3,1,6,0.0434782608695652,0.125
"Cnidaria_Cubozoa",48,25,1,1,2,NA,1,0.0204081632653061,0.0384615384615385
"Rotifera_Eurotatoria",142,25,1,1,15,NA,14,0.0897435897435897,0.358974358974359
"Ctenophora_Tentaculata",174,45,0,0,NA,NA,NA,NA,NA
"Hemichordata_Enteropneusta",109,32,0,0,2,NA,0,0,0
"Arthropoda_Pauropoda",7,0,0,0,NA,NA,NA,NA,NA
"Arthropoda_Ichthyostraca",57,7,0,0,NA,NA,NA,NA,NA
"Chordata_Appendicularia",68,14,0,0,NA,NA,NA,NA,NA
"Arthropoda_Remipedia",28,18,0,0,NA,NA,NA,NA,NA
"Mollusca_Scaphopoda",576,24,0,0,NA,NA,NA,NA,NA
"Sipuncula_Phascolosomatidea",48,26,7,7,2.42857142857143,0.786795792469443,10,0.172413793103448,0.277777777777778
"Kinorhyncha_Cyclorhagida",193,41,1,1,2,NA,1,0.00515463917525773,0.0238095238095238
"Chordata_Mammalia",134,131,0,0,2.25,0.5,0,0,0
"Arthropoda_Chilopoda",47,7,0,0,NA,NA,NA,NA,NA
"Nemertea_",1,0,0,0,NA,NA,NA,NA,NA
"Loricifera_",29,0,0,0,NA,NA,NA,NA,NA
"Porifera_Homoscleromorpha",126,46,1,1,3,1.4142135623731,2,0.015625,0.0416666666666667
"Chordata_Leptocardii",30,11,1,1,3,NA,2,0.0625,0.153846153846154
"Nemertea_Palaeonemertea",115,33,3,3,3.66666666666667,1.15470053837925,8,0.0650406504065041,0.195121951219512
"Entoprocta_",195,23,0,0,NA,NA,NA,NA,NA
"Ctenophora_Nuda",27,6,0,0,NA,NA,NA,NA,NA
"Chordata_Thaliacea",77,29,0,0,NA,NA,NA,NA,NA
"Chordata_Holocephali",56,35,0,0,NA,NA,NA,NA,NA
"Cnidaria_Staurozoa",49,25,0,0,NA,NA,NA,NA,NA
"Arthropoda_Merostomata",4,4,0,0,NA,NA,NA,NA,NA
"Chordata_Petromyzonti",10,10,0,0,NA,NA,NA,NA,NA
"Hemichordata_Graptolithoidea",22,7,0,0,NA,NA,NA,NA,NA
"Mollusca_Caudofoveata",143,20,0,0,NA,NA,NA,NA,NA
"Arthropoda_Cephalocarida",12,3,0,0,NA,NA,NA,NA,NA
"Orthonectida_",24,4,0,0,NA,NA,NA,NA,NA
"Brachiopoda_Craniata",12,3,0,0,NA,NA,NA,NA,NA
"Kinorhyncha_Allomalorhagida",111,15,0,0,NA,NA,NA,NA,NA
"Arthropoda_",13,1,0,0,NA,NA,NA,NA,NA
