"","nb_NS","nb_NS_ncbi","nb_NS_withCS","nb_NS_withCS_ncbi","mean_Nb_CS_perCpx","sd_Nb_CS_perCpx","missed_BS_estim","prop.missed_BS_estim","prop.missed_BS_estim_ncbi"
"Arthropoda",55906,8201,147,138,3.37058823529412,2.45871585906148,348.476470588235,0.00619464427458374,0.0407599777351348
"Porifera",9084,1361,18,17,3.41666666666667,2.20506662951025,43.5,0.0047658175842235,0.0309718761124955
"Mollusca",49028,7904,173,158,3.66666666666667,3.80989702161559,461.333333333333,0.0093218740738745,0.055148230793752
"Chordata",22050,11561,167,166,3.10869565217391,3.22204334494468,352.152173913043,0.0157195688690625,0.0295599492705359
"Annelida",13184,2123,114,101,3.07874015748031,1.92974337965209,236.976377952756,0.0176571637769997,0.100414724556832
"Echinodermata",7442,1801,53,52,2.92424242424242,1.60106316658752,101.984848484848,0.0135186974169668,0.0535920443959649
"Bryozoa",6267,367,8,7,3,1.61245154965971,16,0.00254655419385644,0.0417754569190601
"Nematoda",6158,430,3,3,4,2.88675134594813,9,0.00145938057402303,0.020501138952164
"Cnidaria",11238,3032,110,108,3.16260162601626,1.96015215091876,237.886178861789,0.0207292208335045,0.0727505992103352
"Nemertea",1292,241,16,15,3.16666666666667,1.2485285456936,34.6666666666667,0.0261306532663317,0.125755743651753
"Brachiopoda",413,75,0,0,NA,NA,NA,NA,NA
"Platyhelminthes",2908,485,5,5,4.8,1.92353840616713,19,0.00649128800819952,0.0376984126984127
"Gastrotricha",510,79,1,1,3,NA,2,0.00390625,0.0246913580246914
"Priapulida",22,7,0,0,NA,NA,NA,NA,NA
"Xenacoelomorpha",452,130,0,0,NA,NA,NA,NA,NA
"Tardigrada",209,22,1,1,2,0,1,0.00476190476190476,0.0434782608695652
"Gnathostomulida",100,21,0,0,NA,NA,NA,NA,NA
"Chaetognatha",132,42,3,3,3,1,6,0.0434782608695652,0.125
"Rotifera",145,26,1,1,15,NA,14,0.0880503144654088,0.35
"Ctenophora",201,51,0,0,NA,NA,NA,NA,NA
"Hemichordata",131,39,0,0,2,NA,0,0,0
"Sipuncula",156,56,10,10,2.7,1.05934990547138,17,0.0982658959537572,0.232876712328767
"Kinorhyncha",304,56,1,1,2,NA,1,0.00327868852459016,0.0175438596491228
"Loricifera",29,0,0,0,NA,NA,NA,NA,NA
"Entoprocta",195,23,0,0,NA,NA,NA,NA,NA
"Orthonectida",24,4,0,0,NA,NA,NA,NA,NA
"Placozoa",3,2,0,0,NA,NA,NA,NA,NA
"Nematomorpha",5,1,0,0,NA,NA,NA,NA,NA
"Phoronida",13,11,0,0,NA,NA,NA,NA,NA
"Cycliophora",2,2,1,1,3,NA,2,0.5,0.5
