"","phylum_class","nb_NS","nb_NS_ncbi","nb_NS_withCS","nb_NS_withCS_ncbi","mean_Nb_CS_perCpx","sd_Nb_CS_perCpx","tot_BS_inCS","prop_withCS_ncbi","total_estim_BS","estim_missed_BS","prop_missed_BS","prop_withCSncbi_ncbi","total_estim_BS_bis","estim_missed_BS_bis","prop_missed_BS_bis"
"1","Annelida_Clitellata",953,167,3,3,3.75,3.5,15,0.0179640718562874,1000.07934131737,47.0793413173652,0.0494011976047904,0.0179640718562874,1000.07934131737,47.0793413173652,0.0494011976047904
"2","Annelida_Polychaeta",11264,1194,64,49,2.97196261682243,1.63371289090527,318,0.0536013400335008,12454.6029837662,1190.60298376618,0.105699838757651,0.0410385259631491,12175.555409446,911.555409445984,0.0809264390488267
"3","Arthropoda_Copepoda",10390,620,21,18,8,NA,8,0.0338709677419355,12853.435483871,2463.43548387097,0.237096774193548,0.0290322580645161,12501.5161290323,2111.51612903226,0.203225806451613
"4","Arthropoda_Insecta",1585,343,1,1,3,NA,3,0.00291545189504373,1594.24198250729,9.24198250728864,0.00583090379008747,0.00291545189504373,1594.24198250729,9.24198250728864,0.00583090379008747
"5","Arthropoda_Malacostraca",31162,3991,76,68,2.84210526315789,1.38622239990316,270,0.0190428464044099,32255.1295414683,1093.1295414683,0.0350789275870708,0.0170383362565773,32140.0632739453,978.063273945325,0.031386408893695
"6","Arthropoda_Ostracoda",5752,105,3,3,4,0,12,0.0285714285714286,6245.02857142857,493.028571428571,0.0857142857142856,0.0285714285714286,6245.02857142857,493.028571428572,0.0857142857142858
"7","Arthropoda_Pycnogonida",1342,145,2,2,3,0.894427190999916,18,0.0137931034482759,1379.02068965517,37.0206896551724,0.0275862068965517,0.0137931034482759,1379.02068965517,37.0206896551724,0.0275862068965517
"8","Arthropoda_Thecostraca",1754,294,9,8,NA,NA,NA,0.0306122448979592,NA,NA,NA,0.0272108843537415,NA,NA,NA
"9","Bryozoa_Gymnolaemata",5384,191,8,7,3.25,1.83225076262581,26,0.0418848167539267,5891.39267015707,507.392670157068,0.0942408376963351,0.0366492146596859,5827.96858638743,443.968586387434,0.082460732984293
"10","Chaetognatha_Sagittoidea",131,40,2,2,3,1,9,0.05,144.1,13.1,0.1,0.05,144.1,13.1,0.1
