"","Species","Phylum","Class"
"1","Mirounga leonina","Chordata","Mammalia"
"2","Leptonychotes weddellii","Chordata","Mammalia"
"3","Lobodon carcinophagus","Chordata","Mammalia"
"4","Pygoscelis adeliae","Chordata","Aves"
"5","Aptenodytes forsteri","Chordata","Aves"
"6","Euphausia superba","Arthropoda","Malacostraca"
"7","Megaptera novaeangliae","Chordata","Mammalia"
"8","Arctocephalus gazella","Chordata","Mammalia"
"9","Thalassoica antarctica","Chordata","Aves"
"10","Pagodroma nivea","Chordata","Aves"
"11","Pleuragramma antarcticum","Chordata","Teleostei"
"12","Thalassarche melanophris","Chordata","Aves"
"13","Oithona similis","Arthropoda","Copepoda"
"14","Calanoida","Arthropoda","Copepoda"
"15","Electrona antarctica","Chordata","Teleostei"
"16","Fulmarus glacialoides","Chordata","Aves"
"17","Phoebetria palpebrata","Chordata","Aves"
"18","Copepoda","Arthropoda","Copepoda"
"19","Thalassarche chrysostoma","Chordata","Aves"
"20","Daption capense","Chordata","Aves"
"21","Thysanoessa macrura","Arthropoda","Malacostraca"
"22","Porifera","Porifera",NA
"23","Fritillaria","Chordata","Appendicularia"
"24","Oceanites oceanicus","Chordata","Aves"
"25","Rhincalanus gigas","Arthropoda","Copepoda"
"26","Procellaria aequinoctialis","Chordata","Aves"
"27","Dissostichus mawsoni","Chordata","Teleostei"
"28","Calanoides acutus","Arthropoda","Copepoda"
"29","Notolepis coatsorum","Chordata","Teleostei"
"30","Pachyptila","Chordata","Aves"
"31","Diomedea exulans","Chordata","Aves"
"32","Aptenodytes patagonicus","Chordata","Aves"
"33","Bathylagus antarcticus","Chordata","Teleostei"
"34","Macronectes giganteus","Chordata","Aves"
"35","Calanus simillimus","Arthropoda","Copepoda"
"36","Trematomus bernacchii","Chordata","Teleostei"
"37","Pygoscelis antarcticus","Chordata","Aves"
"38","Calanus propinquus","Arthropoda","Copepoda"
"39","Balaenoptera physalus","Chordata","Mammalia"
"40","Metridia gerlachei","Arthropoda","Copepoda"
"41","Salpidae","Chordata","Thaliacea"
"42","Euphausia crystallorophias","Arthropoda","Malacostraca"
"43","Clausocalanus brevipes","Arthropoda","Copepoda"
"44","Balaenoptera musculus","Chordata","Mammalia"
"45","Limacina","Mollusca","Gastropoda"
"46","Ctenocalanus","Arthropoda","Copepoda"
"47","Siphonophorae","Cnidaria","Hydrozoa"
"48","Oikopleura","Chordata","Appendicularia"
"49","Puffinus","Chordata","Aves"
"50","Sterna paradisaea","Chordata","Aves"
"51","Clausocalanus laticeps","Arthropoda","Copepoda"
"52","Themisto gaudichaudii","Arthropoda","Malacostraca"
"53","Halobaena caerulea","Chordata","Aves"
"54","Polychaeta","Annelida","Polychaeta"
"55","Chaetognatha","Chaetognatha",NA
"56","Pelecanoides urinatrix","Chordata","Aves"
"57","Puffinus tenuirostris","Chordata","Aves"
"58","Ostracoda","Arthropoda","Ostracoda"
"59","Euphausiidae","Arthropoda","Malacostraca"
"60","Trematomus eulepidotus","Chordata","Teleostei"
"61","Amphipoda","Arthropoda","Malacostraca"
"62","Ctenocalanus citer","Arthropoda","Copepoda"
"63","Pygoscelis papua","Chordata","Aves"
"64","Thouarella","Cnidaria","Anthozoa"
"65","Paraeuchaeta","Arthropoda","Copepoda"
"66","Pterodroma lessonii","Chordata","Aves"
"67","Pisces","Chordata",NA
"68","Gymnoscopelus opisthopterus","Chordata","Teleostei"
"69","Pachyptila desolata","Chordata","Aves"
"70","Demospongiae","Porifera","Demospongiae"
"71","Salpa thompsoni","Chordata","Thaliacea"
"72","Bathylagus","Chordata","Teleostei"
"73","Stercorarius maccormicki","Chordata","Aves"
"74","Chionodraco hamatus","Chordata","Teleostei"
"75","Gymnoscopelus","Chordata","Teleostei"
"76","Paraeuchaeta antarctica","Arthropoda","Copepoda"
"77","Animalia",NA,NA
"78","Gastropoda","Mollusca","Gastropoda"
"79","Electrona","Chordata","Teleostei"
"80","Glabraster antarctica","Echinodermata","Asteroidea"
"81","Metridia","Arthropoda","Copepoda"
"82","Balaenoptera acutorostrata","Chordata","Mammalia"
"83","Actinopteri","Chordata",NA
"84","Lepidonotothen squamifrons","Chordata","Teleostei"
"85","Ommatophoca rossii","Chordata","Mammalia"
"86","Ophiuroidea","Echinodermata","Ophiuroidea"
"87","Orcinus orca","Chordata","Mammalia"
"88","Physeter macrocephalus","Chordata","Mammalia"
"89","Nymphon australe","Arthropoda","Pycnogonida"
"90","Promachocrinus kerguelensis","Echinodermata","Crinoidea"
"91","Gymnoscopelus braueri","Chordata","Teleostei"
"92","Sterechinus neumayeri","Echinodermata","Echinoidea"
"93","Bryozoa","Bryozoa",NA
"94","Pterodroma inexpectata","Chordata","Aves"
"95","Ophiacantha antarctica","Echinodermata","Ophiuroidea"
"96","Trematomus hansoni","Chordata","Teleostei"
"97","Trematomus scotti","Chordata","Teleostei"
"98","Chionodraco myersi","Chordata","Teleostei"
"99","Euphausiacea","Arthropoda","Malacostraca"
"100","Oithona","Arthropoda","Copepoda"
"101","Odontaster validus","Echinodermata","Asteroidea"
"102","Hydrurga leptonyx","Chordata","Mammalia"
"103","Euphausia frigida","Arthropoda","Malacostraca"
