Phylum,Trop,Npol,Ntemp,Spol,Stemp
Acanthocephala,3,3,0,3,12
Annelida,676,636,337,186,1181
Arthropoda,4507,1457,1366,654,5624
Brachiopoda,33,9,7,15,65
Bryozoa,478,204,16,203,908
Chaetognatha,22,8,22,6,19
Chordata,5266,474,1556,217,4492
Cnidaria,1967,249,563,172,1614
Ctenophora,3,7,2,3,7
Dicyemida,0,0,0,0,1
Echinodermata,1116,162,358,244,1347
Entoprocta,1,0,1,0,2
Gastrotricha,0,4,0,0,7
Hemichordata,3,3,1,5,6
Kinorhyncha,0,1,0,0,5
Mollusca,5998,562,805,304,6486
Nematoda,12,62,7,63,188
Nemertea,15,2,19,8,32
Phoronida,1,2,0,0,8
Platyhelminthes,364,34,9,16,291
Porifera,694,223,253,207,1177
Priapulida,1,3,1,1,1
Rotifera,1,4,1,14,22
Sipuncula,33,10,12,5,43
Tardigrada,14,6,3,0,13
Xenacoelomorpha,6,19,0,0,7
