,V1,num_cs,num_worms,Prop-missing,Nb_bio_missing,,,,,Class,Value,Variable,Class_num,z-score,,,,,Class,Class_num,z_score,,Class,Value,Variable,Class_num,z-score
f,Anthozoa,42,7197,0.719327498,225.2645831,,,,,Anthozoa,42,1num_CS,4,0.603569921,,,,,,,0.595700217,,Homoscleromorpha,1,num_CS,1,-0.567678021
f,Cubozoa,1,48,0.479166667,171.0342205,,,,,Cubozoa,1,1num_CS,6,-0.567678021,,,,,,,-1.054820429,,Demospongiae,14,num_CS,2,-0.196306722
f,Hydrozoa,55,3720,0.765322581,270.5450398,,,,,Hydrozoa,55,1num_CS,7,0.97494122,,,,,,,0.90952486,,Calcarea,3,num_CS,3,-0.510543975
f,Scyphozoa,12,223,0.600896861,285.0570342,,,,,Scyphozoa,12,1num_CS,5,-0.253440768,,,,,,,-0.931476313,,Anthozoa,42,num_CS,4,0.603569921
f,Leptocardii,1,30,0.633333333,256.5513308,,,,,Leptocardii,1,1num_CS,8,-0.567678021,,,,,,,4.537350661,,Scyphozoa,12,num_CS,5,-0.253440768
f,Ascidiacea,16,2934,0.892638037,256.5513308,,,,,Ascidiacea,16,1num_CS,9,-0.139172676,,,,,,,0.191398931,,Cubozoa,1,num_CS,6,-0.567678021
f,Elasmobranchii,10,1218,0.354679803,247.0494297,,,,,Elasmobranchii,10,1num_CS,10,-0.310574814,,,,,,,5.408222888,,Hydrozoa,55,num_CS,7,0.97494122
f,Reptilia,3,93,0.182795699,171.0342205,,,,,Reptilia,3,1num_CS,12,-0.510543975,,,,,,,0.927873501,,Leptocardii,1,num_CS,8,-0.567678021
f,Actinopterygii,137,16766,0.428665156,261.734186,,,,,Actinopterygii,137,1num_CS,11,3.317437103,,,,,,,1.811885841,,Ascidiacea,16,num_CS,9,-0.139172676
f,Sagittoidea,3,132,0.681818182,256.5513308,,,,,Sagittoidea,3,1num_CS,13,-0.510543975,,,,,,,-0.003305974,,Elasmobranchii,10,num_CS,10,-0.310574814
f,Crinoidea,2,673,0.751857355,299.3098859,,,,,Crinoidea,2,1num_CS,14,-0.539110998,,,,,,,-2.964998819,,Actinopterygii,137,num_CS,11,3.317437103
f,Holothuroidea,3,1749,0.84105203,199.539924,,,,,Holothuroidea,3,1num_CS,15,-0.510543975,,,,,,,0.325593851,,Reptilia,3,num_CS,12,-0.510543975
f,Echinoidea,6,1013,0.735439289,213.7927757,,,,,Echinoidea,6,1num_CS,16,-0.424842906,,,,,,,1.288110832,,Sagittoidea,3,num_CS,13,-0.510543975
f,Ophiuroidea,27,2096,0.707061069,243.8821293,,,,,Ophiuroidea,27,1num_CS,17,0.175064577,,,,,,,-0.849014536,,Crinoidea,2,num_CS,14,-0.539110998
f,Asteroidea,15,1911,0.751962323,228.0456274,,,,,Asteroidea,15,1num_CS,18,-0.167739699,,,,,,,-0.617746006,,Holothuroidea,3,num_CS,15,-0.510543975
f,Enoplea,1,1673,0.96054991,171.0342205,,,,,Enoplea,1,1num_CS,30,-0.567678021,,,,,,,0.419904886,,Echinoidea,6,num_CS,16,-0.424842906
f,Chromadorea,2,4441,0.918486827,641.378327,,,,,Chromadorea,2,1num_CS,31,-0.539110998,,,,,,,3.961472324,,Ophiuroidea,27,num_CS,17,0.175064577
f,Heterotardigrada,1,204,0.901960784,171.0342205,,,,,Heterotardigrada,1,1num_CS,32,-0.567678021,,,,,,,1.282206953,,Asteroidea,15,num_CS,18,-0.167739699
f,Ostracoda,3,5823,0.971664091,342.0684411,,,,,Ostracoda,3,1num_CS,36,-0.510543975,,,,,,,-0.260151778,,Gymnolaemata,8,num_CS,19,-0.36770886
f,Malacostraca,99,32573,0.818561385,243.0486292,,,,,Malacostraca,99,1num_CS,37,2.23189023,,,,,,,0.367752199,,Eurotatoria,1,num_CS,20,-0.567678021
f,Thecostraca,11,1495,0.780602007,264.3256135,,,,,Thecostraca,11,1num_CS,38,-0.282007791,,,,,,,-0.181604843,,Clitellata,4,num_CS,21,-0.481976952
f,Copepoda,24,10888,0.915227774,296.0207663,,,,,Copepoda,24,1num_CS,39,0.089363508,,,,,,,4.882568798,,Polychaeta,110,num_CS,22,2.546127483
f,Insecta,1,1591,0.740414833,256.5513308,,,,,Insecta,1,1num_CS,35,-0.567678021,,,,,,,2.652442487,,Palaeonemertea,3,num_CS,23,-0.510543975
f,Pycnogonida,6,1349,0.828020756,256.5513308,,,,,Pycnogonida,6,1num_CS,33,-0.424842906,,,,,,,-0.016724986,,Pilidiophora,2,num_CS,24,-0.539110998
f,Arachnida,3,1573,0.936427209,213.7927757,,,,,Arachnida,3,1num_CS,34,-0.510543975,,,,,,,1.89469147,,Hoplonemertea,11,num_CS,25,-0.282007791
f,Clitellata,4,965,0.787564767,320.6891635,,,,,Clitellata,4,1num_CS,21,-0.481976952,,,,,,,-1.161634805,,Cephalopoda,21,num_CS,26,0.003662439
f,Polychaeta,110,12022,0.845283647,254.1536548,,,,,Polychaeta,110,1num_CS,22,2.546127483,,,,,,,-0.607297186,,Gastropoda,118,num_CS,27,2.774663667
f,Hoplonemertea,11,675,0.816296296,279.8741791,,,,,Hoplonemertea,11,1num_CS,25,-0.282007791,,,,,,,-0.927424529,,Bivalvia,32,num_CS,28,0.317899692
f,Pilidiophora,2,478,0.824267782,128.2756654,,,,,Pilidiophora,2,1num_CS,24,-0.539110998,,,,,,,-1.198762189,,Polyplacophora,2,num_CS,29,-0.539110998
f,Palaeonemertea,3,115,0.713043478,342.0684411,,,,,Palaeonemertea,3,1num_CS,23,-0.510543975,,,,,,,-1.219691565,,Enoplea,1,num_CS,30,-0.567678021
f,Eurotatoria,1,142,0.823943662,1282.756654,,,,,Eurotatoria,1,1num_CS,20,-0.567678021,,,,,,,1.10641656,,Chromadorea,2,num_CS,31,-0.539110998
f,Gastropoda,118,37786,0.85200868,302.419599,,,,,Gastropoda,118,1num_CS,27,2.774663667,,,,,,,0.712275976,,Heterotardigrada,1,num_CS,32,-0.567678021
f,Bivalvia,32,8350,0.810898204,247.3887833,,,,,Bivalvia,32,1num_CS,28,0.317899692,,,,,,,0.039934842,,Pycnogonida,6,num_CS,33,-0.424842906
f,Polyplacophora,2,1028,0.781128405,256.5513308,,,,,Polyplacophora,2,1num_CS,29,-0.539110998,,,,,,,-1.497671091,,Arachnida,3,num_CS,34,-0.510543975
f,Cephalopoda,21,823,0.465370595,248.4068441,,,,,Cephalopoda,21,1num_CS,26,0.003662439,,,,,,,-1.542658765,,Insecta,1,num_CS,35,-0.567678021
f,Gymnolaemata,8,5623,0.939711898,277.9306084,,,,,Gymnolaemata,8,1num_CS,19,-0.36770886,,,,,,,-1.400667764,,Ostracoda,3,num_CS,36,-0.510543975
f,Homoscleromorpha,1,126,0.634920635,342.0684411,,,,,Homoscleromorpha,1,1num_CS,1,-0.567678021,,,,,,,0.649741758,,Malacostraca,99,num_CS,37,2.23189023
f,Calcarea,3,793,0.775535939,285.0570342,,,,,Calcarea,3,1num_CS,3,-0.510543975,,,,,,,0.084416126,,Thecostraca,11,num_CS,38,-0.282007791
f,Demospongiae,14,7478,0.859320674,213.7927757,,,,,Demospongiae,14,1num_CS,2,-0.196306722,,,Anthozoa,5,3,,,,Copepoda,24,num_CS,39,0.089363508
,,,,,,,,,,Anthozoa,7197,2num_WoRMS,4,0.322776826,,,Staurozoa,6,3,,,,,,,,
,,,,,,,,,,Cubozoa,48,2num_WoRMS,6,-0.552086876,,,Cubozoa,8,-3,,,,,,,,
,,,,,11223.18188,,,,,Hydrozoa,3720,2num_WoRMS,7,-0.102723397,,,Hydrozoa,9,3,,,,,,,,
,,,,,,,,,,Scyphozoa,223,2num_WoRMS,5,-0.530671133,,,Scyphozoa,7,3,,,,,,,,
,,,,,,,,,,Leptocardii,30,2num_WoRMS,8,-0.554289639,,,Leptocardii,10,3,,,,,,,,
,,,,,,,,,,Ascidiacea,2934,2num_WoRMS,9,-0.198910678,,,Ascidiacea,11,0,,,,,,,,
,,,,,,,,,,Elasmobranchii,1218,2num_WoRMS,10,-0.408907336,,,Elasmobranchii,12,-3,,,,,,,,
,,,,,,,,,,Reptilia,93,2num_WoRMS,12,-0.546579971,,,Holocephali,13,-3,,,,,,,,
,,,,,,,,,,Actinopterygii,16766,2num_WoRMS,11,1.493789662,,,Reptilia,15,-3,,,,,,,,
