,Class,Num_CS,Num_WoRMS,Prop_missing,Nb_Bio_missing
f,Anthozoa,42,7197,0.719327498,283.541077
f,Cubozoa,1,48,0.479166667,1.84
f,Hydrozoa,55,3720,0.765322581,567.443299
f,Scyphozoa,12,223,0.600896861,60.2247191
f,Leptocardii,1,30,0.633333333,5.181818182
f,Ascidiacea,16,2934,0.892638037,399.0857143
f,Elasmobranchii,10,1218,0.354679803,15.8778626
f,Reptilia,3,93,0.182795699,1.342105263
f,Actinopterygii,137,16766,0.428665156,314.5976489
f,Sagittoidea,3,132,0.681818182,19.28571429
f,Crinoidea,2,673,0.751857355,21.20958084
f,Holothuroidea,3,1749,0.84105203,37.03956835
f,Echinoidea,6,1013,0.735439289,41.69776119
f,Ophiuroidea,27,2096,0.707061069,185.8534202
f,Asteroidea,15,1911,0.751962323,121.2658228
f,Enoplea,1,1673,0.96054991,48.6969697
f,Chromadorea,2,4441,0.918486827,169.019337
f,Heterotardigrada,1,204,0.901960784,18.4
f,Ostracoda,3,5823,0.971664091,411.4909091
f,Malacostraca,99,32573,0.818561385,1269.395298
f,Thecostraca,11,1495,0.780602007,120.9695122
f,Copepoda,24,10888,0.915227774,896.9247437
f,Insecta,1,1591,0.740414833,8.556900726
f,Pycnogonida,6,1349,0.828020756,86.6637931
f,Arachnida,3,1573,0.936427209,110.475
f,Clitellata,4,965,0.787564767,55.6097561
f,Polychaeta,110,12022,0.845283647,1786.08562
f,Hoplonemertea,11,675,0.816296296,159.9677419
f,Pilidiophora,2,478,0.824267782,14.07142857
f,Palaeonemertea,3,115,0.713043478,29.81818182
f,Eurotatoria,1,142,0.823943662,70.2
f,Gastropoda,118,37786,0.85200868,2402.407641
f,Bivalvia,32,8350,0.810898204,396.9608251
f,Polyplacophora,2,1028,0.781128405,21.41333333
f,Cephalopoda,21,823,0.465370595,53.09772727
f,Gymnolaemata,8,5623,0.939711898,405.2625369
f,Homoscleromorpha,1,126,0.634920635,6.956521739
f,Calcarea,3,793,0.775535939,34.5505618
f,Demospongiae,14,7478,0.859320674,213.7927757
