NameBeforeCor,acceptedName_wormsV1,genus_wormsV1,class_wormsV1,phylum_wormsV1,PremierNom,Article_authors,Article_year,Article_title,Article_journal,Article_vol,Article_start.Page,Article_end.Page,Group_survey,MainDataType,GeneticMarker,Nb_CS,Morpho_diff,relativeDistribution,Eco_diff,Repro_diff,RIOK,Nig,Nsg,Nim,Nsm,Region,Comments,Larva,Habitat,adultDispersal,SpeciesName,KeepFATE,gs,yearb,Nb_CScomplex_inArticle,nb_RemainingArticles,nb_RemovedArticles,nb_art,nb_Articles_per_sp,orig_Nig,orig_Nsg,orig_Nim,orig_Nsm,Npol,Ntemp,Trop,Stemp,Spol,nb_zones,NbSitesUsed_r100,SimplifiedName,ncbi,mito,dna,Geo_diff,larv.pktro,larv.leci,larv.dd,larv.pel,larva,Hpelagic,Hcoastal,Hcoralreef,Hdeepsea,Hintertidal,Hseagrass,Hestuarine,Hcave,adultbenthic,adultpelagic,HabAdu,Demersal,HKKv3,Hsubstrate,HDifAccess,Dispers,DispAdult,noNeedTaxonSearch,genus,genusBC,Geo_dif3,symp,sympara,allop,NoMorphoDiff,StatMorphoDiff,DiagMorphoDiff,phylum_class,hard_skeleton,ferti,image,genitals,CSss,Sympatric
Abyssorchomene spp.,NA,Abyssorchomene,Malacostraca,Arthropoda,Abyssorchomene,"FRANCE, SC",1994,"GENETIC POPULATION-STRUCTURE AND GENE FLOW AMONG DEEP-SEA AMPHIPODS, ABYSSORCHOMENE SPP, FROM 6 CALIFORNIA CONTINENTAL BORDERLAND BASINS",MARINE BIOLOGY,118,67,77,Arthropoda,"Genetic, Morphological, Ecological",Allozymes,2,Statistic,Allopatric,Yes,NA,TRUE,831,12,100,5,Pacific,NA,NA,"Soft sediment, Deep sea",Demersal or benthic,Abyssorchomene spp.,other,NA,NA,1,NA,NA,NA,NA,831,12,100,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Allopatric,NA,NA,NA,NA,NA,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,"Soft sediment, Deep sea,Demersal or benthic",TRUE,100,Sediment,Inaccessible,NA,Demersal or benthic,NA,NA,Abyssorchomene,Allopatric,FALSE,FALSE,TRUE,FALSE,TRUE,FALSE,Arthropoda_Malacostraca,Y,I,Y,Y,TRUE,FALSE
Acar spp.,NA,Acar,Bivalvia,Mollusca,Acar,"Marko, P. B.; Moran, A. L.",2009,"Out of sight, out of mind: high cryptic diversity obscures the identities and histories of geminate species in the marine bivalve subgenus Acar",JOURNAL OF BIOGEOGRAPHY,36,1861,1880,Mollusca,Genetic,"mtDNA, ITS",22,NA,"Allopatric, Sympatric",NA,NA,TRUE,233,42,NA,NA,"Pacific, Caribbean",NA,"Planktotroph, Lecithotrophic",unknown,Demersal or benthic,Acar spp.,other,NA,NA,1,NA,NA,NA,NA,233,42,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Sympatric, Allopatric",TRUE,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,"unknown,Demersal or benthic",TRUE,NA,NA,Average,NA,Demersal or benthic,NA,NA,Acar,"Sympatric, Allopatric",TRUE,TRUE,TRUE,NA,NA,NA,Mollusca_Bivalvia,Y,E,N,N,NA,TRUE
Acartia spp.,NA,Acartia,Copepoda,Arthropoda,Acartia,"MCKINNON, AD; KIMMERER, WJ; BENZIE, JAH",1992,"SYMPATRIC SIBLING SPECIES WITHIN THE GENUS ACARTIA (COPEPODA, CALANOIDA) - A CASE-STUDY FROM WESTERNPORT AND PORT PHILLIP BAYS, AUSTRALIA",JOURNAL OF CRUSTACEAN BIOLOGY,12,239,259,Arthropoda,"Genetic, Morphological",Allozymes,2,Statistic,Sympatric,NA,NA,TRUE,97,4,161,7,Australia,NA,"Pelagic, Direct development, Brooding","Pelagic, Coastal","Pelagic, Coastal",Acartia spp.,other,NA,NA,1,NA,NA,NA,NA,97,4,161,7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Sympatric,FALSE,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,"Pelagic, Coastal,Pelagic, Coastal",FALSE,1000,NA,Average,High,Pelagic,NA,NA,Acartia,Sympatric,TRUE,TRUE,FALSE,FALSE,TRUE,FALSE,Arthropoda_Hexanauplia,NA,NA,NA,NA,TRUE,TRUE
Acrocnida spp.,NA,Acrocnida,Ophiuroidea,Echinodermata,Acrocnida,"Muths, D.; Davoult, D.; Jolly, M. T.; Gentil, F.; Jollivet, D.",2010,Pre-zygotic factors best explain reproductive isolation between the hybridizing species of brittle-stars Acrocnida brachiata and A. spatulispina (Echinodermata: Ophiuroidea),GENETICA,138,667,679,Echinodermata,"Genetic, Ecological, Reproductive","mtDNA, Allozymes, ITS",2,NA,Parapatric,Yes,NA,TRUE,529,6,NA,NA,Atlantic,NA,Lecithotrophic,"Soft sediment, Coastal","Demersal or benthic, Coastal",Acrocnida spp.,other,NA,NA,1,NA,NA,NA,NA,529,6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Paratric,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,"Soft sediment, Coastal,Demersal or benthic, Coastal",TRUE,25,Sediment,Average,NA,Demersal or benthic,NA,NA,Acrocnida,Allopatric,FALSE,FALSE,FALSE,NA,NA,NA,Echinodermata_Ophiuroidea,Y,E,N,N,NA,FALSE
Acropora spp.,NA,Acropora,Anthozoa,Cnidaria,Acropora,"Nakajima, Yuichi; Nishikawa, Akira; Iguchi, Akira; Sakai, Kazuhiko",2012,The population genetic approach delineates the species boundary of reproductively isolated corymbose acroporid corals,MOLECULAR PHYLOGENETICS AND EVOLUTION,63,527,531,Cnidaria,"Genetic, Morphological, Reproductive","mtDNA, other nuclear, microsatellites",2,Statistic,"Allopatric, Sympatric",No,Yes,TRUE,157,2,NA,NA,Pacific,Habitat difference mentioned; is in another paper. Actual data on morphological and reproductive differences also in another paper.,"Planktotroph, External fertilization",Coral reef,Demersal or benthic,Acropora spp.,other,NA,NA,1,NA,NA,NA,NA,157,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Sympatric, Allopatric",TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,"Coral reef,Demersal or benthic",TRUE,10,NA,Average,NA,Demersal or benthic,NA,NA,Acropora,"Sympatric, Allopatric",TRUE,TRUE,TRUE,FALSE,TRUE,FALSE,Cnidaria_Anthozoa,Y,E,N,N,TRUE,TRUE
Aglaophamus sp.,NA,Aglaophamus,Polychaeta,Annelida,Aglaophamus,"Brasier, MJ; Harle, J; Wiklund, H; Jeffreys, RM; Linse, K; Ruhl, HA; Glover, AG",2017,Distributional Patterns of Polychaetes Across the West Antarctic Based on DNA Barcoding and Particle Tracking Analyses,FRONTIERS IN MARINE SCIENCE,4,NA,NA,Annelida,Genetic,mtDNA,2,NA,NA,NA,NA,NA,29,NA,NA,NA,Antarctic,NA,Pelagic,NA,NA,Aglaophamus,other,NA,NA,6,NA,NA,NA,NA,29,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,FALSE,FALSE,FALSE,TRUE,TRUE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"NA,NA",FALSE,NA,NA,NA,NA,NA,NA,NA,Aglaophamus,NA,FALSE,FALSE,FALSE,NA,NA,NA,Annelida_Polychaeta,N,B,N,N,NA,NA
Akko sp.nov.,NA,Akko,Actinopterygii,Chordata,Akko,"Ruber, L; Van Tassell, JL; Zardoya, R",2003,"Rapid speciation and ecological divergence in the American seven-spined gobies (Gobiidae, Gobiosomatini) inferred from a molecular phylogeny",EVOLUTION,57,1584,1598,Fish,Genetic,mtDNA,2,NA,Allopatric,NA,NA,NA,1,1,NA,NA,NA,NA,Unknown,"Coral reef, Rocky shore, Coastal, Estuarine","Demersal or benthic, Coastal",Akko sp.nov.,other,NA,NA,3,NA,NA,NA,NA,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Allopatric,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,TRUE,FALSE,"Coral reef, Rocky shore, Coastal, Estuarine,Demersal or benthic, Coastal",TRUE,10,Rocky,Average,NA,Demersal or benthic,NA,NA,Akko,Allopatric,FALSE,FALSE,TRUE,NA,NA,NA,Chordata_Actinopterygii,Y,E,Y,N,NA,FALSE
Albula spp.,NA,Albula,Actinopterygii,Chordata,Albula,"Colborn, J; Crabtree, RE; Shaklee, JB; Pfeiler, E; Bowen, BW",2001,The evolutionary enigma of bonefishes (Albula spp.): Cryptic species and ancient separations in a globally distributed shorefish,EVOLUTION,55,807,820,Fish,Genetic,mtDNA,5,NA,"Allopatric, Sympatric",NA,NA,NA,164,14,NA,NA,Global,NA,"Planktotroph, Pelagic","Soft sediment, Seagrass, Coastal","Demersal or benthic, Coastal",Albula spp.,other,NA,NA,1,NA,NA,NA,NA,164,14,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Sympatric, Allopatric",TRUE,FALSE,FALSE,TRUE,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE,"Soft sediment, Seagrass, Coastal,Demersal or benthic, Coastal",TRUE,10,Sediment,Average,Moderate to high,Demersal or benthic,NA,NA,Albula,"Sympatric, Allopatric",TRUE,TRUE,TRUE,NA,NA,NA,Chordata_Actinopterygii,Y,E,Y,N,NA,TRUE
Alcyonidium gelatinosum,NA,Alcyonidium,Gymnolaemata,Bryozoa,Alcyonidium,"THORPE, JP; BEARDMORE, JA; RYLAND, JS",1978,GENETIC EVIDENCE FOR CRYPTIC SPECIATION IN MARINE BRYOZOAN ALCYONIDIUM-GELATINOSUM,MARINE BIOLOGY,49,27,32,Bryozoa,"Genetic, Morphological",Allozymes,2,Diagnostic,Sympatric,NA,NA,TRUE,99,3,99,3,Atlantic,larval info not given,Lecithotrophic,"Rocky shore, Coastal, Intertidal or tide pools","Demersal or benthic, Coastal",Alcyonidium gelatinosum,other,NA,NA,1,NA,NA,NA,NA,99,3,99,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Sympatric,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,"Rocky shore, Coastal, Intertidal or tide pools,Demersal or benthic, Coastal",TRUE,5,Rocky,Accessible,NA,Demersal or benthic,NA,NA,Alcyonidium,Sympatric,TRUE,TRUE,FALSE,FALSE,FALSE,TRUE,Bryozoa_Gymnolaemata,Y,I,N,N,FALSE,TRUE
Allogalathea spp.,NA,Allogalathea,Malacostraca,Arthropoda,Allogalathea,"Cabezas, Patricia; Macpherson, Enrique; Machordom, Annie",2011,Allogalathea (Decapoda: Galatheidae): a monospecific genus of squat lobster?,ZOOLOGICAL JOURNAL OF THE LINNEAN SOCIETY,162,245,270,Arthropoda,"Genetic, Morphological","mtDNA, other nuclear",4,Statistic,Sympatric,NA,NA,TRUE,43,8,43,8,Indo-Pacific,larval info not given here,NA,"Soft sediment, lagoon",Demersal or benthic,Allogalathea spp.,other,NA,NA,1,NA,NA,NA,NA,43,8,43,8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Sympatric,NA,NA,NA,NA,NA,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,"Soft sediment, lagoon,Demersal or benthic",TRUE,10,Sediment,Average,NA,Demersal or benthic,NA,NA,Allogalathea,Sympatric,TRUE,TRUE,FALSE,FALSE,TRUE,FALSE,Arthropoda_Malacostraca,Y,I,Y,Y,TRUE,TRUE
