"","i","cs_present","size","phylum"
"1","Gammarus","TRUE","1","Arthropoda"
"2","Gammarus","TRUE","19","Arthropoda"
"3","Aaptos","FALSE","25","Porifera"
"4","Aartsenia","FALSE","5","Mollusca"
"5","Aatolana","FALSE","3","Arthropoda"
"6","Abalistes","FALSE","3","Chordata"
"7","Abarenicola","FALSE","10","Annelida"
"8","Abasia","FALSE","6","Arthropoda"
"9","Abatetia","FALSE","1","Arthropoda"
"10","Abathescalpellum","FALSE","2","Arthropoda"
"11","Abatus","FALSE","10","Echinodermata"
"12","Abavopsis","FALSE","1","Mollusca"
"13","Abderos","FALSE","1","Annelida"
"14","Abdia","FALSE","1","Arthropoda"
"15","Abditacythere","FALSE","1","Arthropoda"
"16","Abditoconus","FALSE","3","Mollusca"
"17","Abditoporella","FALSE","2","Bryozoa"
"18","Abdopus","FALSE","7","Mollusca"
"19","Abelbolla","FALSE","5","Nematoda"
"20","Aberomysis","FALSE","1","Arthropoda"
"21","Aberranta","FALSE","4","Annelida"
"22","Aberrapex","FALSE","7","Platyhelminthes"
"23","Aberratylus","FALSE","1","Arthropoda"
"24","Aberrodomus","FALSE","3","Bryozoa"
"25","Abietinaria","FALSE","35","Cnidaria"
"26","Abietinella","FALSE","1","Cnidaria"
"27","Ablabys","FALSE","3","Chordata"
"28","Ablennes","FALSE","1","Chordata"
"29","Abludomelita","FALSE","15","Arthropoda"
"30","Abnitocrella","FALSE","3","Arthropoda"
"31","Aboma","FALSE","1","Chordata"
"32","Aborjinia","FALSE","1","Nematoda"
"33","Aborolobatea","FALSE","2","Arthropoda"
"34","Abortipedia","FALSE","1","Platyhelminthes"
"35","Abothrium","FALSE","1","Platyhelminthes"
"36","Abra","FALSE","49","Mollusca"
"37","Abralia","FALSE","20","Mollusca"
"38","Abraliopsis","FALSE","11","Mollusca"
"39","Abranchaea","FALSE","1","Mollusca"
"40","Abranda","FALSE","10","Mollusca"
"41","Abrocythereis","FALSE","2","Arthropoda"
"42","Abronica","FALSE","2","Mollusca"
"43","Abroscelis","FALSE","1","Arthropoda"
"44","Abrotanais","FALSE","1","Arthropoda"
"45","Abrsia","FALSE","1","Arthropoda"
"46","Abscondicola","FALSE","1","Arthropoda"
"47","Absonifibula","FALSE","2","Platyhelminthes"
"48","Abudefduf","TRUE","20","Chordata"
"49","Abyla","FALSE","3","Cnidaria"
"50","Abylopsis","FALSE","2","Cnidaria"
"51","Abyssaranea","FALSE","1","Arthropoda"
"52","Abyssarcturella","FALSE","2","Arthropoda"
"53","Abyssarcturus","FALSE","1","Arthropoda"
"54","Abyssarya","FALSE","1","Annelida"
"55","Abyssascidia","FALSE","3","Chordata"
"56","Abyssaster","FALSE","3","Echinodermata"
"57","Abyssianira","FALSE","6","Arthropoda"
"58","Abyssicaprella","FALSE","1","Arthropoda"
"59","Abyssidrilus","FALSE","9","Annelida"
"60","Abyssoaclis","FALSE","1","Mollusca"
"61","Abyssoanthus","FALSE","2","Cnidaria"
"62","Abyssobela","FALSE","1","Mollusca"
"63","Abyssoberyx","FALSE","1","Chordata"
"64","Abyssobrotula","FALSE","1","Chordata"
"65","Abyssobythere","FALSE","1","Arthropoda"
"66","Abyssocapitella","FALSE","1","Annelida"
"67","Abyssochrysos","FALSE","6","Mollusca"
