i,cs_present,size,phylum
Abarenicola,FALSE,10,Annelida
Abderos,FALSE,1,Annelida
Aberranta,FALSE,4,Annelida
Abyssarya,FALSE,1,Annelida
Abyssidrilus,FALSE,9,Annelida
Abyssocapitella,FALSE,1,Annelida
Abyssoclymene,FALSE,1,Annelida
Abyssoninoe,FALSE,8,Annelida
Acanthicolepis,FALSE,2,Annelida
Acanthobdella,FALSE,2,Annelida
Acanthobonellia,FALSE,3,Annelida
Acanthohamingia,FALSE,2,Annelida
Acanthopale,FALSE,1,Annelida
Achaeta,FALSE,1,Annelida
Achaetobonellia,FALSE,2,Annelida
Acholoe,FALSE,1,Annelida
Aciculomarphysa,FALSE,1,Annelida
Aclymene,FALSE,1,Annelida
Acoetes,FALSE,13,Annelida
Acritagasyllis,FALSE,1,Annelida
Acrocirrus,FALSE,13,Annelida
Acromegalomma,FALSE,36,Annelida
Adelodrilus,FALSE,14,Annelida
Adercodon,FALSE,1,Annelida
Admetella,FALSE,3,Annelida
Adyte,FALSE,1,Annelida
Aedicira,FALSE,5,Annelida
Aenone,FALSE,1,Annelida
Aeolosoma,FALSE,1,Annelida
Aestabdella,FALSE,3,Annelida
Afronerilla,FALSE,1,Annelida
Aglaophamus,FALSE,52,Annelida
Ainudrilus,FALSE,9,Annelida
Aktedrilus,FALSE,30,Annelida
Alaysia,FALSE,1,Annelida
Albanidrilus,FALSE,6,Annelida
Alciopa,FALSE,4,Annelida
Alciopina,FALSE,2,Annelida
Alcyonosyllis,FALSE,8,Annelida
Alentia,FALSE,1,Annelida
Alentiana,FALSE,1,Annelida
Alikuhnia,FALSE,4,Annelida
Alkmaria,FALSE,1,Annelida
Alleurythoe,FALSE,1,Annelida
Allia,FALSE,1,Annelida
Allmaniella,FALSE,2,Annelida
Alomasoma,FALSE,4,Annelida
Alvinella,FALSE,2,Annelida
Amacrodorum,FALSE,1,Annelida
Amaeana,FALSE,13,Annelida
Amage,FALSE,24,Annelida
Amalosoma,FALSE,2,Annelida
Amastigos,FALSE,3,Annelida
Amblyosyllis,FALSE,19,Annelida
Ambulobdella,FALSE,1,Annelida
Americonuphis,FALSE,2,Annelida
Ammotrypane,FALSE,7,Annelida
Ammotrypanella,FALSE,6,Annelida
Ampharana,FALSE,1,Annelida
Ampharete,FALSE,47,Annelida
Amphicorina,FALSE,15,Annelida
Amphicteis,FALSE,32,Annelida
Amphictene,FALSE,15,Annelida
Amphiduropsis,FALSE,1,Annelida
Amphiduros,FALSE,1,Annelida
Amphiglena,FALSE,14,Annelida
Amphinome,FALSE,9,Annelida
Amphinomides,FALSE,2,Annelida
Amphipolydora,FALSE,2,Annelida
Amphisamytha,FALSE,9,Annelida
Amphitrite,FALSE,22,Annelida
Amphitritides,FALSE,7,Annelida
Amplicaria,FALSE,1,Annelida
Amythas,FALSE,1,Annelida
Amythasides,FALSE,1,Annelida
Anaitis,FALSE,1,Annelida
Anamobaea,FALSE,2,Annelida
Anchidorvillea,FALSE,1,Annelida
Anchinothria,FALSE,12,Annelida
Ancistargis,FALSE,2,Annelida
Ancistrosyllis,FALSE,12,Annelida
Andamanella,FALSE,1,Annelida
Anelassorhynchus,FALSE,17,Annelida
Anguillosyllis,FALSE,4,Annelida
Anobothrus,FALSE,20,Annelida
Anomalorbis,FALSE,1,Annelida
Anoplopisione,FALSE,2,Annelida
Anoplosyllis,FALSE,2,Annelida
Anotochaetonoe,FALSE,1,Annelida
Anotomastus,FALSE,1,Annelida
Antarcticobdella,FALSE,1,Annelida
Antarctinoe,FALSE,2,Annelida
Antarctodrilus,FALSE,1,Annelida
Antinoe,FALSE,6,Annelida
Antiobactrum,FALSE,1,Annelida
Antipathipolyeunoa,FALSE,1,Annelida
Antonbruunia,FALSE,3,Annelida
Aonidella,FALSE,3,Annelida
Aonides,FALSE,9,Annelida
Aonis,FALSE,1,Annelida
Apharyngtus,FALSE,1,Annelida
Aphelochaeta,FALSE,46,Annelida
Aphrodita,FALSE,44,Annelida
Aphrogenia,FALSE,4,Annelida
Aphropharynx,FALSE,1,Annelida
Apistobranchus,FALSE,6,Annelida
Apodotrocha,FALSE,1,Annelida
Apomatus,FALSE,8,Annelida
Aponuphis,FALSE,10,Annelida
Apophryotrocha,FALSE,1,Annelida
Arabella,FALSE,28,Annelida
Arabellites,FALSE,2,Annelida
Arabelloneris,FALSE,1,Annelida
Aracia,FALSE,3,Annelida
Archibonellia,FALSE,1,Annelida
Arcovestia,FALSE,1,Annelida
