Class	Value	Variable	Class_num	z-score
Actinopterygii	16466	1_nb_NS	11	1.529883167
Anthozoa	6934	1_nb_NS	4	0.30758472
Ascidiacea	2900	1_nb_NS	9	-0.209699369
Asteroidea	1850	1_nb_NS	18	-0.34434198
Bivalvia	8196	1_nb_NS	28	0.469412316
Calcarea	712	1_nb_NS	3	-0.490268924
Cephalopoda	807	1_nb_NS	26	-0.478086973
Chromadorea	4127	1_nb_NS	31	-0.05235986
Clitellata	953	1_nb_NS	21	-0.459365239
Copepoda	10390	1_nb_NS	39	0.750751257
Crinoidea	665	1_nb_NS	14	-0.496295784
Demospongiae	6911	1_nb_NS	2	0.304635406
Echinoidea	1009	1_nb_NS	16	-0.4521843
Elasmobranchii	1169	1_nb_NS	10	-0.43166733
Enoplea	1611	1_nb_NS	30	-0.374989203
Eurotatoria	143	1_nb_NS	20	-0.563232396
Gastropoda	34393	1_nb_NS	27	3.828681347
Gymnolaemata	5384	1_nb_NS	19	0.10882658
Heterotardigrada	192	1_nb_NS	32	-0.556949074
Holothuroidea	1696	1_nb_NS	15	-0.364089563
Homoscleromorpha	103	1_nb_NS	1	-0.568361638
Hoplonemertea	657	1_nb_NS	25	-0.497321632
Hydrozoa	3567	1_nb_NS	7	-0.124169253
Insecta	1585	1_nb_NS	35	-0.37832321
Leptocardii	30	1_nb_NS	8	-0.577722506
Malacostraca	31162	1_nb_NS	37	3.414366798
Ophiuroidea	2076	1_nb_NS	17	-0.315361761
Ostracoda	5752	1_nb_NS	36	0.156015609
Palaeonemertea	116	1_nb_NS	23	-0.566694635
Pilidiophora	470	1_nb_NS	24	-0.52130084
Polychaeta	11264	1_nb_NS	22	0.862825202
Polyplacophora	977	1_nb_NS	29	-0.456287693
Pycnogonida	1342	1_nb_NS	33	-0.409483357
Reptilia	93	1_nb_NS	12	-0.569643949
Sagittoidea	131	1_nb_NS	13	-0.564771169
Scyphozoa	220	1_nb_NS	5	-0.553358604
Thecostraca	1754	1_nb_NS	38	-0.356652161
Actinopterygii	7850	2_nb_NS_ncbi	11	4.679977359
Anthozoa	1614	2_nb_NS_ncbi	4	0.582173327
Ascidiacea	227	2_nb_NS_ncbi	9	-0.329252938
Asteroidea	381	2_nb_NS_ncbi	18	-0.228056367
Bivalvia	1309	2_nb_NS_ncbi	28	0.381751546
Calcarea	71	2_nb_NS_ncbi	3	-0.431763751
Cephalopoda	362	2_nb_NS_ncbi	26	-0.240541658
Chromadorea	227	2_nb_NS_ncbi	31	-0.329252938
Clitellata	167	2_nb_NS_ncbi	21	-0.368680174
Copepoda	620	2_nb_NS_ncbi	39	-0.071004544
Crinoidea	146	2_nb_NS_ncbi	14	-0.382479706
Demospongiae	823	2_nb_NS_ncbi	2	0.062390937
Echinoidea	243	2_nb_NS_ncbi	16	-0.318739009
Elasmobranchii	706	2_nb_NS_ncbi	10	-0.014492173
Enoplea	32	2_nb_NS_ncbi	30	-0.457391454
Eurotatoria	20	2_nb_NS_ncbi	20	-0.465276901
Gastropoda	4087	2_nb_NS_ncbi	27	2.207232559
Gymnolaemata	191	2_nb_NS_ncbi	19	-0.35290928
Heterotardigrada	14	2_nb_NS_ncbi	32	-0.469219625
Holothuroidea	201	2_nb_NS_ncbi	15	-0.346338074
Homoscleromorpha	28	2_nb_NS_ncbi	1	-0.460019937
Hoplonemertea	92	2_nb_NS_ncbi	25	-0.417964219
