"","Taxonomic_Group","Name"
"1","Annelids-Leeches","Myzobdella lugubris"
"2","Annelids-Oligochaetes","Branchiura sowerbyi"
"3","Annelids-Oligochaetes","Cambarincola pamelae"
"4","Annelids-Oligochaetes","Chaetogaster diaphanus"
"5","Annelids-Oligochaetes","Eukerria saltensis"
"6","Annelids-Oligochaetes","Limnodrilus monothecus"
"8","Annelids-Oligochaetes","Potamothrix vejdovskyi"
"9","Annelids-Oligochaetes","Psammoryctides barbatus"
"10","Annelids-Oligochaetes","Ripistes parasita"
"11","Annelids-Oligochaetes","Stylodrilus heringianus"
"15","Annelids-Oligochaetes","Tubificoides diazi"
"17","Annelids-Oligochaetes","Varichaetadrilus angustipenis"
"19","Annelids-Polychaetes","Amaeana sp. A"
"20","Annelids-Polychaetes","Amblyosyllis nigrolineata"
"23","Annelids-Polychaetes","Branchiomma coheni"
"24","Annelids-Polychaetes","Branchiomma SF1"
"26","Annelids-Polychaetes","Diplocirrus SD1"
"27","Annelids-Polychaetes","Epigamia noroi"
"30","Annelids-Polychaetes","Hediste diadroma"
"31","Annelids-Polychaetes","Hediste diversicolor"
"32","Annelids-Polychaetes","Heteromastus filiformis species complex"
"33","Annelids-Polychaetes","Hobsonia florida"
"36","Annelids-Polychaetes","Laonome cf. calida"
"39","Annelids-Polychaetes","Myrianida convoluta"
"41","Annelids-Polychaetes","Myrianida pentadentata"
"42","Annelids-Polychaetes","Neoamphitrite sp. A"
"44","Annelids-Polychaetes","Nicolea sp. A. Harris"
"48","Annelids-Polychaetes","Polydora onagawaensis"
"49","Annelids-Polychaetes","Proceraea okadai"
"50","Annelids-Polychaetes","Protula balboensis"
"52","Annelids-Polychaetes","Pseudopolydora cf. kempi"
"55","Annelids-Polychaetes","Sabellastarte sp."
"56","Annelids-Polychaetes","Spirobranchus minutus"
"58","Annelids-Polychaetes","Timarete punctata sp. A"
"59","Arthropoda-Insects","Aedes togoi"
"60","Arthropoda-Insects","Agasicles hygrophila"
"61","Arthropoda-Insects","Amynothrips andersoni"
"63","Arthropoda-Insects","Arcola malloi"
"64","Arthropoda-Insects","Brachydeutera longipes"
"65","Arthropoda-Insects","Chaetococcus phragmitis"
"66","Arthropoda-Insects","Chilacis typhae"
"68","Arthropoda-Insects","Crocothemis servilia"
"69","Arthropoda-Insects","Galerucella calmariensis"
"70","Arthropoda-Insects","Galerucella pusilla"
"71","Arthropoda-Insects","Holcocranum saturejae"
"72","Arthropoda-Insects","Holocranum saturejae"
"73","Arthropoda-Insects","Hydrellia pakistanae"
"74","Arthropoda-Insects","Hylobius transversovittatus"
"75","Arthropoda-Insects","Lasioptera hungarica"
"76","Arthropoda-Insects","Lipara pullitarsis"
"77","Arthropoda-Insects","Lipara rufitarsis"
"78","Arthropoda-Insects","Lipara similis"
"79","Arthropoda-Insects","Megamelus scutellaris"
"80","Arthropoda-Insects","Nacerdes melanura"
"81","Arthropoda-Insects","Nanophyes marmoratus"
"82","Arthropoda-Insects","Neastymachus japonicus"
"83","Arthropoda-Insects","Neochetina bruchi"
"84","Arthropoda-Insects","Neochetina eichhorniae"
"85","Arthropoda-Insects","Neohydronomus affinis"
"86","Arthropoda-Insects","Niphograpta albiguttalis"
"87","Arthropoda-Insects","Nipponaclerda biwakoensis"
"88","Arthropoda-Insects","Petrobius brevistylis"
"89","Arthropoda-Insects","Procanace dianneae"
"91","Arthropoda-Insects","Pselactus spadix"
"92","Arthropoda-Insects","Rhizedra lutosa"
"93","Arthropoda-Insects","Sclerocona acutella"
"94","Arthropoda-Insects","Stomoxys calcitrans"
"96","Arthropoda-Insects","Tetramesa phragmitis"
"97","Arthropoda-Insects","Thambemyia borealis"
"98","Arthropoda-Insects","Trigonotylus uhleri"
"100","Bryozoans","Amathia dichotoma"
"107","Bryozoans","Bugulina cf. foliolata"
"110","Bryozoans","Caulibugula cf. dendrograpta"
"115","Bryozoans","Fredericella indica"
"120","Bryozoans","Lophopodella carteri"
"122","Bryozoans","Membraniporopsis tubigerum"
"123","Bryozoans","Nolella sawayai"
"124","Bryozoans","Pectinatella magnifica"
"127","Bryozoans","Schizoporella variabilis"
"132","Bryozoans","Watersipora n. sp."
"135","Cnidarians-Anthozoans","Actinia equina"
"136","Cnidarians-Anthozoans","Aiptasiogeton eruptaurantia"
"137","Cnidarians-Anthozoans","Anthopleura hermaphroditica"
"138","Cnidarians-Anthozoans","Bunodeopsis sp. A"
"143","Cnidarians-Anthozoans","Diadumene paranaensis"
"144","Cnidarians-Anthozoans","Exaiptasia pallida"
"145","Cnidarians-Anthozoans","Hedera caerulescens"
"159","Cnidarians-Hydrozoans","Corymorpha sp. A"
"160","Cnidarians-Hydrozoans","Craspedacusta sowerbii"
"170","Cnidarians-Scyphozoans","Mastigias sp. 1"
"180","Crustaceans-Amphipods","Corophium alienense"
"181","Crustaceans-Amphipods","Corophium heteroceratum"
"183","Crustaceans-Amphipods","Crangonyx floridanus"
"184","Crustaceans-Amphipods","Crangonyx pseudogracilis"
"185","Crustaceans-Amphipods","Echinogammarus ischnus"
"186","Crustaceans-Amphipods","Eochelidium sp. A"
"190","Crustaceans-Amphipods","Hourstonius sp."
"194","Crustaceans-Amphipods","Leucothoe nagatai"
"196","Crustaceans-Amphipods","Melita rylovae"
"197","Crustaceans-Amphipods","Microdeutopus gryllotalpa"
"203","Crustaceans-Amphipods","Paracorophium sp."
"204","Crustaceans-Amphipods","Paradexamine sp. SD1"
"205","Crustaceans-Amphipods","Stenothoe gallensis species complex"
"206","Crustaceans-Amphipods","Stenothoe valida"
"207","Crustaceans-Amphipods","Transorchestia enigmatica"
"217","Crustaceans-Cladocerans","Bosmina coregoni"
"218","Crustaceans-Cladocerans","Cercopagis pengoi"
"219","Crustaceans-Cladocerans","Daphnia lumholtzi"
"222","Crustaceans-Copepods","Argulus japonicus"
"224","Crustaceans-Copepods","Harpacticella paradoxa"
"225","Crustaceans-Copepods","Lernaea cyprinacea"
"234","Crustaceans-Copepods","Stephos robustus"
"235","Crustaceans-Copepods","Tortanus dextrilobatus"
"237","Crustaceans-Crabs","Charybdis hellerii"
"245","Crustaceans-Crayfish","Faxonius rusticus"
"246","Crustaceans-Crayfish","Faxonius virilis"
