"","Class","Total CS IF NCBI","Total CS yet to be found","Proportion CS yet to be found"
"1","Malacostraca","545.639086294416","446.639086294416","4.51150592216582"
"2","Demospongiae","99.5171102661597","85.5171102661597","6.10836501901141"
"3","Gastropoda","797.344062947067","679.344062947067","5.7571530758226"
"4","Actinopterygii","239.789330827853","102.789330827853","0.75028708633469"
"5","Polychaeta","710.978494623656","600.978494623656","5.46344086021505"
"6","Hexanauplia","342.709454265949","307.709454265949","8.79169869331284"
"7","Insecta","3.85230024213075","2.85230024213075","2.85230024213075"
"8","Echinoidea","22.6791044776119","16.6791044776119","2.77985074626866"
"9","Ostracoda","105.872727272727","102.872727272727","34.2909090909091"
"10","Bivalvia","169.221025965801","137.221025965801","4.28815706143129"
"11","Gymnolaemata","132.69616519174","124.69616519174","15.5870206489676"
"12","Cephalopoda","39.2795454545455","18.2795454545455","0.870454545454545"
"13","Enoplea","25.3484848484848","24.3484848484848","24.3484848484848"
"14","Hydrozoa","234.364261168385","179.364261168385","3.26116838487973"
"15","Arachnida","47.19","44.19","14.73"
"16","Ascidiacea","149.028571428571","133.028571428571","8.31428571428571"
"17","Asteroidea","60.4746835443038","45.4746835443038","3.03164556962025"
"18","Clitellata","18.8292682926829","14.8292682926829","3.70731707317073"
"19","Anthozoa","149.640594059406","107.640594059406","2.56287128712871"
"20","Holothuroidea","18.8741007194245","15.8741007194245","5.29136690647482"
"21","Stenolaemata","0","0","NaN"
"22","Solenogastres","0","0","NaN"
"23","Hoplonemertea","59.8790322580645","48.8790322580645","4.44354838709677"
"24","Rhynchonellata","0","0","NaN"
"25","Ophiuroidea","92.1693811074919","65.1693811074919","2.41368078175896"
"26","Hexactinellida","0","0","NaN"
"27","","32.6423357664234","26.6423357664234","4.44038929440389"
"28","Chromadorea","24.5359116022099","22.5359116022099","11.267955801105"
"29","Polyplacophora","9.13777777777778","7.13777777777778","3.56888888888889"
"30","Pycnogonida","34.8879310344828","28.8879310344828","4.81465517241379"
"31","Calcarea","13.3651685393258","10.3651685393258","3.45505617977528"
"32","Reptilia","3.67105263157895","0.671052631578947","0.223684210526316"
"33","Scyphozoa","30.0674157303371","18.0674157303371","1.50561797752809"
"34","Branchiopoda","0","0","NaN"
"35","Elasmobranchii","15.4961832061069","5.49618320610687","0.549618320610687"
"36","Collembola","0","0","NaN"
"37","Heterotardigrada","10.2","9.2","9.2"
"38","Aves","0","0","NaN"
"39","Crinoidea","8.05988023952096","6.05988023952096","3.02994011976048"
"40","Nematoda incertae sedis","0","0","NaN"
"41","Monoplacophora","0","0","NaN"
"42","Pilidiophora","11.3809523809524","9.38095238095238","4.69047619047619"
"43","Sagittoidea","9.42857142857143","6.42857142857143","2.14285714285714"
"44","Cubozoa","1.92","0.92","0.92"
"45","Eurotatoria","5.68","4.68","4.68"
"46","Tentaculata","0","0","NaN"
"47","Enteropneusta","0","0","NaN"
"48","Pauropoda","NaN","NaN","NaN"
"49","Ichthyostraca","0","0","NaN"
"50","Appendicularia","0","0","NaN"
"51","Remipedia","0","0","NaN"
"52","Scaphopoda","0","0","NaN"
"53","Phascolosomatidea","12.9230769230769","5.92307692307692","0.846153846153846"
"54","Cyclorhagida","4.70731707317073","3.70731707317073","3.70731707317073"
"55","Mammalia","0","0","NaN"
"56","Chilopoda","0","0","NaN"
"57","Homoscleromorpha","2.73913043478261","1.73913043478261","1.73913043478261"
"58","Leptocardii","2.72727272727273","1.72727272727273","1.72727272727273"
"59","Palaeonemertea","10.4545454545455","7.45454545454546","2.48484848484848"
"60","Nuda","0","0","NaN"
"61","Thaliacea","0","0","NaN"
"62","Holocephali","0","0","NaN"
"63","Staurozoa","0","0","NaN"
"64","Merostomata","0","0","NaN"
"65","Petromyzonti","0","0","NaN"
"66","Graptolithoidea","0","0","NaN"
"67","Caudofoveata","0","0","NaN"
"68","Cephalocarida","0","0","NaN"
"69","Craniata","0","0","NaN"
"70","Allomalorhagida","0","0","NaN"
"71","Lingulata","0","0","NaN"
"72","Diplopoda","0","0","NaN"
"73","Mollusca incertae sedis","NaN","NaN","NaN"
"74","Myxini","0","0","NaN"
"75","Sipunculidea","10.8","7.8","2.6"
"76","Nemertea incertae sedis","NaN","NaN","NaN"
"77","Eutardigrada","0","0","NaN"
"78","Coelacanthi","0","0","NaN"
"79","Pararotatoria","0","0","NaN"
"80","Porifera incertae sedis","NaN","NaN","NaN"
"81","Phylactolaemata","NaN","NaN","NaN"
"82","Symphyla","0","0","NaN"
"83","Eucycliophora","1","0","0"
"84","Cnidaria incertae sedis","NaN","NaN","NaN"
