"","Phylum","Total in phylum","Total CS","Total CS IF NCBI","Total CS yet to be found","Proportion CS yet to be found"
"1","Arthropoda","55906","147","1002.0951103524","855.095110352396","5.81697353981222"
"2","Porifera","9084","18","120.141072740632","102.141072740632","5.67450404114622"
"3","Mollusca","49028","173","1073.10779352227","900.107793522267","5.20293522267206"
"4","Chordata","22050","167","318.51483435689","151.51483435689","0.907274457226883"
"5","Annelida","13184","114","707.949128591616","593.949128591616","5.21008007536505"
"6","Echinodermata","7442","53","219.003886729595","166.003886729595","3.13214880621877"
"7","Bryozoa","6267","8","136.610354223433","128.610354223433","16.0762942779292"
"8","Nematoda","6158","3","42.9627906976744","39.9627906976744","13.3209302325581"
"9","Cnidaria","11238","110","407.711081794195","297.711081794195","2.70646437994723"
"10","Nemertea","1292","16","85.7759336099585","69.7759336099585","4.36099585062241"
"11","Brachiopoda","413","0","0","0","NaN"
"12","Platyhelminthes","2908","5","29.979381443299","24.979381443299","4.99587628865979"
"13","Gastrotricha","510","1","6.45569620253165","5.45569620253165","5.45569620253165"
"14","Priapulida","22","0","0","0","NaN"
"15","Xenacoelomorpha","452","0","0","0","NaN"
"16","Tardigrada","209","1","9.5","8.5","8.5"
"17","Gnathostomulida","100","0","0","0","NaN"
"18","Chaetognatha","132","3","9.42857142857143","6.42857142857143","2.14285714285714"
"19","Rotifera","145","1","5.57692307692308","4.57692307692308","4.57692307692308"
"20","Ctenophora","201","0","0","0","NaN"
"21","Hemichordata","131","0","0","0","NaN"
"22","Sipuncula","156","10","27.8571428571429","17.8571428571429","1.78571428571429"
"23","Kinorhyncha","304","1","5.42857142857143","4.42857142857143","4.42857142857143"
"24","Loricifera","29","0","NaN","NaN","NaN"
"25","Entoprocta","195","0","0","0","NaN"
"26","Orthonectida","24","0","0","0","NaN"
"27","Placozoa","3","0","0","0","NaN"
"28","Nematomorpha","5","0","0","0","NaN"
"29","Phoronida","13","0","0","0","NaN"
"30","Cycliophora","2","1","1","0","0"
