Taxonomic_Group,Name
Annelids-Leeches,Myzobdella lugubris
Annelids-Oligochaetes,Branchiura sowerbyi
Annelids-Oligochaetes,Cambarincola pamelae
Annelids-Oligochaetes,Chaetogaster diaphanus
Annelids-Oligochaetes,Eukerria saltensis
Annelids-Oligochaetes,Limnodrilus monothecus
Annelids-Oligochaetes,Potamothrix bavaricus
Annelids-Oligochaetes,Potamothrix vejdovskyi
Annelids-Oligochaetes,Psammoryctides barbatus
Annelids-Oligochaetes,Ripistes parasita
Annelids-Oligochaetes,Stylodrilus heringianus
Annelids-Oligochaetes,Tubificoides apectinatus
Annelids-Oligochaetes,Tubificoides benedii
Annelids-Oligochaetes,Tubificoides brownae
Annelids-Oligochaetes,Tubificoides diazi
Annelids-Oligochaetes,Tubificoides wasselli
Annelids-Oligochaetes,Varichaetadrilus angustipenis
Annelids-Polychaetes,Alitta succinea
Annelids-Polychaetes,Amaeana sp. A
Annelids-Polychaetes,Amblyosyllis nigrolineata
Annelids-Polychaetes,Boccardiella ligerica
Annelids-Polychaetes,Branchiomma bairdi
Annelids-Polychaetes,Branchiomma coheni
Annelids-Polychaetes,Branchiomma SF1
Annelids-Polychaetes,Clymenella torquata
Annelids-Polychaetes,Diplocirrus SD1
Annelids-Polychaetes,Epigamia noroi
Annelids-Polychaetes,Ficopomatus enigmaticus
Annelids-Polychaetes,Ficopomatus uschakovi
Annelids-Polychaetes,Hediste diadroma
Annelids-Polychaetes,Hediste diversicolor
Annelids-Polychaetes,Heteromastus filiformis species complex
Annelids-Polychaetes,Hobsonia florida
Annelids-Polychaetes,Hydroides elegans
Annelids-Polychaetes,Janua heterostropha
Annelids-Polychaetes,Laonome cf. calida
Annelids-Polychaetes,Marenzelleria neglecta
Annelids-Polychaetes,Megasyllis nipponica
Annelids-Polychaetes,Myrianida convoluta
Annelids-Polychaetes,Myrianida pachycera
Annelids-Polychaetes,Myrianida pentadentata
Annelids-Polychaetes,Neoamphitrite sp. A
Annelids-Polychaetes,Neodexiospira brasiliensis
Annelids-Polychaetes,Nicolea sp. A. Harris
Annelids-Polychaetes,Parasabella fullo
Annelids-Polychaetes,Polydora cornuta
Annelids-Polychaetes,Polydora hoplura
Annelids-Polychaetes,Polydora onagawaensis
Annelids-Polychaetes,Proceraea okadai
Annelids-Polychaetes,Protula balboensis
Annelids-Polychaetes,Pseudopolydora achaeta
Annelids-Polychaetes,Pseudopolydora cf. kempi
Annelids-Polychaetes,Pseudopolydora paucibranchiata
Annelids-Polychaetes,Sabaco elongatus
Annelids-Polychaetes,Sabellastarte sp.
Annelids-Polychaetes,Spirobranchus minutus
Annelids-Polychaetes,Streblospio benedicti
Annelids-Polychaetes,Timarete punctata sp. A
Arthropoda-Insects,Aedes togoi
Arthropoda-Insects,Agasicles hygrophila
Arthropoda-Insects,Amynothrips andersoni
Arthropoda-Insects,Anisolabis maritima
Arthropoda-Insects,Arcola malloi
Arthropoda-Insects,Brachydeutera longipes
Arthropoda-Insects,Chaetococcus phragmitis
Arthropoda-Insects,Chilacis typhae
Arthropoda-Insects,Clasiopella uncinata
Arthropoda-Insects,Crocothemis servilia
Arthropoda-Insects,Galerucella calmariensis
Arthropoda-Insects,Galerucella pusilla
Arthropoda-Insects,Holcocranum saturejae
Arthropoda-Insects,Holocranum saturejae
Arthropoda-Insects,Hydrellia pakistanae
Arthropoda-Insects,Hylobius transversovittatus
Arthropoda-Insects,Lasioptera hungarica
Arthropoda-Insects,Lipara pullitarsis
Arthropoda-Insects,Lipara rufitarsis
Arthropoda-Insects,Lipara similis
Arthropoda-Insects,Megamelus scutellaris
Arthropoda-Insects,Nacerdes melanura
Arthropoda-Insects,Nanophyes marmoratus
Arthropoda-Insects,Neastymachus japonicus
Arthropoda-Insects,Neochetina bruchi
Arthropoda-Insects,Neochetina eichhorniae
Arthropoda-Insects,Neohydronomus affinis
Arthropoda-Insects,Niphograpta albiguttalis
Arthropoda-Insects,Nipponaclerda biwakoensis
Arthropoda-Insects,Petrobius brevistylis
Arthropoda-Insects,Procanace dianneae
Arthropoda-Insects,Prokelisia marginata
Arthropoda-Insects,Pselactus spadix
Arthropoda-Insects,Rhizedra lutosa
Arthropoda-Insects,Sclerocona acutella
Arthropoda-Insects,Stomoxys calcitrans
Arthropoda-Insects,Telmatogeton japonicus
Arthropoda-Insects,Tetramesa phragmitis
Arthropoda-Insects,Thambemyia borealis
Arthropoda-Insects,Trigonotylus uhleri
Bryozoans,Aeverrillia armata
Bryozoans,Amathia dichotoma
Bryozoans,Amathia distans
Bryozoans,Amathia verticillata
Bryozoans,Anguinella palmata
Bryozoans,Arbopercula bengalensis
Bryozoans,Aspidelectra melolontha
Bryozoans,Bugula neritina
Bryozoans,Bugulina cf. foliolata
Bryozoans,Bugulina simplex
Bryozoans,Bugulina stolonifera
Bryozoans,Caulibugula cf. dendrograpta
Bryozoans,Celleporaria pilaefera
Bryozoans,Conopeum chesapeakensis
Bryozoans,Conopeum tenuissimum
Bryozoans,Cryptosula pallasiana
Bryozoans,Fredericella indica
Bryozoans,Hippopodina iririkiensis
Bryozoans,Hippopodina tahitiensis
Bryozoans,Hippoporina indica
