"","Var1","Freq"
"1","Acanthocephala",3
"2","Annelida",636
"3","Arthropoda",1457
"4","Brachiopoda",9
"5","Bryozoa",204
"6","Chaetognatha",8
"7","Chordata",474
"8","Cnidaria",249
"9","Ctenophora",7
"10","Echinodermata",162
"11","Gastrotricha",4
"12","Hemichordata",3
"13","Kinorhyncha",1
"14","Mollusca",562
"15","Nematoda",62
"16","Nemertea",2
"17","Phoronida",2
"18","Platyhelminthes",34
"19","Porifera",223
"20","Priapulida",3
"21","Rotifera",4
"22","Sipuncula",10
"23","Tardigrada",6
"24","Xenacoelomorpha",19
