"","V1","V2"
"1","Gadus morhua","Chordata"
"2","Clupea harengus","Chordata"
"3","Limanda limanda","Chordata"
"4","Merlangius merlangus","Chordata"
"5","Melanogrammus aeglefinus","Chordata"
"6","Homarus americanus","Arthropoda"
"7","Fulmarus glacialis","Chordata"
"8","Hippoglossoides platessoides","Chordata"
"9","Pleuronectes platessa","Chordata"
"10","Morus bassanus","Chordata"
"11","Uria aalge","Chordata"
"12","Eutrigla gurnardus","Chordata"
"13","Platichthys flesus","Chordata"
"14","Sprattus sprattus","Chordata"
"15","Rissa tridactyla","Chordata"
"16","Calanus finmarchicus","Arthropoda"
"17","Larus argentatus","Chordata"
"18","Xiphias gladius","Chordata"
"19","Anchoa mitchilli","Chordata"
"20","Pollachius virens","Chordata"
"21","Trisopterus esmarkii","Chordata"
"22","Thunnus albacares","Chordata"
"23","Leiostomus xanthurus","Chordata"
"24","Amblyraja radiata","Chordata"
"25","Microstomus kitt","Chordata"
"26","Micropogonias undulatus","Chordata"
"27","Scomber scombrus","Chordata"
"28","Larus marinus","Chordata"
"29","Temora longicornis","Arthropoda"
"30","Scyliorhinus canicula","Chordata"
"31","Trisopterus minutus","Chordata"
"32","Trachurus trachurus","Chordata"
"33","Thalassoma bifasciatum","Chordata"
"34","Callionymus lyra","Chordata"
"35","Merluccius merluccius","Chordata"
"36","Glyptocephalus cynoglossus","Chordata"
"37","Squalus acanthias","Chordata"
"38","Scarus iseri","Chordata"
"39","Solea solea","Chordata"
"40","Limecola balthica","Mollusca"
"41","Pseudocalanus elongatus","Arthropoda"
"42","Calanus helgolandicus","Arthropoda"
"43","Peringia ulvae","Mollusca"
"44","Mytilus edulis","Mollusca"
"45","Sparisoma aurofrenatum","Chordata"
"46","Puffinus gravis","Chordata"
"47","Centropages typicus","Arthropoda"
"48","Stegastes partitus","Chordata"
"49","Bucephala albeola","Chordata"
"50","Merluccius bilinearis","Chordata"
"51","Fratercula arctica","Chordata"
"52","Thunnus obesus","Chordata"
"53","Coryphaena hippurus","Chordata"
"54","Alca torda","Chordata"
"55","Scoloplos armiger","Annelida"
"56","Balaenoptera physalus","Chordata"
"57","Lagodon rhomboides","Chordata"
"58","Halichoeres bivittatus","Chordata"
"59","Ocyurus chrysurus","Chordata"
"60","Halichoeres garnoti","Chordata"
"61","Kurtiella bidentata","Mollusca"
"62","Haemulon plumierii","Chordata"
"63","Tursiops truncatus","Chordata"
"64","Alosa pseudoharengus","Chordata"
"65","Argentina sphyraena","Chordata"
"66","Abra alba","Mollusca"
"67","Callinectes sapidus","Arthropoda"
"68","Nephtys hombergii","Annelida"
"69","Penaeus aztecus","Arthropoda"
"70","Ariopsis felis","Chordata"
"71","Enchelyopus cimbrius","Chordata"
"72","Centropages hamatus","Arthropoda"
"73","Limanda ferruginea","Chordata"
"74","Oithona similis","Arthropoda"
"75","Micromesistius poutassou","Chordata"
"76","Acanthurus coeruleus","Chordata"
"77","Myoxocephalus scorpius","Chordata"
"78","Phocoena phocoena","Chordata"
"79","Reinhardtius hippoglossoides","Chordata"
"80","Corbula gibba","Mollusca"
"81","Calonectris borealis","Chordata"
"82","Acanthurus bahianus","Chordata"
"83","Larus fuscus","Chordata"
"84","Delphinus delphis","Chordata"
"85","Limacina retroversa","Mollusca"
"86","Lepidorhombus whiffiagonis","Chordata"
"87","Hediste diversicolor","Annelida"
"88","Heteromastus filiformis","Annelida"
"89","Urophycis tenuis","Chordata"
"90","Spiophanes bombyx","Annelida"
"91","Larus canus","Chordata"
"92","Histrio histrio","Chordata"
"93","Mya arenaria","Mollusca"
"94","Penaeus setiferus","Arthropoda"
"95","Caretta caretta","Chordata"
"96","Somateria mollissima","Chordata"
"97","Myoxocephalus octodecemspinosus","Chordata"
"98","Puffinus puffinus","Chordata"
"99","Cynoscion arenarius","Chordata"
"100","Puffinus griseus","Chordata"
"101","Sparisoma viride","Chordata"
"102","Oceanites oceanicus","Chordata"
"103","Halichoeres maculipinna","Chordata"
"104","Larus glaucescens","Chordata"
"105","Pygospio elegans","Annelida"
"106","Brevoortia patronus","Chordata"
"107","Paraeuchaeta norvegica","Arthropoda"
"108","Acartia (Acartiura) longiremis","Arthropoda"
"109","Buglossidium luteum","Chordata"
"110","Prionace glauca","Chordata"
"111","Lepidocybium flavobrunneum","Chordata"
"112","Gavia stellata","Chordata"
"113","Alle alle","Chordata"
"114","Melanitta perspicillata","Chordata"
"115","Acartia (Acartiura) clausi","Arthropoda"
"116","Megaptera novaeangliae","Chordata"
"117","Stegastes variabilis","Chordata"
"118","Physeter macrocephalus","Chordata"
"119","Pseudocalanus minutus","Arthropoda"
"120","Clangula hyemalis","Chordata"
"121","Agonus cataphractus","Chordata"
"122","Urophycis chuss","Chordata"
"123","Chelidonichthys cuculus","Chordata"
"124","Thunnus alalunga","Chordata"
"125","Arnoglossus laterna","Chordata"
"126","Phoca vitulina","Chordata"
"127","Oceanodroma leucorhoa","Chordata"
"128","Larus philadelphia","Chordata"
"129","Anarhichas lupus","Chordata"
"130","Mallotus villosus","Chordata"
"131","Metridia longa","Arthropoda"
"132","Mugil cephalus","Chordata"
"133","Lolliguncula (Lolliguncula) brevis","Mollusca"
"134","Larus occidentalis","Chordata"
"135","Carcinus maenas","Arthropoda"
"136","Gavia immer","Chordata"
"137","Lagis koreni","Annelida"
"138","Larus michahellis","Chordata"
"139","Pseudopleuronectes americanus","Chordata"
"140","Heteropolypus ritteri","Cnidaria"
"141","Mergus serrator","Chordata"
"142","Trisopterus luscus","Chordata"
"143","Hemitripterus americanus","Chordata"
"144","Peprilus triacanthus","Chordata"
"145","Chionoecetes opilio","Arthropoda"
"146","Haemulon flavolineatum","Chordata"
"147","Cottus cognatus","Chordata"
"148","Nephrops norvegicus","Arthropoda"
"149","Calanus glacialis","Arthropoda"
"150","Ophiura albida","Echinodermata"
"151","Acanthocybium solandri","Chordata"
"152","Coryphopterus glaucofraenum","Chordata"
"153","Melanitta fusca","Chordata"
"154","Boreogadus saida","Chordata"
"155","Anguilla anguilla","Chordata"
"156","Scophthalmus aquosus","Chordata"
"157","Lophius piscatorius","Chordata"
"158","Lophius americanus","Chordata"
"159","Corophium volutator","Arthropoda"
"160","Penaeus duorarum","Arthropoda"
"161","Haemulon sciurus","Chordata"
"162","Sciaenops ocellatus","Chordata"
"163","Cynoscion nebulosus","Chordata"
"164","Echiichthys vipera","Chordata"
"165","Coryphopterus personatus","Chordata"
"166","Terebellides stroemii","Annelida"
"167","Lucania parva","Chordata"
"168","Nucella lapillus","Mollusca"
"169","Acanthurus chirurgus","Chordata"
"170","Halichoerus grypus","Chordata"
"171","Fabulina fabula","Mollusca"
"172","Asterias rubens","Echinodermata"
"173","Calanus hyperboreus","Arthropoda"
"174","Malacoraja senta","Chordata"
"175","Lutjanus griseus","Chordata"
"176","Cyclopterus lumpus","Chordata"
"177","Bucephala clangula","Chordata"
"178","Lanice conchilega","Annelida"
"179","Pholoe inornata","Annelida"
"180","Monoporeia affinis","Arthropoda"
"181","Pogonias cromis","Chordata"
"182","Sterna hirundo","Chordata"
"183","Scalibregma inflatum","Annelida"
"184","Zoarces viviparus","Chordata"
"185","Lachnolaimus maximus","Chordata"
"186","Capitella capitata","Annelida"
"187","Callionymus maculatus","Chordata"
"188","Notomastus latericeus","Annelida"
"189","Eteone longa","Annelida"
"190","Bairdiella chrysoura","Chordata"
"191","Tubificoides benedii","Annelida"
"192","Katsuwonus pelamis","Chordata"
"193","Leucoraja ocellata","Chordata"
"194","Arctica islandica","Mollusca"
"195","Nephtys cirrosa","Annelida"
"196","Amphiura filiformis","Echinodermata"
"197","Doryteuthis (Amerigo) pealeii","Mollusca"
"198","Microchirus variegatus","Chordata"
"199","Mola mola","Chordata"
"200","Haemulon aurolineatum","Chordata"
"201","Loligo forbesii","Mollusca"
"202","Galathowenia oculata","Annelida"
"203","Nezumia bairdii","Chordata"
"204","Caranx ruber","Chordata"
"205","Acartia (Acanthacartia) bifilosa","Arthropoda"
"206","Perca flavescens","Chordata"
"207","Owenia fusiformis","Annelida"
"208","Scophthalmus maximus","Chordata"
"209","Stercorarius skua","Chordata"
"210","Calonectris diomedea","Chordata"
"211","Helicolenus dactylopterus","Chordata"
"212","Alosa fallax","Chordata"
"213","Lycodes reticulatus","Chordata"
"214","Goniada maculata","Annelida"
"215","Diastylis rathkei","Arthropoda"
"216","Liocarcinus holsatus","Arthropoda"
"217","Chromis scotti","Chordata"
"218","Raja clavata","Chordata"
"219","Mediomastus fragilis","Annelida"
"220","Zoarces americanus","Chordata"
"221","Pleuromamma robusta","Arthropoda"
"222","Phalacrocorax aristotelis","Chordata"
"223","Pungitius pungitius","Chordata"
"224","Evadne nordmanni","Arthropoda"
"225","Phalaropus fulicarius","Chordata"
"226","Sparisoma atomarium","Chordata"
"227","Chelidonichthys lucerna","Chordata"
"228","Anchoa hepsetus","Chordata"
"229","Lumpenus lampretaeformis","Chordata"
"230","Perca fluviatilis","Chordata"
"231","Abudefduf saxatilis","Chordata"
"232","Echinocardium cordatum","Echinodermata"
"233","Argentina silus","Chordata"
"234","Desmophyllum pertusum","Cnidaria"
"235","Citharichthys spilopterus","Chordata"
"236","Sebastes mentella","Chordata"
"237","Hydrobates pelagicus","Chordata"
"238","Ophiura ophiura","Echinodermata"
"239","Thyasira flexuosa","Mollusca"
"240","Pholoe baltica","Annelida"
"241","Paralichthys dentatus","Chordata"
"242","Amphibalanus improvisus","Arthropoda"
"243","Pomacanthus arcuatus","Chordata"
"244","Pandalus borealis","Arthropoda"
"245","Calamus calamus","Chordata"
"246","Hilbigneris gracilis","Annelida"
"247","Ciliata mustela","Chordata"
"248","Chaetozone setosa","Annelida"
"249","Hippoglossina oblonga","Chordata"
"250","Crangon crangon","Arthropoda"
"251","Aspidophoroides monopterygius","Chordata"
"252","Macrourus berglax","Chordata"
"253","Symphurus plagiusa","Chordata"
"254","Anisotremus virginicus","Chordata"
"255","Spisula subtruncata","Mollusca"
"256","Cerastoderma edule","Mollusca"
"257","Lycodes vahlii","Chordata"
"258","Phaxas pellucidus","Mollusca"
"259","Chromis cyanea","Chordata"
"260","Etropus crossotus","Chordata"
"261","Hyperoplus lanceolatus","Chordata"
"262","Chaetodon capistratus","Chordata"
"263","Glycera lapidum","Annelida"
"264","Cancer pagurus","Arthropoda"
"265","Chloroscombrus chrysurus","Chordata"
"266","Balaenoptera acutorostrata","Chordata"
"267","Buccinum undatum","Mollusca"
"268","Capros aper","Chordata"
"269","Leucoraja erinacea","Chordata"
"270","Gadiculus argenteus","Chordata"
"271","Ptychoramphus aleuticus","Chordata"
"272","Stenella coeruleoalba","Chordata"
"273","Dorosoma cepedianum","Chordata"
"274","Eschrichtius robustus","Chordata"
"275","Thor floridanus","Arthropoda"
