"","Var1","Freq"
"1","Acanthocephala",60
"2","Annelida",4801
"3","Arthropoda",11854
"4","Brachiopoda",82
"5","Bryozoa",959
"6","Chaetognatha",58
"7","Chordata",8744
"8","Cnidaria",3350
"9","Ctenophora",41
"10","Cycliophora",1
"11","Dicyemida",35
"12","Echinodermata",2218
"13","Entoprocta",28
"14","Gastrotricha",155
"15","Gnathostomulida",16
"16","Hemichordata",35
"17","Kinorhyncha",17
"18","Loricifera",8
"19","Mollusca",9503
"20","Nematoda",2203
"21","Nematomorpha",1
"22","Nemertea",201
"23","Orthonectida",1
"24","Phoronida",9
"25","Placozoa",1
"26","Platyhelminthes",1982
"27","Porifera",2524
"28","Priapulida",6
"29","Rotifera",97
"30","Sipuncula",73
"31","Tardigrada",115
"32","Xenacoelomorpha",304
