"","Name","Trop","NTemp","NPol","STemp","SPol"
"sprownums","Grania occulta","0","1","0","0","0"
"sprownums","Ophelia bicornis","0","133","0","0","0"
"sprownums","Ophryotrocha batillus","0","2","0","0","0"
"sprownums","Scoloplos armiger","11","60200","357","1","0"
"sprownums","Spirobranchus polycerus","0","0","0","0","0"
"sprownums","Eucalanus hyalinus","30","1064","0","111","0"
"sprownums","Ochthebius quadricollis","0","0","0","0","0"
"sprownums","Abyssorchomene","44","72","0","121","54"
"sprownums","Alpheus buckupi","0","0","0","0","0"
"sprownums","Alpheus soror","0","0","0","0","0"
"sprownums","Alpheus wonkimi","0","0","0","0","0"
"sprownums","Ampelisca eschrichti","0","0","0","0","0"
"sprownums","Hemimysis margalefi","0","0","0","0","0"
"sprownums","Leptochelia Africana","0","0","0","0","0"
"sprownums","Munida mendagnai","5","0","0","0","0"
"sprownums","Platorchestia parapacifica","0","1","0","0","0"
"sprownums","Sesarma reticulatum","3","20","0","0","0"
"sprownums","Auritoglyptes bicornis","0","0","0","0","0"
"sprownums","Balanodytes habei","0","0","0","0","0"
"sprownums","Chthamalus proteus","129","32","0","28","0"
"sprownums","Savignium dentatum","0","0","0","0","0"
"sprownums","Savignium milleporum","0","0","0","0","0"
"sprownums","Abudefduf declivifron","0","0","0","0","0"
"sprownums","Albula gilberti","0","0","0","0","0"
"sprownums","Albula vulpes","882","79","0","14","0"
"sprownums","Atherina lagunae","0","0","0","0","0"
"sprownums","Dascyllus abudafur","0","0","0","0","0"
"sprownums","Ditrema jordani","0","0","0","0","0"
"sprownums","Odontamblyopus lacepedii","1","2","0","0","0"
"sprownums","Pomacentrus micronesicus","25","0","0","0","0"
"sprownums","Rypticus saponaceous","0","0","0","0","0"
"sprownums","Symphurus leucochilus","0","0","0","0","0"
"sprownums","Trimma flammeum","211","0","0","71","0"
"sprownums","Trimma hayashi","0","0","0","0","0"
"sprownums","Trimma tevegae","419","17","0","1","0"
"sprownums","Pycnoclavella brava","0","0","0","0","0"
"sprownums","Pycnoclavella communis","0","0","0","0","0"
"sprownums","Pyura doppelgangera","0","0","0","1","0"
"sprownums","Aetobatus narutobiei","0","0","0","0","0"
"sprownums","Actinia ebhayiensis","0","0","0","0","0"
"sprownums","Incrustatus niarchosi","0","0","0","0","0"
"sprownums","Mussismilia hartii","0","0","0","0","0"
"sprownums","Palythoa mizigama","0","0","0","0","0"
"sprownums","Hydractinia serrata","0","0","0","0","0"
"sprownums","Stylactis carcinicola","0","0","0","0","0"
"sprownums","Stylactis serrata","0","0","0","0","0"
"sprownums","Cyanea tzetlinii","0","0","0","0","0"
"sprownums","Symbion americanus","0","0","0","0","0"
"sprownums","Cryptasterina hystera","0","0","0","0","0"
"sprownums","Parvulastra exigua","25","0","0","594","0"
"sprownums","Echinoderes sensibilis","0","0","0","0","0"
"sprownums","Atrina assimilis","0","0","0","0","0"
"sprownums","Atrina exusta","0","0","0","0","0"
"sprownums","Bathymodiolus","283","1920","0","70","0"
"sprownums","Calyptogena phaseoliformis","0","0","0","0","0"
"sprownums","Carditamera bajaensis","0","0","0","0","0"
"sprownums","Thyasira gould","0","0","0","0","0"
"sprownums","Tridacna ningaloo","68","0","0","0","0"
"sprownums","Xylophaga brava","0","0","0","0","0"
"sprownums","Doryteuthis plei","0","0","0","0","0"
"sprownums","Sepioteuthis lessoniana","278","13","0","8","0"
"sprownums","Alderia willowi","0","0","0","0","0"
"sprownums","Bathytoma","305","11","0","293","0"
"sprownums","Bostrycapulus","75","310","0","265","0"
"sprownums","Crepipatella fecunda","0","0","0","0","0"
"sprownums","Crepipatella occulta","0","0","0","0","0"
"sprownums","Echinolittorina trochoides","0","0","0","0","0"
"sprownums","Gemmula cosmoi","21","2","0","11","0"
"sprownums","Gemmula hombroni","29","0","0","0","0"
"sprownums","Gemmula monolifera","0","0","0","0","0"
"sprownums","Gemmula rarimaculata","3","0","0","61","0"
"sprownums","Gemmula sogodensis","1","0","0","0","0"
"sprownums","Lophiotoma acuta","572","3","0","27","0"
"sprownums","Lophiotoma friedrichbonhoefferi","5","0","0","0","0"
"sprownums","Lophiotoma indica","255","14","0","69","0"
"sprownums","Lophiotoma panglaoensis","6","0","0","0","0"
"sprownums","Melanochlamys lorrainae","0","0","0","0","0"
"sprownums","Nassarius festina","0","0","0","0","0"
"sprownums","Okenia harastii","0","0","0","0","0"
"sprownums","Turridrupa bijubata","97","3","0","8","0"
"sprownums","Lepidochitona pseudoliozonis","0","0","0","0","0"
"sprownums","Ototyphlonemertes erneba","0","0","0","0","0"
"sprownums","Ototyphlonemertes lactea","0","0","0","0","0"
"sprownums","Ototyphlonemertes macintoshi","0","0","0","0","0"
"sprownums","Ototyphlonemertes parmula","0","0","0","0","0"
"sprownums","Ototyphlonemertes santacruzensis","0","0","0","0","0"
"sprownums","Tetrastemma roseocephalum","0","0","0","0","0"
"sprownums","Cephalothrix alba","0","0","0","0","0"
"sprownums","Cephalothrix simula","0","0","0","0","0"
"sprownums","Pseudomicrura afzelii","0","1","0","0","0"
"sprownums","Chondrilla nucula","24","125","0","5","0"
"sprownums","Spirastrella mollis","1","1","0","0","0"
"sprownums","Apionsoma misakianum","0","0","0","0","0"
"sprownums","Phascolosoma agassizi","0","0","0","0","0"
"sprownums","Themiste pyroides","0","0","0","0","0"
