Type,Name,Trop,NTemp,NPol,STemp,SPol,
species,Spirobranchus polycerus,TRUE,FALSE,FALSE,FALSE,FALSE,
species,Ochthebius quadricollis,FALSE,TRUE,FALSE,FALSE,FALSE,
species,Alpheus buckupi,TRUE,FALSE,FALSE,FALSE,FALSE,
species,Alpheus soror,FALSE,FALSE,FALSE,FALSE,FALSE,
species,Alpheus wonkimi,FALSE,FALSE,FALSE,FALSE,FALSE,
species,Ampelisca eschrichti,TRUE,TRUE,TRUE,TRUE,TRUE,
species,Hemimysis margalefi,FALSE,FALSE,FALSE,FALSE,FALSE,
species,Leptochelia Africana,FALSE,FALSE,FALSE,FALSE,FALSE,
species,Auritoglyptes bicornis,FALSE,FALSE,FALSE,FALSE,FALSE,
species,Balanodytes habei,FALSE,FALSE,FALSE,FALSE,FALSE,
species,Savignium dentatum,FALSE,FALSE,FALSE,FALSE,FALSE,
species,Savignium milleporum,FALSE,FALSE,FALSE,FALSE,FALSE,
species,Abudefduf declivifron,TRUE,TRUE,FALSE,FALSE,FALSE,
species,Albula gilberti,FALSE,TRUE,FALSE,FALSE,FALSE,
species,Atherina lagunae,FALSE,FALSE,FALSE,FALSE,FALSE,
species,Dascyllus abudafur,TRUE,TRUE,FALSE,TRUE,FALSE,
species,Ditrema jordani,FALSE,TRUE,FALSE,FALSE,FALSE,
species,Rypticus saponaceous,FALSE,FALSE,FALSE,FALSE,FALSE,
species,Symphurus leucochilus,TRUE,TRUE,FALSE,FALSE,FALSE,
species,Trimma hayashi,TRUE,TRUE,FALSE,FALSE,FALSE,
species,Pycnoclavella brava,FALSE,FALSE,FALSE,FALSE,FALSE,
species,Pycnoclavella communis,FALSE,TRUE,FALSE,FALSE,FALSE,
species,Aetobatus narutobiei,FALSE,TRUE,FALSE,FALSE,FALSE,
species,Actinia ebhayiensis,FALSE,FALSE,FALSE,TRUE,FALSE,
species,Incrustatus niarchosi,FALSE,FALSE,FALSE,TRUE,FALSE,
species,Mussismilia hartii,FALSE,FALSE,FALSE,FALSE,FALSE,
species,Palythoa mizigama,FALSE,TRUE,FALSE,FALSE,FALSE,
species,Hydractinia serrata,FALSE,FALSE,FALSE,FALSE,FALSE,
species,Stylactis carcinicola,FALSE,FALSE,FALSE,FALSE,FALSE,
species,Stylactis serrata,FALSE,FALSE,FALSE,FALSE,FALSE,
species,Cyanea tzetlinii,FALSE,FALSE,TRUE,FALSE,FALSE,
species,Symbion americanus,FALSE,TRUE,FALSE,FALSE,FALSE,
species,Cryptasterina hystera,FALSE,FALSE,FALSE,TRUE,FALSE,
species,Echinoderes sensibilis,FALSE,TRUE,FALSE,FALSE,FALSE,
species,Atrina assimilis,TRUE,FALSE,FALSE,FALSE,FALSE,
species,Atrina exusta,TRUE,FALSE,FALSE,FALSE,FALSE,
species,Calyptogena phaseoliformis,FALSE,TRUE,FALSE,FALSE,FALSE,
species,Carditamera bajaensis,FALSE,TRUE,FALSE,FALSE,FALSE,
species,Thyasira gould,TRUE,TRUE,TRUE,FALSE,FALSE,
species,Xylophaga brava,FALSE,FALSE,FALSE,FALSE,FALSE,
species,Doryteuthis plei,TRUE,TRUE,FALSE,TRUE,FALSE,
species,Alderia willowi,FALSE,TRUE,FALSE,FALSE,FALSE,
species,Crepipatella fecunda,FALSE,FALSE,FALSE,FALSE,FALSE,
species,Crepipatella occulta,FALSE,FALSE,FALSE,FALSE,FALSE,
species,Echinolittorina trochoides,FALSE,FALSE,FALSE,FALSE,FALSE,
species,Gemmula monolifera,FALSE,FALSE,FALSE,FALSE,FALSE,
species,Melanochlamys lorrainae,FALSE,FALSE,FALSE,FALSE,FALSE,
species,Nassarius festina,FALSE,FALSE,FALSE,FALSE,FALSE,
species,Okenia harastii,FALSE,FALSE,FALSE,TRUE,FALSE,
species,Lepidochitona pseudoliozonis,FALSE,FALSE,FALSE,FALSE,FALSE,
species,Ototyphlonemertes erneba,TRUE,FALSE,FALSE,FALSE,FALSE,
species,Ototyphlonemertes lactea,FALSE,FALSE,FALSE,FALSE,FALSE,
species,Ototyphlonemertes macintoshi,FALSE,TRUE,FALSE,FALSE,FALSE,
species,Ototyphlonemertes parmula,FALSE,FALSE,FALSE,FALSE,FALSE,
species,Ototyphlonemertes santacruzensis,FALSE,FALSE,FALSE,FALSE,FALSE,
species,Tetrastemma roseocephalum,TRUE,TRUE,FALSE,FALSE,FALSE,
species,Cephalothrix alba,FALSE,FALSE,FALSE,FALSE,FALSE,
species,Cephalothrix simula,FALSE,TRUE,FALSE,FALSE,FALSE,
species,Apionsoma misakianum,TRUE,TRUE,TRUE,FALSE,FALSE,
species,Phascolosoma agassizi,FALSE,FALSE,FALSE,FALSE,FALSE,
species,Themiste pyroides,FALSE,FALSE,FALSE,FALSE,FALSE,
species,Grania occulta,FALSE,TRUE,FALSE,FALSE,FALSE,
species,Ophelia bicornis,FALSE,TRUE,FALSE,FALSE,FALSE,
species,Ophryotrocha batillus,FALSE,TRUE,FALSE,FALSE,FALSE,
species,Munida mendagnai,TRUE,FALSE,FALSE,FALSE,FALSE,
species,Platorchestia parapacifica,FALSE,TRUE,FALSE,FALSE,FALSE,
species,Pomacentrus micronesicus,TRUE,FALSE,FALSE,FALSE,FALSE,
species,Pyura doppelgangera,FALSE,FALSE,FALSE,TRUE,FALSE,
species,Tridacna ningaloo,TRUE,FALSE,FALSE,FALSE,FALSE,
species,Gemmula hombroni,TRUE,FALSE,FALSE,FALSE,FALSE,
species,Gemmula sogodensis,TRUE,FALSE,FALSE,FALSE,FALSE,
species,Lophiotoma friedrichbonhoefferi,TRUE,FALSE,FALSE,FALSE,FALSE,
species,Lophiotoma panglaoensis,TRUE,FALSE,FALSE,FALSE,FALSE,
species,Pseudomicrura afzelii,FALSE,TRUE,FALSE,FALSE,FALSE,
species,Sesarma reticulatum,TRUE,TRUE,FALSE,FALSE,FALSE,
species,Odontamblyopus lacepedii,TRUE,TRUE,FALSE,FALSE,FALSE,
species,Trimma flammeum,TRUE,FALSE,FALSE,TRUE,FALSE,
species,Parvulastra exigua,TRUE,FALSE,FALSE,TRUE,FALSE,
species,Gemmula rarimaculata,TRUE,FALSE,FALSE,TRUE,FALSE,
species,Spirastrella mollis,TRUE,TRUE,FALSE,FALSE,FALSE,
species,Eucalanus hyalinus,TRUE,TRUE,FALSE,TRUE,FALSE,
species,Chthamalus proteus,TRUE,TRUE,FALSE,TRUE,FALSE,
species,Albula vulpes,TRUE,TRUE,FALSE,TRUE,FALSE,
species,Trimma tevegae,TRUE,TRUE,FALSE,TRUE,FALSE,
species,Bathymodiolus,TRUE,TRUE,FALSE,TRUE,FALSE,
species,Sepioteuthis lessoniana,TRUE,TRUE,FALSE,TRUE,FALSE,
species,Bathytoma,TRUE,TRUE,FALSE,TRUE,FALSE,
species,Bostrycapulus,TRUE,TRUE,FALSE,TRUE,FALSE,
species,Gemmula cosmoi,TRUE,TRUE,FALSE,TRUE,FALSE,
species,Lophiotoma acuta,TRUE,TRUE,FALSE,TRUE,FALSE,
species,Lophiotoma indica,TRUE,TRUE,FALSE,TRUE,FALSE,
species,Turridrupa bijubata,TRUE,TRUE,FALSE,TRUE,FALSE,
species,Chondrilla nucula,TRUE,TRUE,FALSE,TRUE,FALSE,
species,Scoloplos armiger,TRUE,TRUE,TRUE,TRUE,FALSE,
species,Abyssorchomene,TRUE,TRUE,FALSE,TRUE,TRUE,
species,Tubificoides insularis,FALSE,TRUE,FALSE,FALSE,FALSE,
species,Tubificoides amplivasatus,FALSE,TRUE,FALSE,FALSE,FALSE,
species,Tubificoides pseudogaster,FALSE,TRUE,FALSE,FALSE,FALSE,
species,Arenicola defodiens,FALSE,TRUE,FALSE,FALSE,FALSE,
species,Chone magna,FALSE,TRUE,FALSE,FALSE,FALSE,
species,Eumida minuta,FALSE,FALSE,FALSE,TRUE,FALSE,
species,Galeolaria caespitosa,FALSE,FALSE,FALSE,TRUE,FALSE,
species,Hediste japonica,FALSE,TRUE,FALSE,FALSE,FALSE,
species,Naineris dendritica,FALSE,TRUE,FALSE,FALSE,FALSE,
species,Neoamphitrite robusta,FALSE,TRUE,FALSE,FALSE,FALSE,
species,Neopetitia occulta,TRUE,FALSE,FALSE,FALSE,FALSE,
species,Syllis elongata,FALSE,TRUE,FALSE,FALSE,FALSE,
species,Aquilastacus serratus,FALSE,TRUE,FALSE,FALSE,FALSE,
species,Coullana canadensis,FALSE,TRUE,FALSE,FALSE,FALSE,
species,Tigriopus angulatus,FALSE,FALSE,FALSE,TRUE,FALSE,
species,Zausodes arenicolus,FALSE,TRUE,FALSE,FALSE,FALSE,
species,Callianassa kraussi,FALSE,FALSE,FALSE,TRUE,FALSE,
species,Ciliopagurus vakovako,TRUE,FALSE,FALSE,FALSE,FALSE,
species,Cyathura polita,FALSE,TRUE,FALSE,FALSE,FALSE,
species,Exosphaeroma hylecoetes,FALSE,FALSE,FALSE,TRUE,FALSE,
species,Fungicola fagei,TRUE,FALSE,FALSE,FALSE,FALSE,
species,Gammarus tigrinus,FALSE,TRUE,FALSE,FALSE,FALSE,
species,Haploniscus cucullus,FALSE,FALSE,FALSE,TRUE,FALSE,
species,Haptosquilla pulchella,TRUE,FALSE,FALSE,FALSE,FALSE,
species,Iphinoe truncata,FALSE,FALSE,FALSE,TRUE,FALSE,
species,Mesopodopsis orientalis,TRUE,FALSE,FALSE,FALSE,FALSE,
species,Mesopodopsis slabberi,FALSE,TRUE,FALSE,FALSE,FALSE,
species,Munida clinata,TRUE,FALSE,FALSE,FALSE,FALSE,
species,Panulirus longipes femoristriga,TRUE,FALSE,FALSE,FALSE,FALSE,
species,Paracorophium excavatum,FALSE,FALSE,FALSE,TRUE,FALSE,
species,Petrolisthes edwardsii,TRUE,FALSE,FALSE,FALSE,FALSE,
species,Serolis paradoxa,FALSE,FALSE,FALSE,TRUE,FALSE,
species,Synalpheus rathbunae,TRUE,FALSE,FALSE,FALSE,FALSE,
species,Uroptychus naso,TRUE,FALSE,FALSE,FALSE,FALSE,
species,Zeuxo normani,FALSE,TRUE,FALSE,FALSE,FALSE,
species,Chthamalus fissus,FALSE,TRUE,FALSE,FALSE,FALSE,
species,Trevathana dentata,TRUE,FALSE,FALSE,FALSE,FALSE,
species,Wanella milleporae,TRUE,FALSE,FALSE,FALSE,FALSE,
species,Cupuladria surinamensis,FALSE,TRUE,FALSE,FALSE,FALSE,
species,Cathorops mapale,TRUE,FALSE,FALSE,FALSE,FALSE,
species,Luciogobius guttatus,FALSE,TRUE,FALSE,FALSE,FALSE,
species,Muraenoclinus dorsalis,FALSE,FALSE,FALSE,TRUE,FALSE,
species,Schindleria brevipinguis,TRUE,FALSE,FALSE,FALSE,FALSE,
species,Scorpis violaceus,FALSE,FALSE,FALSE,TRUE,FALSE,
