scientificName
Munidopsis verrucosus
Petrosia ficiformis
Alitta virens
Asterias amurensis
Atule mate
Barantolla americana
Brada villosa
Leptochelia Africana
Chone magna
Cirratulus cirratus
Pectinaria granulata
Clibanarius vittatus
Euclimene zonalis
Cupuladria biporosa
Cupuladria surinamensis
Eteone longa
Eumida minuta
Eunoe nodosa
Eunoe oerstedi
Flabelligera affinis
Harmothoe imbricata
Harmothoe rarispina
Laonice cirrata
Leitoscoloplos pugettensis
Lepidonotus squamatus
Mysis relicta
Myxicola infundibulum
Naineris dendritica
Neoamphitrite robusta
Nephtys punctata
Nereiphylla castanea
Nereis pelagica
Nothria conchylega
Okenia felis
Ophelia limacina
Ophelina acuminata
Pachymatisma normani
Pampus cinereus
Phyllodoce groenlandica
Praxilella praetermissa
Lumbrineris fragilis
Sebastes aleutianus
Selar crumenophthalmus
Seriolina nigrofasciata
Silago analis
Syllis alternata
Syllis elongata
Terebellides stroemi
Symbion americanus
Mesopodopsis orientalis
Mugil platanus
Ciliopagurus vakovako
Clinus superciliosus
Muraenoclinus dorsalis
Rhynchospio glutaea
Trypanosyllis  krohnii
Auritoglyptes bicornis
Petrolisthes edwardsii
Dendronotus frondosus
Suberites ficus
Acropora cytherea
Alpheus soror
Alpheus wonkimi sp. nov
Anteaeolidiella indica
Centropyge flavissima
Centropyge heraldi
Chrysiptera cyanea
Ciliopagurus strigatus
Dascyllus abudafur
Fungicola fagei
Lethrinus olivaceus
Lutjanus johnii
Millepora exasea
Millepora platyphylla
Mussismilia hartii
Palythoa mizigama
Paragorgia coralloides
Paragorgia stephencairnsi
Phanogenia gracilis
Plectropomus leopardus
Plexaura kuna
Pomacentrus micronesicus sp. nov.
Trochus conus
Sarcophyton glaucum
Schindleria brevipinguis
Schindleria pietschmanni
Schindleria praematura
Scorpis violaceus
Siderastrea radians
Sinularia tumulosa
Stylophora pistillata
Synalpheus rathbunae
Tectus pyramis
Trimma benjamini
Trimma cheni
Trimma emeryi
Trimma erdmanni
Trimma fangi
Trimma flammeum/macrophthalmus
Trimma hayashi
Trimma marinae
Trimma milta
Trimma nasa
Trimma naudei
Trimma okinawae
Trimma stobbsi
Trimma taylori
Trimma tevegae/gigantum/etc
Xestospongia testudinaria
Trimma group-F
Hypselodoris bullockii
Hypselodoris maritima
Hypselodoris zephyra
Paraechinophyllia variabilis
Gonodactylellus viridis
Haptosquilla glyptocercus
Haptosquilla pulchella
Aetobatus narinari
Akko sp.nov.
Bollmannia group sp.nov
Garmannia sp. nov.
Alpheus cristulifrons
Spirastrella sp. cf. mollis
Munida clinata
Munida notata
Munida tiresias
Conus ebraeus
Nereis denhamensis
Perinereis suluana
Pseudonereis anomala
Notobryon wardi
Aglaophamus trissophyllus
Aricidea belgicae
Macellicephala sp. A
Hesionidae sp. A
Alviniconcha hessleri
Aristaeomorpha foliacea
Bathypolaria kondrashovi
Careproctus rastrinus
Eurythenes magellanicus
Gemmuloborsonia moosai
Macroscapha inaequata
Macroscapha turbida
Ophthalmolycus amberensis
Pelagobia longicirrata
Spirula spirula
Typhloscolex muelleri
Orchomene sensu lato
Notophyllum foliosum
Acanthaspidia drygalskii
Lipogramma evides
Archinome rosacea
Gorgoleptis emarginatus
Lepetodrilus ovalis
Lepetodrilus pustulosus
Lepetodrilus tevnianus
Pachydermia laevis
Peltospira operculata
Symphurus thermophilus
Calyptogena phaseoliformis
Vesicomya gigas
Calyptogena pacifica
Alcithoe aillaudorum
Cancellopollia gracilis
Ophryotrocha batillus sp. nov
Electra pilosa
Iphinoe truncata
Upogebia Africana
Hargeria rapax
Hesiolyra bergi
Litoribates bonairensis
Alpheus lobidens
Ammodytes hexapterus
Amphioctopus neglectus
Foetorepus calauropomus
Hippolyte ventricosa
Apogon ellioti
Laeonereis culveri
Lumpenus sagitta
Naucrates ductor
Ophionereis annulata
Pegasus volitans
Polybranchia orientalis
Psenopsis anomala
Siganus fuscescens
Stylocheiron affine
Synalpheus antillensis
Turbinella  pyrum
Turritopsis lata
Limnoria nagatai
Aequorea taiwanensis
Aetobatus narutobiei sp. nov.
Atherinomorus lacunosus
Eukrohnia hamata
Euterpina acutifrons
Boreoteuthis borealis
Gymnoscopelus bolini
Lensia multicristata
Loliolus beka
Mesocalanus tenuicornis
Notolepis coatsi
Ommastrephes bartramii
Physalia physalis
Rhinobatos productus
Rhachotropis helleri
Rhincalanus nasutus
Rhincalanus rostrifrons
Sebastes oculatus
Sphyrna lewini
Sprattus antipodum
Squatina argentina
Subeucalanus crassus
Subeucalanus mucronatus
Subeucalanus pileatus
Agonostomus monticola
Albula gilberti
Moolgarda seheli
Rhizoprionodon terraenovae
Symphurus leucochilus n. sp.
Laticauda colubrina
Chtenopteryx  sicula
Hydroides albiceps
Hydroides exaltata
Hydroides longispinosa
Hydroides minax
Hydroides operculata
Hydroides tuberculata
Pycnoclavella aurilucens
Pycnoclavella brava
Alpheus buckupi spec. nov
Lepidonopsis humilis
Luciogobius guttatus
Sebastes inermis
Tripterygion tripteronotus
Alpheus nuttingi
Cerithiopsis tubercularis
Incrustatus niarchosi n. sp.
Lunella cinerea
Lunella coronata
Nucella emarginata
Alcyonidium gelatinosum
Stylactaria hooperi
Stylactaria inermis
Alcyonidium mytili
Ampelisca eschrichti
Ischyrocerus anguipes
Spirontocaris spinus
Cliona viridis
Sertularia distans
Cryptolaria pectinata
Diphasia margareta
Dynamena disticha
Lafoea dumosa
Sertularella ellisii
Sertularella fusiformis
Sertularella mediterranea
Thuiaria articulata
Leptasterias aequalis
Corythoichthys haematopterus
Notoacmea helmsi
Menippe mercenaria
Lethrinus mahsena
Phycomenes zostericola
Ammodytes personatus
Aspidosiphon elegans
Aspidosiphon parvulus
Bohadschia marmorata
Dactylopterus volitans
Epimeria cornigera
Grania occulta sp.n.
Luidia quinaria
Nannopus ganghwaensis
Phascolosoma scolops
Cephalothrix simula
Cephalothrix spiralis
Cephalothrix alba
Mactra corallina
Odontamblyopus lacepedii sensu lato
Ototyphlonemertes duplex
Ototyphlonemertes macintoshi
Ototyphlonemertes erneba
Ototyphlonemertes santacruzensis
Parapercis lutevittata
Sphenopus marsupialis
Tetrastemma melanocephalum
Tetrastemma peltatum
Tetrastemma roseocephalum/ pimaculatum
Tetrastemma vermiculus
Arenicola defodiens
Alpheus floridanus
Gyratrix hermaphroditus
Nassarius livescens
Oerstedia dorsalis
Nassarius festiva
Tubificoides amplivasatus
Tubificoides  insularis
Lineus ruber/viridis
Pseudomonocelis ophiocephala
Gemmula cf. cosmoi
Gemmula cf. hombroni
Gemmula cf. monolifera
Gemmula cf. rarimaculata
Gemmula cf. sogodensis
Glycera kerguelensis
Lophiotoma cf. acuta
Lophiotoma cf. friedrichbonhoefferi
Lophiotoma cf. panglaoensis
Ophiactis abyssicola
Ophiothrix aristulata
Ophiura ooplax
Turridrupa cf. bijubata
Lophiotoma cf. indica
Perinereis cultrifera
Microcanthus strigatus
Cryptonatica affinis
Macoma balthica
Propebela turricula
Atrina assimilis
Atrina exusta
Atrina rigida
Pinna muricata
Pinna (Streptopinna) saccata
Elysia japonica
Plakobranchus ocellatus
Pallenella variabilis
Abudefduf declivifron
Albula sp. cf. vulpes
Alpheus heterochaelis
Calcinus anani
Eumunida annulosa
Himantura leoparda
Munida mendagnai sp. nov
Naso caesius
Navanax aenigmaticus
Okenia harastii sp. nov.
Spurilla neapolitana
Themisto gaudichaudii
Uroptychus naso
Bosellia mimetica
Neomysis americana
Pallenopsis patagonica
Aglaophenia pluma
Atherina boyeri
Eunicea flexuosa
Euphrosinella cirratoformis
Paragorgia arborea
Stylactaria carcinicola
Scalibregma inflatum
Tridacna ningaloo n. sp.
Acropora hyacinthus
Blakeia simplex
Mugil curema
Ototyphlonemertes lactea
Eurythenes gryllus
Lineus torquatus
Sebastes norvegicus
Spiophanes bombyx
Glycera capitata
Suberites diversicolor
Cerithium renovatum
Cerithium traillii
Crassispira cerithina
Crenimugil buchanani
Exaiptasia pallida
Goniobranchus reticulatus
Lepidonotothen nudifrons
Pallenella flava
Pallenella harrisi
Pallenella inflata
Osteomugil perusii
Stegastes variabilis
Tethya burtoni
Parazoanthus axinellae
Eucinostomus argenteus
Eucinostomus gula
Eucinostomus harengulus
Eucinostomus melanopterus
Menticirrhus americanus
Menticirrhus littoralis
Perinereis shikueii
Tigriopus japonicus
Antillesoma  antillarum
Aplysia elongata
Aplysia ghanimii
Aplysia parvula
Berthella plumula
Berthella stellata
Ophiocoma brevipes
Ophiocoma dentata
Ophiocoma doederleini
Ophiocoma pica
Ophiocoma pusila
Flabellina verrucosa
Flabellina trophina
Macrophiothrix longipeda
Flabellina gracilis
Ophiarachnella septemspinosa
Ophiocoma erinaceus
Ophiomastix variabilis
Ophiplocus imbricatus
Ophiothrix trilineata
Flabellina ischitana
Pseudopolydora antennata
Alpheus lottini
Cheilodipterus artus
Chlorodiella laevissima
Chromis viridis
Coralliogalathea humilis
Linckia laevigata
Nautilus macromphalus
Nautilus pompilius
Neozanthus uchina
Palythoa mutuki
Syllis gracilis
Xyrichtys novacula
Asteronyx loveni
Cryptopsaras couesii
Scaphander bathymophilus
Freyastera spp
Amphioctopus marginatus
Cistopus chinensis
Ctena bella
Euprymna hyllebergi
Portunus xantusii
Sepia pharaonis
Sepiolina petasa
Spondyliosoma cantharus
Uroteuthis duvaucelii
Carybdea marsupialis
Ophioscion punctatissimus
Pseudosagitta maxima
Anyperodon leucogrammicus
Atractoscion aequidens
Epinephelus merra
Epinephelus ongus
Epinephelus polyphekadion
Scombrops boops
Africonus curralensis
Kalloconus pulcher
Hemimycale columella
Marionia blainvillea
Spirobranchus tetraceros
Aeolidia papillosa
Anthothoe chilensis
Hydroides amri
Lottia kogamogai
Siphonaria pectinata
Paraonis assimilis
Paraonis cerrutti
Cirrophorus furcatus
Levinsenia kantauriensis
Paradoneis ilvana
Paraonis fulgens
Paraonis minuta
Psammodrilus balanoglossoides
Psammodrilus curinigallettii
Psammodrilus swedmarki
Perinereis anderssoni
Astrotorhynchus bifidus
Grania cf. levis
Ototyphlonemertes pallida
Pagurus minutus
Carinozetes bermudensis
Stygocapitella subterranea
Doriprismatica atromarginata
Glossodoris cincta
Glossodoris pallida
Neotrygon kuhlii
Peronia verruculata
Thyonell gemmata
