SpeciesName
Grania occulta sp.n.
Marionina spp.
Tubificoides insularis
Tubificoides amplivasatus
Tubificoides pseudogaster
Alitta virens
Archinome rosacea
Arenicola defodiens
Barantolla americana
Brada villosa
Capitella capitata
Chone magna
Cirratulus cirratus
Dipolydora spp.
Eteone longa
Euclymene zonalis
Eumida minuta
Eumida sanguinea
Eunice spp.
Eunoe nodosa
Eunoe oerstedi
Eurythoe complanata
Flabelligera affinis
Galeolaria caespitosa
Glycera kerguelensis
Harmothoe imbricata
Harmothoe rarispina
Hediste diversicolor
Hediste japonica
Laonice cirrata
Leitoscoloplos pugettensis
Lepidonopsis humilis
Lepidonotus squamatus
Lumbrineris fragilis
Lysidice ninetta
Marenzelleria viridis
Marphysa spp.
Myxicola infundibulum
Naineris dendritica
Neoamphitrite robusta
Neopetitia occulta
Nephtys punctata
Nereiphylla castanea
Nereis acuminata
Nereis denhamensis
Nereis pelagica
Nothria conchylega
Notophyllum foliosum
Oasisia spp.
Ophelia cf. bicornis
Ophelia limacina
Ophelina acuminata
Ophryotrocha batillus sp. nov
Owenia fusiformis
Paranaitis spp.
Pectinaria granulata
Pectinaria koreni
Perinereis cultrifera
Perinereis suluana
Phyllodoce groenlandica
Polydora ciliata
Polydora cornuta
Polydora spp.
Praxillella praetermissa
Pseudonereis anomala
Rhynchospio glutaea
Sabellastarte spp.
Scalibregma inflatum
Scoloplos cf. armiger
Spiochaetopterus costarum
Spiophanes bombyx
Spirobranchus polycerus
Streblospio benedicti
Syllis alternata
Syllis elongata
Terebellides stroemi
Vrijenhoekia spp.
Acartia spp.
Acartia tonsa
Aquilastacus serratus
Calanus marshallae
Centropages typicus
Cletocamptus deitersi
Coullana canadensis
Eucalanus hyalinus s.l.
Eurytemora affinis
Euterpina acutifrons
Mesocalanus tenuicornis
Metridia lucens
Nannocalanus minor
Nannocalanus minor
Nannopus palustris
Oncaea venusta
Paracalanus parvus
Pareucalanus sp.
Pleuromamma piseki
Pseudocyclops spp.
Rhincalanus nasutus
Rhincalanus rostrifrons
Subeucalanus crassus
Subeucalanus mucronatus
Subeucalanus pileatus
Tigriopus angulatus
Tigriopus californicus
Zausodes arenicolus
Ochthebius (calobius) quadricollis
Abyssorchomene spp.
Allogalathea spp.
Alpheus armillatus
Alpheus buckupi spec. nov
Alpheus cristulifrons
Alpheus floridanus
Alpheus heterochaelis
Alpheus nuttingi
Alpheus soror
Alpheus spp.
Alpheus spp.
Alpheus wonkimi sp. nov
Ampelisca eschrichti
Aristaeomorpha foliacea
Betamorpha fusiformis
Calcinus anani
Calcinus spp.
Callianassa kraussi
Caprella penantis
Carcinus spp.
Ciliopagurus strigatus
Ciliopagurus vakovako
Clibanarius vittatus
Cyathura polita
Emerita talpoida
Eumunida annulosa
Eurythenes gryllus
Eusirus giganteus
Eusirus perdentatus
Excirolana braziliensis
Exosphaeroma hylecoetes
Fungicola fagei
Gammarus sp.
Gammarus tigrinus
Glyptonotus Antarcticus
Gonodactylellus viridis
Haploniscus cucullus
Haptosquilla glyptocercus
Haptosquilla pulchella
Hemigrapsus takanoi
Hemimysis margalefi
Iolanthe drygalskii
Iphinoe truncata
Ischyrocerus anguipes
Jaera albifrons
Jassa sp.
Leptochelia Africana
