SpeciesName
Alpheus soror
Alpheus wonkimi
Hemimysis margalefi
Leptochelia Africana
Auritoglyptes bicornis
Armatoglyptes habei
Trevathana dentata
Neotrevathana elongata
Atherina boyeri
Rypticus saponaceous
Pycnoclavella brava
Mussismilia hartii
Clavactinia serrata
Bouillonactinia carcinicola
Stylactis serrata
Abditoconus brava
Crepipatella peruviana
Crepipatella occulta
Echinolittorina pascua
Gemmula monolifera
Melanochlamys lorrainae
Nassarius festina
Lepidochitona pseudoliozonis
Macintoshi lactea
Parmula parmula
Ototyphlonemertes santacruzensis
Cephalothrix alba
Phascolosoma agassizi
Themiste pyroides
