"","V1","V2"
"1","Pygoscelis adeliae","Chordata"
"2","Dissostichus mawsoni","Chordata"
"3","Euphausia superba","Arthropoda"
"4","Mirounga leonina","Chordata"
"5","Glabraster antarctica","Echinodermata"
"6","Odontaster validus","Echinodermata"
"7","Sterechinus neumayeri","Echinodermata"
"8","Nymphon australe","Arthropoda"
"9","Rossella racovitzae","Porifera"
"10","Pagodroma nivea","Chordata"
"11","Psilaster charcoti","Echinodermata"
"12","Aptenodytes forsteri","Chordata"
"13","Oithona similis","Arthropoda"
"14","Adamussium colbecki","Mollusca"
"15","Errina fissurata","Cnidaria"
"16","Flabellum (Flabellum) impensum","Cnidaria"
"17","Thalassoica antarctica","Chordata"
"18","Antarctotetilla leptoderma","Porifera"
"19","Diplasterias brucei","Echinodermata"
"20","Magellania fragilis","Brachiopoda"
"21","Notasterias armata","Echinodermata"
"22","Paraconotrochus antarcticus","Cnidaria"
"23","Magellania joubini","Brachiopoda"
"24","Calanoides acutus","Arthropoda"
"25","Austropallene cornigera","Arthropoda"
"26","Philobrya sublaevis","Mollusca"
"27","Promachocrinus kerguelensis","Echinodermata"
"28","Nototanais dimorphus","Arthropoda"
"29","Ophioplinthus gelida","Echinodermata"
"30","Inferiolabiata labiata","Cnidaria"
"31","Cheiraster (Luidiaster) gerlachei","Echinodermata"
"32","Ophiacantha antarctica","Echinodermata"
"33","Cyclocardia astartoides","Mollusca"
"34","Onoba kergueleni","Mollusca"
"35","Colossendeis robusta","Arthropoda"
"36","Limopsis marionensis","Mollusca"
"37","Cinachyra antarctica","Porifera"
"38","Adacnarca nitens","Mollusca"
"39","Colossendeis megalonyx","Arthropoda"
"40","Ophiacantha vivipara","Echinodermata"
"41","Thracia meridionalis","Mollusca"
"42","Parborlasia corrugatus","Nemertea"
"43","Liothyrella uva","Brachiopoda"
"44","Alacia belgicae","Arthropoda"
"45","Austrodecus glaciale","Arthropoda"
"46","Metridia gerlachei","Arthropoda"
"47","Macandrevia americana","Brachiopoda"
"48","Daption capense","Chordata"
"49","Caryophyllia (Caryophyllia) antarctica","Cnidaria"
"50","Homaxinella balfourensis","Porifera"
"51","Peribolaster macleani","Echinodermata"
"52","Ophionotus victoriae","Echinodermata"
"53","Calanus propinquus","Arthropoda"
