"","V1","V2"
"1",NA,NA
"2","Loligo reynaudii","Mollusca"
"3","Pachymetopon blochii","Chordata"
"4","Argyrozona argyrozona","Chordata"
"5","Aptenodytes patagonicus","Chordata"
"6","Chrysoblephus laticeps","Chordata"
"7","Atractoscion aequidens","Chordata"
"8","Chrysoblephus puniceus","Chordata"
"9","Cheimerius nufar","Chordata"
"10","Morus capensis","Chordata"
"11","Seriola lalandi","Chordata"
"12","Neophoca cinerea","Chordata"
"13","Pterogymnus laniarius","Chordata"
"14","Thunnus alalunga","Chordata"
"15","Euphausia superba","Arthropoda"
"16","Sebastes capensis","Chordata"
"17","Rhabdosargus globiceps","Chordata"
"18","Chrysoblephus anglicus","Chordata"
"19","Hoplostethus atlanticus","Chordata"
"20","Eudyptes chrysolophus","Chordata"
"21","Thalassarche melanophris","Chordata"
"22","Eudyptula minor","Chordata"
"23","Galeorhinus galeus","Chordata"
"24","Oithona similis","Arthropoda"
"25","Calanus simillimus","Arthropoda"
"26","Lobodon carcinophagus","Chordata"
"27","Thalassarche chrysostoma","Chordata"
"28","Pomatomus saltatrix","Chordata"
"29","Diomedea exulans","Chordata"
"30","Scomber japonicus","Chordata"
"31","Petrus rupestris","Chordata"
"32","Pygoscelis adeliae","Chordata"
"33","Sterna bergii","Chordata"
"34","Spondyliosoma emarginatum","Chordata"
"35","Chrysoblephus gibbiceps","Chordata"
"36","Squalus megalops","Chordata"
"37","Chrysoblephus cristiceps","Chordata"
"38","Thunnus albacares","Chordata"
"39","Genypterus capensis","Chordata"
"40","Puffinus tenuirostris","Chordata"
"41","Physeter macrocephalus","Chordata"
"42","Arctocephalus gazella","Chordata"
"43","Polysteganus praeorbitalis","Chordata"
"44","Pagodroma nivea","Chordata"
"45","Ctenocalanus vanus","Arthropoda"
"46","Argyrosomus thorpei","Chordata"
"47","Rhincalanus gigas","Arthropoda"
"48","Platycephalus bassensis","Chordata"
"49","Larus dominicanus","Chordata"
"50","Calanoides carinatus","Arthropoda"
"51","Calanus agulhensis","Arthropoda"
"52","Pachymetopon aeneum","Chordata"
"53","Scomberomorus commerson","Chordata"
"54","Procellaria aequinoctialis","Chordata"
"55","Thysanoessa macrura","Arthropoda"
"56","Eubalaena australis","Chordata"
"57","Trachurus capensis","Chordata"
"58","Cymatoceps nasutus","Chordata"
"59","Chelidonichthys capensis","Chordata"
"60","Merluccius hubbsi","Chordata"
"61","Pleoticus muelleri","Arthropoda"
"62","Daption capense","Chordata"
"63","Lithodes santolla","Arthropoda"
"64","Haliotis rubra","Mollusca"
"65","Megaptera novaeangliae","Chordata"
"66","Merluccius capensis","Chordata"
"67","Squalus acanthias","Chordata"
"68","Pagrus auratus","Chordata"
"69","Phoebetria palpebrata","Chordata"
"70","Macronectes giganteus","Chordata"
"71","Platycephalus richardsoni","Chordata"
"72","Drepanopus pectinatus","Arthropoda"
"73","Nemadactylus macropterus","Chordata"
"74","Thalassoica antarctica","Chordata"
"75","Aldrichetta forsteri","Chordata"
"76","Larus novaehollandiae","Chordata"
"77","Illex argentinus","Mollusca"
"78","Calanoides acutus","Arthropoda"
"79","Polysteganus coeruleopunctatus","Chordata"
"80","Halobaena caerulea","Chordata"
"81","Eukrohnia hamata","Chaetognatha"
"82","Psammobatis normani","Chordata"
"83","Fulmarus glacialoides","Chordata"
"84","Todaropsis eblanae","Mollusca"
"85","Oceanites oceanicus","Chordata"
"86","Ctenocalanus citer","Arthropoda"
"87","Clausocalanus laticeps","Arthropoda"
"88","Merluccius paradoxus","Chordata"
"89","Larus hartlaubii","Chordata"
"90","Mirounga leonina","Chordata"
"91","Stromateus brasiliensis","Chordata"
"92","Balaenoptera physalus","Chordata"
"93","Sterna hirundo","Chordata"
"94","Polysteganus undulosus","Chordata"
"95","Raja straeleni","Chordata"
"96","Patagonotothen ramsayi","Chordata"
"97","Mustelus antarcticus","Chordata"
"98","Heliocidaris erythrogramma","Echinodermata"
"99","Libidoclaea granaria","Arthropoda"
"100","Centrostephanus rodgersii","Echinodermata"
