"","Var1","Freq"
"1","Acanthocephala",8
"2","Annelida",2167
"3","Arthropoda",8630
"4","Brachiopoda",78
"5","Bryozoa",927
"6","Chaetognatha",31
"7","Chordata",6284
"8","Cnidaria",2173
"9","Ctenophora",16
"10","Dicyemida",14
"11","Echinodermata",1671
"12","Entoprocta",4
"13","Gastrotricha",2
"14","Hemichordata",16
"15","Kinorhyncha",4
"16","Mollusca",7097
"17","Nematoda",604
"18","Nemertea",95
"19","Phoronida",7
"20","Platyhelminthes",265
"21","Porifera",1811
"22","Priapulida",2
"23","Rotifera",81
"24","Sipuncula",47
"25","Tardigrada",8
"26","Xenacoelomorpha",29
