"","NameBeforeCor","acceptedName_wormsV1","genus_wormsV1","class_wormsV1","phylum_wormsV1","Timestamp","Article.ID.number","PremierNom","Article_authors","Article_year","Article_title","Article_journal","Article_vol","Article_start.Page","Article_end.Page","OLD_Nb_CScomplex_inArticle","OLD_nb_RemainingArticles","OLD_nb_RemovedArticles","Group_survey","MainDataType","GeneticMarker","Nb_CS","Morpho_diff","relativeDistribution","Eco_diff","Repro_diff","RIOK","Nig","Nsg","Nim","Nsm","Region","Comments","Larva","Habitat","adultDispersal","SpeciesName","acceptedName_wormsOLD","genus_wormsOLD","class_wormsOLD","phylum_wormsOLD","KeepFATE","acceptedName_worms","gs","yearb","genus_worms","class_worms","phylum_worms","Nb_CScomplex_inArticle","nb_RemainingArticles","nb_RemovedArticles","nb_art","nb_Articles_per_sp","orig_Nig","orig_Nsg","orig_Nim","orig_Nsm","Npol","Ntemp","Trop","Stemp","Spol","nb_zones","range_long_r100","range_lat_r100","CHull_r100","NbSitesUsed_r100","SimplifiedName","ncbi","mito","dna","Geo_diff","larv.pktro","larv.leci","larv.dd","larv.pel","larva","Hpelagic","Hcoastal","Hcoralreef","Hdeepsea","Hintertidal","Hseagrass","Hestuarine","Hcave","adultbenthic","adultpelagic","HabAdu","Demersal","HKKv2","HKKv3","Hsubstrate","HDifAccess","Dispers","DispAdult","noNeedTaxonSearch","genus","genusBC","Geo_dif3","symp","sympara","allop","NoMorphoDiff","StatMorphoDiff","DiagMorphoDiff","phylum_class","hard_skeleton","ferti","image","genitals","CSss","Sympatric"
"1","Abyssorchomene spp.",NA,"Abyssorchomene","Malacostraca","Arthropoda",NA,NA,"Abyssorchomene","FRANCE, SC",1994,"GENETIC POPULATION-STRUCTURE AND GENE FLOW AMONG DEEP-SEA AMPHIPODS, ABYSSORCHOMENE SPP, FROM 6 CALIFORNIA CONTINENTAL BORDERLAND BASINS","MARINE BIOLOGY",118,"67","77",1,1,0,"Arthropoda","Genetic, Morphological, Ecological","Allozymes",2,"Statistic","Allopatric","Yes",NA,TRUE,"831","12","100","5","Pacific",NA,NA,"Soft sediment, Deep sea","Demersal or benthic","Abyssorchomene spp.",NA,NA,"Malacostraca","Arthropoda","other",NA,NA,NA,"Abyssorchomene","Malacostraca","Arthropoda",1,NA,NA,NA,NA,"831","12","100","5",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Allopatric",NA,NA,NA,NA,NA,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,"Soft sediment, Deep sea,Demersal or benthic",TRUE,100,100,"Sediment","Difficult",NA,"Demersal or benthic",NA,NA,"Abyssorchomene","Allopatric",FALSE,FALSE,TRUE,FALSE,TRUE,FALSE,"Arthropoda_Malacostraca","Y","I","Y","Y",TRUE,FALSE
"2","Acartia spp.",NA,"Acartia","Copepoda","Arthropoda",NA,NA,"Acartia","MCKINNON, AD; KIMMERER, WJ; BENZIE, JAH",1992,"SYMPATRIC SIBLING SPECIES WITHIN THE GENUS ACARTIA (COPEPODA, CALANOIDA) - A CASE-STUDY FROM WESTERNPORT AND PORT PHILLIP BAYS, AUSTRALIA","JOURNAL OF CRUSTACEAN BIOLOGY",12,"239","259",1,1,0,"Arthropoda","Genetic, Morphological","Allozymes",2,"Statistic","Sympatric",NA,NA,TRUE,"97","4","161","7","Australia",NA,"Pelagic, Direct development, Brooding","Pelagic, Coastal","Pelagic, Coastal","Acartia spp.",NA,NA,"Copepoda","Arthropoda","other",NA,NA,NA,"Acartia","Hexanauplia","Arthropoda",1,NA,NA,NA,NA,"97","4","161","7",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Sympatric",FALSE,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,"Pelagic, Coastal,Pelagic, Coastal",FALSE,1000,1000,NA,"Normal","High","Pelagic",NA,NA,"Acartia","Sympatric",TRUE,TRUE,FALSE,FALSE,TRUE,FALSE,"Arthropoda_Hexanauplia",NA,NA,NA,NA,TRUE,TRUE
"3","Acropora spp.",NA,"Acropora","Anthozoa","Cnidaria",NA,NA,"Acropora","Nakajima, Yuichi; Nishikawa, Akira; Iguchi, Akira; Sakai, Kazuhiko",2012,"The population genetic approach delineates the species boundary of reproductively isolated corymbose acroporid corals","MOLECULAR PHYLOGENETICS AND EVOLUTION",63,"527","531",1,1,0,"Cnidaria","Genetic, Morphological, Reproductive","mtDNA, other nuclear, microsatellites",2,"Statistic","Allopatric, Sympatric","No","Yes",TRUE,"157","2",NA,NA,"Pacific","Habitat difference mentioned; is in another paper. Actual data on morphological and reproductive differences also in another paper.","Planktotroph, External fertilization","Coral reef","Demersal or benthic","Acropora spp.",NA,NA,"Anthozoa","Cnidaria","other",NA,NA,NA,"Acropora","Anthozoa","Cnidaria",1,NA,NA,NA,NA,"157","2",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Sympatric, Allopatric",TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,"Coral reef,Demersal or benthic",TRUE,10,10,NA,"Normal",NA,"Demersal or benthic",NA,NA,"Acropora","Sympatric, Allopatric",TRUE,TRUE,TRUE,FALSE,TRUE,FALSE,"Cnidaria_Anthozoa","Y","E","N","N",TRUE,TRUE
"4","Alcyonidium gelatinosum",NA,"Alcyonidium","Gymnolaemata","Bryozoa",NA,NA,"Alcyonidium","THORPE, JP; BEARDMORE, JA; RYLAND, JS",1978,"GENETIC EVIDENCE FOR CRYPTIC SPECIATION IN MARINE BRYOZOAN ALCYONIDIUM-GELATINOSUM","MARINE BIOLOGY",49,"27","32",1,1,0,"Bryozoa","Genetic, Morphological","Allozymes",2,"Diagnostic","Sympatric",NA,NA,TRUE,"99","3","99","3","Atlantic","larval info not given","Lecithotrophic","Rocky shore, Coastal, Intertidal or tide pools","Demersal or benthic, Coastal","Alcyonidium gelatinosum",NA,NA,"Gymnolaemata","Bryozoa","other",NA,NA,NA,"Alcyonidium","Gymnolaemata","Bryozoa",1,NA,NA,NA,NA,"99","3","99","3",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Sympatric",FALSE,TRUE,FALSE,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,"Rocky shore, Coastal, Intertidal or tide pools,Demersal or benthic, Coastal",TRUE,5,5,"Rocky","Easy",NA,"Demersal or benthic",NA,NA,"Alcyonidium","Sympatric",TRUE,TRUE,FALSE,FALSE,FALSE,TRUE,"Bryozoa_Gymnolaemata","Y","I","N","N",FALSE,TRUE
"5","Allogalathea spp.",NA,"Allogalathea","Malacostraca","Arthropoda",NA,NA,"Allogalathea","Cabezas, Patricia; Macpherson, Enrique; Machordom, Annie",2011,"Allogalathea (Decapoda: Galatheidae): a monospecific genus of squat lobster?","ZOOLOGICAL JOURNAL OF THE LINNEAN SOCIETY",162,"245","270",1,1,0,"Arthropoda","Genetic, Morphological","mtDNA, other nuclear",4,"Statistic","Sympatric",NA,NA,TRUE,"43","8","43","8","Indo-Pacific","larval info not given here",NA,"Soft sediment, lagoon","Demersal or benthic","Allogalathea spp.",NA,NA,"Malacostraca","Arthropoda","other",NA,NA,NA,"Allogalathea","Malacostraca","Arthropoda",1,NA,NA,NA,NA,"43","8","43","8",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Sympatric",NA,NA,NA,NA,NA,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,"Soft sediment, lagoon,Demersal or benthic",TRUE,10,10,"Sediment","Normal",NA,"Demersal or benthic",NA,NA,"Allogalathea","Sympatric",TRUE,TRUE,FALSE,FALSE,TRUE,FALSE,"Arthropoda_Malacostraca","Y","I","Y","Y",TRUE,TRUE
"6","Alpheus spp.",NA,"Alpheus","Malacostraca","Arthropoda",NA,NA,"Alpheus","Williams, ST; Knowlton, N; Weigt, LA; Jara, JA",2001,"Evidence for three major clades within the snapping shrimp genus Alpheus inferred from nuclear and mitochondrial gene sequence data","MOLECULAR PHYLOGENETICS AND EVOLUTION",20,"375","389",1,2,0,"Arthropoda","Genetic, Morphological, Ecological","mtDNA, other nuclear",7,"Statistic","Allopatric, Sympatric","No",NA,TRUE,"119","4","8","5","Pacific, Caribbean, Atlantic",NA,NA,"Coral reef, Soft sediment, Rocky shore, mangrove,echiuran burrows","Demersal or benthic, Coastal","Alpheus spp.",NA,NA,"Malacostraca","Arthropoda","keep",NA,NA,NA,"Alpheus","Malacostraca","Arthropoda",1,NA,NA,NA,NA,"119","4","8","5",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Sympatric, Allopatric",NA,NA,NA,NA,NA,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,"Coral reef, Soft sediment, Rocky shore, mangrove,echiuran burrows,Demersal or benthic, Coastal",TRUE,10,10,"Sediment and Rocky","Normal",NA,"Demersal or benthic",NA,NA,"Alpheus","Sympatric, Allopatric",TRUE,TRUE,TRUE,FALSE,TRUE,FALSE,"Arthropoda_Malacostraca","Y","I","Y","Y",TRUE,TRUE
"7","Aplus sp.",NA,"Aplus","Gastropoda","Mollusca","07/05/2023 21:19",96,"Aplus","Aissaoui, C; Puillandre, N; Bouchet, P; Fassio, G; Modica, MV; Oliverio, M",2016,"Cryptic diversity in Mediterranean gastropods of the genus Aplus (Neogastropoda: Buccinidae)","SCIENTIA MARINA",80,"521","533",NA,NA,0,"Mollusca","Genetic, Morphological","mtDNA",7,"Diagnostic","Allopatric, Sympatric",NA,NA,TRUE,"66","12","66","12","Mediterranean","4 recognized species now split into 7, but no connection between NS and the particular CS identified.","Lecithotrophic","Soft sediment, Rocky shore, Coastal, Intertidal or tide pools","Demersal or benthic","Aplus",NA,NA,NA,NA,"other",NA,NA,NA,"Aplus","Gastropoda","Mollusca",1,NA,NA,NA,NA,"66","12","66","12",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Sympatric, Allopatric",FALSE,TRUE,FALSE,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,"Soft sediment, Rocky shore, Coastal, Intertidal or tide pools,Demersal or benthic",TRUE,5,5,"Sediment and Rocky","Easy",NA,"Demersal or benthic",NA,NA,"Aplus","Sympatric, Allopatric",TRUE,TRUE,TRUE,FALSE,FALSE,TRUE,"Mollusca_Gastropoda","Y","B","Y","B",FALSE,TRUE
"8","Aurelia spp.",NA,"Aurelia","Scyphozoa","Cnidaria",NA,NA,"Aurelia","Dawson, MN; Sen Gupta, A; England, MH",2005,"Coupled biophysical global ocean model and molecular genetic analyses identify multiple introductions of cryptogenic species","PROCEEDINGS OF THE NATIONAL ACADEMY OF SCIENCES OF THE UNITED STATES OF AMERICA",102,"11968","11973",1,3,1,"Cnidaria","Genetic, Morphological, Ecological, Reproductive","mtDNA, other nuclear",13,"Statistic","Allopatric, Sympatric","Yes",NA,TRUE,"240","77","15","9","Global, Adriatic, Mediterranean",NA,"Pelagic, Demersal or benthic","Pelagic, Coastal also","Pelagic","Aurelia spp.",NA,NA,"Scyphozoa","Cnidaria","other",NA,NA,NA,"Aurelia","Scyphozoa","Cnidaria",1,NA,NA,NA,NA,"240","77","15","9",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Sympatric, Allopatric",FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,"Pelagic, Coastal also,Pelagic",FALSE,1000,1000,NA,"Normal","High","Pelagic",NA,NA,"Aurelia","Sympatric, Allopatric",TRUE,TRUE,TRUE,FALSE,TRUE,FALSE,"Cnidaria_Scyphozoa","N","E","N","N",TRUE,TRUE
"9","Bathytoma spp.",NA,"Bathytoma","Gastropoda","Mollusca",NA,NA,"Bathytoma","Puillandre, Nicolas; Sysoev, Alexander V.; Olivera, Baldomero M.; Couloux, Arnaud; Bouchet, Philippe",2010,"Loss of planktotrophy and speciation: geographical fragmentation in the deep-water gastropod genus Bathytoma (Gastropoda, Conoidea) in the western Pacific","SYSTEMATICS AND BIODIVERSITY",8,"371","394",1,1,0,"Mollusca","Genetic, Morphological","mtDNA, ITS",11,"Statistic","Allopatric","Yes",NA,TRUE,"138","23","101","23","Indo-Pacific",NA,"Direct development","unknown","Demersal or benthic","Bathytoma spp.",NA,NA,"Gastropoda","Mollusca","other",NA,NA,NA,"Bathytoma","Gastropoda","Mollusca",1,NA,NA,NA,NA,"138","23","101","23",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Allopatric",FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,"unknown,Demersal or benthic",TRUE,25,NA,NA,"Normal","Very low or null","Demersal or benthic",NA,NA,"Bathytoma","Allopatric",FALSE,FALSE,TRUE,FALSE,TRUE,FALSE,"Mollusca_Gastropoda","Y","B","Y","B",TRUE,FALSE
"10","Bostrycapulus spp.",NA,"Bostrycapulus","Gastropoda","Mollusca",NA,NA,"Bostrycapulus","Collin, R",2005,"Development, phylogeny, and taxonomy of Bostrycapulus (Caenogastropoda : Calyptraeidae), an ancient cryptic radiation","ZOOLOGICAL JOURNAL OF THE LINNEAN SOCIETY",144,"75","101",1,1,0,"Mollusca","Genetic, Morphological, Reproductive","mtDNA",8,"No differentiation","Allopatric",NA,NA,NA,"38","23","38","23","Global",NA,"Planktotroph, Direct development, Brooding","Rocky shore, Coastal, Intertidal or tide pools","Demersal or benthic, Coastal","Bostrycapulus spp.",NA,NA,"Gastropoda","Mollusca","other",NA,NA,NA,"Bostrycapulus","Gastropoda","Mollusca",1,NA,NA,NA,NA,"38","23","38","23",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Allopatric",TRUE,FALSE,TRUE,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,"Rocky shore, Coastal, Intertidal or tide pools,Demersal or benthic, Coastal",TRUE,5,5,"Rocky","Easy","Very low or null","Demersal or benthic",NA,NA,"Bostrycapulus","Allopatric",FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,"Mollusca_Gastropoda","Y","B","Y","B",TRUE,FALSE
