Year	Allozymes	Microsatellites	mtDNA	other_nuclear	ITS_or_28S
1963	1	0	0	0	0
1976	1	0	0	0	0
1978	3	0	0	0	0
1979	1	0	0	0	0
1980	2	0	0	0	0
1981	3	0	0	0	0
1982	1	0	0	0	0
1983	1	0	0	0	0
1984	1	0	0	0	0
1985	1	0	0	0	0
1986	3	0	0	0	0
1987	1	0	0	0	0
1988	3	0	0	0	0
1989	2	0	0	0	0
1990	1	0	0	0	0
1991	8	0	0	0	0
1992	8	0	0	0	0
1993	3	0	0	0	0
1994	11	0	1	0	0
1995	9	0	3	0	0
1996	5	0	7	0	0
1997	4	0	4	0	0
1998	7	0	3	0	0
1999	5	1	5	0	0
2000	4	0	6	0	0
2001	4	0	13	1	6
2002	4	0	10	0	2
2003	3	0	13	2	3
2004	5	0	14	3	2
2005	4	0	21	6	5
2006	5	2	24	3	3
2007	3	2	32	11	6
2008	5	8	28	12	3
2009	2	0	34	10	7
2010	3	3	43	13	8
2011	0	1	43	14	7
2012	3	2	48	16	13
2013	2	1	44	20	6
2014	0	6	51	26	6
2015	0	1	15	7	2
