Phylum	Class	Value	Variable	Class_num	z_score
Annelida	Clitellata	-2	4_Fertilization	26	-2.036700309
Annelida	Polychaeta	0	4_Fertilization	27	0
Arthropoda	Arachnida	2	4_Fertilization	46	2.036700309
Arthropoda	Branchiopoda	2	4_Fertilization	56	2.036700309
Arthropoda	Cephalocarida	2	4_Fertilization	58	2.036700309
Arthropoda	Chilopoda	2	4_Fertilization	48	2.036700309
Arthropoda	Collembola	2	4_Fertilization	49	2.036700309
Arthropoda	Copepoda	2	4_Fertilization	54	2.036700309
Arthropoda	Diplopoda	2	4_Fertilization	47	2.036700309
Arthropoda	Insecta	2	4_Fertilization	50	2.036700309
Arthropoda	Malacostraca	2	4_Fertilization	52	2.036700309
Arthropoda	Merostomata	-2	4_Fertilization	45	-2.036700309
Arthropoda	Ostracoda	2	4_Fertilization	51	2.036700309
Arthropoda	Pycnogonida	-2	4_Fertilization	44	-2.036700309
Arthropoda	Remipedia	2	4_Fertilization	57	2.036700309
Arthropoda	Tantulocarida	2	4_Fertilization	55	2.036700309
Arthropoda	Thecostraca	2	4_Fertilization	53	2.036700309
Brachiopoda	Craniata	-2	4_Fertilization	31	-2.036700309
Brachiopoda	Lingulata	-2	4_Fertilization	30	-2.036700309
Brachiopoda	Rhynchonellata	-2	4_Fertilization	29	-2.036700309
Bryozoa	Gymnolaemata	2	4_Fertilization	24	2.036700309
Chaetognatha	Sagittoidea	2	4_Fertilization	17	2.036700309
Chordata	Actinopterygii	-2	4_Fertilization	14	-2.036700309
Chordata	Ascidiacea	0	4_Fertilization	11	0
Chordata	Elasmobranchii	2	4_Fertilization	12	2.036700309
Chordata	Holocephali	2	4_Fertilization	13	2.036700309
Chordata	Leptocardii	-2	4_Fertilization	10	-2.036700309
Chordata	Mammalia	2	4_Fertilization	16	2.036700309
Chordata	Reptilia	2	4_Fertilization	15	2.036700309
Cnidaria	Anthozoa	-2	4_Fertilization	5	-2.036700309
Cnidaria	Cubozoa	2	4_Fertilization	8	2.036700309
Cnidaria	Hydrozoa	-2	4_Fertilization	9	-2.036700309
Cnidaria	Scyphozoa	-2	4_Fertilization	7	-2.036700309
Cnidaria	Staurozoa	NA	4_Fertilization	6	NA
Echinodermata	Asteroidea	-2	4_Fertilization	23	-2.036700309
Echinodermata	Crinoidea	-2	4_Fertilization	19	-2.036700309
Echinodermata	Echinoidea	-2	4_Fertilization	21	-2.036700309
Echinodermata	Holothuroidea	-2	4_Fertilization	20	-2.036700309
Echinodermata	Ophiuroidea	-2	4_Fertilization	22	-2.036700309
Hemichordata	Enteropneusta	-2	4_Fertilization	18	-2.036700309
Mollusca	Bivalvia	-2	4_Fertilization	36	-2.036700309
Mollusca	Caudofoveata	-2	4_Fertilization	38	-2.036700309
Mollusca	Cephalopoda	2	4_Fertilization	32	2.036700309
Mollusca	Gastropoda	0	4_Fertilization	35	0
Mollusca	Monoplacophora	-2	4_Fertilization	34	-2.036700309
Mollusca	Polyplacophora	-2	4_Fertilization	37	-2.036700309
Mollusca	Scaphopoda	-2	4_Fertilization	33	-2.036700309
Mollusca	Solenogastres	2	4_Fertilization	39	2.036700309
Nematoda	Chromadorea	2	4_Fertilization	41	2.036700309
Nematoda	Enoplea	2	4_Fertilization	40	2.036700309
Nemertea	Nemertea	-2	4_Fertilization	28	-2.036700309
Porifera	Calcarea	-2	4_Fertilization	4	-2.036700309
Porifera	Demospongiae	-2	4_Fertilization	3	-2.036700309
Porifera	Hexactinellida	-2	4_Fertilization	2	-2.036700309
Porifera	Homoscleromorpha	-2	4_Fertilization	1	-2.036700309
Rotifera	Eurotatoria	2	4_Fertilization	25	2.036700309
Tardigrada	Eutardigrada	2	4_Fertilization	43	2.036700309
Tardigrada	Heterotardigrada	2	4_Fertilization	42	2.036700309
Annelida	Clitellata	203	2_m1	26	-0.231140411
Annelida	Polychaeta	1524	2_m1	27	0.648267476
Arthropoda	Arachnida	64	2_m1	46	-0.323674625
Arthropoda	Branchiopoda	27	2_m1	56	-0.348306034
Arthropoda	Cephalocarida	3	2_m1	58	-0.364283165
Arthropoda	Chilopoda	6	2_m1	48	-0.362286023
Arthropoda	Collembola	7	2_m1	49	-0.36162031
Arthropoda	Copepoda	734	2_m1	54	0.122353599
Arthropoda	Diplopoda	3	2_m1	47	-0.364283165
Arthropoda	Insecta	396	2_m1	50	-0.102657654
Arthropoda	Malacostraca	5275	2_m1	52	3.145359818
Arthropoda	Merostomata	4	2_m1	45	-0.363617451
Arthropoda	Ostracoda	104	2_m1	51	-0.297046074
Arthropoda	Pycnogonida	160	2_m1	44	-0.259766103
Arthropoda	Remipedia	17	2_m1	57	-0.354963172
Arthropoda	Tantulocarida	0	2_m1	55	-0.366280306
Arthropoda	Thecostraca	319	2_m1	53	-0.153917614
Brachiopoda	Craniata	3	2_m1	31	-0.364283165
Brachiopoda	Lingulata	3	2_m1	30	-0.364283165
Brachiopoda	Rhynchonellata	37	2_m1	29	-0.341648897
Bryozoa	Gymnolaemata	215	2_m1	24	-0.223151846
Chaetognatha	Sagittoidea	29	2_m1	17	-0.346974607
Chordata	Actinopterygii	9157	2_m1	14	5.729660663
Chordata	Ascidiacea	267	2_m1	11	-0.18853473
Chordata	Elasmobranchii	761	2_m1	12	0.140327871
Chordata	Holocephali	32	2_m1	13	-0.344977465
Chordata	Leptocardii	11	2_m1	10	-0.358957455
Chordata	Mammalia	130	2_m1	16	-0.279737516
