Class	Value	Variable	Class_num	z_score
Anthozoa	-1.039545771	Residuals	5	-0.931476313
Staurozoa	-1.269036794	Residuals	6	-1.17359909
Cubozoa	0.485377423	Residuals	8	0.191398931
Hydrozoa	7.028676485	Residuals	9	5.408222888
Scyphozoa	5.605137693	Residuals	7	4.537350661
Leptocardii	1.18487828	Residuals	10	0.927873501
Ascidiacea	2.325909642	Residuals	11	1.811885841
Elasmobranchii	0.093298048	Residuals	12	-0.003305974
Holocephali	-0.813638443	Residuals	13	-0.682845619
Reptilia	0.378601041	Residuals	15	0.325593851
Mammalia	0.02915951	Residuals	16	0.106324639
Actinopterygii	-4.058327521	Residuals	14	-2.964998819
Sagittoidea	1.651963377	Residuals	17	1.288110832
Enteropneusta	0.073111217	Residuals	18	0.156837552
Crinoidea	-1.221082008	Residuals	19	-0.849014536
Holothuroidea	-0.829883228	Residuals	20	-0.617746006
Echinoidea	0.700261048	Residuals	21	0.419904886
Ophiuroidea	5.831878823	Residuals	22	3.961472324
Asteroidea	1.933382529	Residuals	23	1.282206953
Enoplea	-1.531673751	Residuals	40	-1.198762189
Chromadorea	-1.632079132	Residuals	41	-1.219691565
Heterotardigrada	1.706954531	Residuals	42	1.10641656
Eutardigrada	-0.276475803	Residuals	43	-0.177116037
Diplopoda	-0.458672431	Residuals	47	-0.251880673
Chilopoda	-0.715741442	Residuals	48	-0.375645456
Ostracoda	-2.591248055	Residuals	51	-1.542658765
Malacostraca	-2.413180874	Residuals	52	-1.400667764
Thecostraca	0.773462432	Residuals	53	0.649741758
Copepoda	-0.20023457	Residuals	54	0.084416126
Remipedia	-0.999124316	Residuals	56	-0.370513117
Cephalocarida	-0.398985976	Residuals	57	0.03384535
Branchiopoda	-1.315967999	Residuals	55	-0.484941678
Collembola	-0.572579883	Residuals	49	-0.004909209
Insecta	-3.137199769	Residuals	50	-1.497671091
Pycnogonida	0.560094335	Residuals	44	0.712275976
Merostomata	-0.505231549	Residuals	45	0.043322323
Arachnida	-0.430921298	Residuals	46	0.039934842
Clitellata	-0.881200625	Residuals	26	-0.181604843
Polychaeta	8.205397632	Residuals	27	4.882568798
Nemertea	3.834191554	Residuals	28	2.652442487
Rhynchonellata	-1.663415537	Residuals	29	-0.621433754
Lingulata	-0.507662214	Residuals	30	0.006619479
Craniata	-0.468880052	Residuals	31	-0.016724986
Eurotatoria	0.2851857	Residuals	25	0.367752199
Monoplacophora	-0.58078897	Residuals	34	-0.081233814
Gastropoda	-2.445312382	Residuals	35	-1.161634805
Bivalvia	-1.40224621	Residuals	36	-0.607297186
Polyplacophora	-1.900848827	Residuals	37	-0.927424529
Caudofoveata	-1.239700543	Residuals	38	-0.614050338
Solenogastres	-1.103876632	Residuals	39	-0.584205645
Scaphopoda	-1.538492912	Residuals	33	-0.784300167
Cephalopoda	3.592489143	Residuals	32	1.89469147
Gymnolaemata	-0.600851692	Residuals	24	-0.260151778
Homoscleromorpha	0.964577773	Residuals	1	0.595700217
Hexactinellida	-2.367869384	Residuals	2	-1.171044347
Calcarea	1.755738571	Residuals	4	0.90952486
