Class	Value	Variable	Class_num	z_score
Anthozoa	1621	Effort_sequencing	5	1.821124979
Staurozoa	9	Effort_sequencing	6	-0.736871221
Cubozoa	23	Effort_sequencing	8	-0.714655373
Hydrozoa	673	Effort_sequencing	9	0.316794708
Scyphozoa	68	Effort_sequencing	7	-0.64324729
Leptocardii	10	Effort_sequencing	10	-0.735284374
Ascidiacea	228	Effort_sequencing	11	-0.389351886
Elasmobranchii	710	Effort_sequencing	12	0.37550802
Holocephali	27	Effort_sequencing	13	-0.708307988
Reptilia	72	Effort_sequencing	15	-0.636899905
Mammalia	130	Effort_sequencing	16	-0.544862821
Actinopterygii	7866	Effort_sequencing	14	11.73097998
Sagittoidea	40	Effort_sequencing	17	-0.687678986
Enteropneusta	29	Effort_sequencing	18	-0.705134295
Crinoidea	146	Effort_sequencing	19	-0.519473281
Holothuroidea	201	Effort_sequencing	20	-0.432196735
Echinoidea	243	Effort_sequencing	21	-0.365549192
Ophiuroidea	331	Effort_sequencing	22	-0.225906719
Asteroidea	381	Effort_sequencing	23	-0.146564405
Enoplea	32	Effort_sequencing	40	-0.700373756
Chromadorea	232	Effort_sequencing	41	-0.383004501
Heterotardigrada	14	Effort_sequencing	42	-0.728936989
Eutardigrada	2	Effort_sequencing	43	-0.747979145
Diplopoda	3	Effort_sequencing	47	-0.746392298
Chilopoda	7	Effort_sequencing	48	-0.740044913
Ostracoda	105	Effort_sequencing	51	-0.584533978
Malacostraca	3999	Effort_sequencing	52	5.594645427
Thecostraca	299	Effort_sequencing	53	-0.2766858
Copepoda	621	Effort_sequencing	54	0.234278701
Remipedia	17	Effort_sequencing	57	-0.72417645
Cephalocarida	3	Effort_sequencing	58	-0.746392298
Branchiopoda	26	Effort_sequencing	56	-0.709894834
Tantulocarida	2	Effort_sequencing	55	-0.747979145
Collembola	8	Effort_sequencing	49	-0.738458067
Insecta	345	Effort_sequencing	50	-0.203690871
Pycnogonida	145	Effort_sequencing	44	-0.521060127
Merostomata	4	Effort_sequencing	45	-0.744805452
Arachnida	61	Effort_sequencing	46	-0.654355214
Clitellata	176	Effort_sequencing	26	-0.471867892
Polychaeta	1199	Effort_sequencing	27	1.15147585
Nemertea	92	Effort_sequencing	28	-0.60516298
Rhynchonellata	63	Effort_sequencing	29	-0.651181522
Lingulata	8	Effort_sequencing	30	-0.738458067
Craniata	3	Effort_sequencing	31	-0.746392298
Eurotatoria	20	Effort_sequencing	25	-0.719415912
Monoplacophora	3	Effort_sequencing	34	-0.746392298
Gastropoda	4106	Effort_sequencing	35	5.764437979
Bivalvia	1310	Effort_sequencing	36	1.327615787
Polyplacophora	171	Effort_sequencing	37	-0.479802124
Caudofoveata	7	Effort_sequencing	38	-0.740044913
Solenogastres	11	Effort_sequencing	39	-0.733697528
Scaphopoda	23	Effort_sequencing	33	-0.714655373
Cephalopoda	362	Effort_sequencing	32	-0.176714485
Gymnolaemata	191	Effort_sequencing	24	-0.448065198
Homoscleromorpha	29	Effort_sequencing	1	-0.705134295
Hexactinellida	50	Effort_sequencing	2	-0.671810523
Calcarea	71	Effort_sequencing	4	-0.638486751
Demospongiae	827	Effort_sequencing	3	0.561169035
Anthozoa	-0.210289304	Residuals	5	-0.188075471
Staurozoa	-0.570590493	Residuals	6	-0.896113528
Cubozoa	-0.78917623	Residuals	8	-1.325662544
Hydrozoa	2.279684184	Residuals	9	4.705041855
Scyphozoa	1.572534242	Residuals	7	3.315401503
Leptocardii	1.45429639	Residuals	10	3.083048956
Ascidiacea	2.602965353	Residuals	11	5.340330824
Elasmobranchii	-0.439413335	Residuals	12	-0.638333586
