Phylum	Class	Value	Variable	Class_num	z_score		
Annelida	Clitellata	-2	4_Fertilization	21	-2.061380947		
Annelida	Polychaeta	0	4_Fertilization	22	-0.061380947		
Arthropoda	Arachnida	2	4_Fertilization	40	1.938619053		
Arthropoda	Branchiopoda	2	4_Fertilization	49	1.938619053		
Arthropoda	Cephalocarida	2	4_Fertilization	51	1.938619053		
Arthropoda	Chilopoda	2	4_Fertilization	42	1.938619053		
Arthropoda	Collembola	2	4_Fertilization	43	1.938619053		
Arthropoda	Copepoda	2	4_Fertilization	47	1.938619053		
Arthropoda	Diplopoda	2	4_Fertilization	41	1.938619053		
Arthropoda	Malacostraca	2	4_Fertilization	45	1.938619053		
Arthropoda	Merostomata	-2	4_Fertilization	39	-2.061380947		
Arthropoda	Ostracoda	2	4_Fertilization	44	1.938619053		
Arthropoda	Pycnogonida	-2	4_Fertilization	38	-2.061380947		
Arthropoda	Remipedia	2	4_Fertilization	50	1.938619053		
Arthropoda	Tantulocarida	2	4_Fertilization	48	1.938619053		
Arthropoda	Thecostraca	2	4_Fertilization	46	1.938619053		
Brachiopoda	Craniata	-2	4_Fertilization	26	-2.061380947		
Brachiopoda	Lingulata	-2	4_Fertilization	25	-2.061380947		
Brachiopoda	Rhynchonellata	-2	4_Fertilization	24	-2.061380947		
Bryozoa	Gymnolaemata	2	4_Fertilization	19	1.938619053		
Chaetognatha	Sagittoidea	2	4_Fertilization	9	1.938619053		
Chordata	Actinopterygii	-2	4_Fertilization	16	-2.061380947		
Chordata	Ascidiacea	0	4_Fertilization	13	-0.061380947		
Chordata	Elasmobranchii	2	4_Fertilization	14	1.938619053		
Chordata	Holocephali	2	4_Fertilization	15	1.938619053		
Chordata	Mammalia	2	4_Fertilization	18	1.938619053		
Chordata	Reptilia	2	4_Fertilization	17	1.938619053		
Cnidaria	Anthozoa	-2	4_Fertilization	4	-2.061380947		
Cnidaria	Cubozoa	2	4_Fertilization	7	1.938619053		
Cnidaria	Hydrozoa	-2	4_Fertilization	8	-2.061380947		
Cnidaria	Scyphozoa	-2	4_Fertilization	6	-2.061380947		
Cnidaria	Staurozoa	NA	4_Fertilization	5	NA		
Echniodermata	Asteroidea	-2	4_Fertilization	12	-2.061380947		
Echniodermata	Crinoidea	-2	4_Fertilization	10	-2.061380947		
Echniodermata	Ophiuroidea	-2	4_Fertilization	11	-2.061380947		
Mollusca	Bivalvia	-2	4_Fertilization	31	-2.061380947		
Mollusca	Caudofoveata	-2	4_Fertilization	33	-2.061380947		
Mollusca	Cephalopoda	2	4_Fertilization	27	1.938619053		
Mollusca	Gastropoda	0	4_Fertilization	30	-0.061380947		
Mollusca	Monoplacophora	-2	4_Fertilization	29	-2.061380947		
Mollusca	Polyplacophora	-2	4_Fertilization	32	-2.061380947		
Mollusca	Scaphopoda	-2	4_Fertilization	28	-2.061380947		
Mollusca	Solenogastres	2	4_Fertilization	34	1.938619053		
Nematoda	Chromadorea	2	4_Fertilization	36	1.938619053		
Nematoda	Enoplea	2	4_Fertilization	35	1.938619053		
Nemertea	Nemertea	-2	4_Fertilization	23	-2.061380947		
