"","Var1","Freq"
"1","Acanthocephala",34
"2","Annelida",3592
"3","Arthropoda",14481
"4","Brachiopoda",98
"5","Bryozoa",667
"6","Chaetognatha",47
"7","Chordata",12855
"8","Cnidaria",4341
"9","Ctenophora",17
"10","Dicyemida",2
"11","Echinodermata",3155
"12","Entoprocta",5
"13","Gastrotricha",39
"14","Gnathostomulida",26
"15","Hemichordata",17
"16","Kinorhyncha",28
"17","Mollusca",11752
"18","Nematoda",618
"19","Nemertea",59
"20","Phoronida",3
"21","Platyhelminthes",897
"22","Porifera",3244
"23","Priapulida",1
"24","Rotifera",18
"25","Sipuncula",76
"26","Tardigrada",56
"27","Xenacoelomorpha",63
