Species	Phylum	IsInSurvey	year
Gadus_morhua	Chordata	No	1758
Clupea_harengus	Chordata	No	1758
Limanda_limanda	Chordata	No	NA
Merlangius_merlangus	Chordata	No	NA
MelaNogrammus_aeglefinus	Chordata	No	NA
Homarus_americanus	Arthropoda	No	NA
Fulmarus_glacialis	Chordata	No	NA
Hippoglossoides_platessoides	Chordata	No	NA
Pleuronectes_platessa	Chordata	No	1758
Loligo_reynaudii	Mollusca	No	NA
Uria_aalge	Chordata	No	NA
Morus_bassanus	Chordata	No	NA
Thunnus_albacares	Chordata	No	NA
Eutrigla_gurnardus	Chordata	No	NA
Mirounga_leonina	Chordata	No	NA
Platichthys_flesus	Chordata	No	NA
Sprattus_sprattus	Chordata	No	NA
Carcharhinus_amblyrhynchos	Chordata	No	NA
Rissa_tridactyla	Chordata	No	NA
Calanus_finmarchicus	Arthropoda	No	NA
Jasus_edwardsii	Arthropoda	No	NA
Xiphias_gladius	Chordata	No	1758
Larus_argentatus	Chordata	No	1763
Carcharhinus_melaNopterus	Chordata	No	NA
Pachymetopon_blochii	Chordata	No	NA
Anchoa_mitchilli	Chordata	No	NA
Pollachius_virens	Chordata	No	NA
Argyrozona_argyrozona	Chordata	No	NA
Trisopterus_esmarkii	Chordata	No	NA
Leiostomus_xanthurus	Chordata	No	NA
ApteNodytes_patagonicus	Chordata	No	NA
Thunnus_obesus	Chordata	No	NA
Amblyraja_radiata	Chordata	No	NA
Microstomus_kitt	Chordata	No	NA
Larus_marinus	Chordata	No	1758
Scomber_scombrus	Chordata	No	1758
Micropogonias_undulatus	Chordata	No	NA
Thunnus_alalunga	Chordata	No	NA
Chrysoblephus_laticeps	Chordata	No	NA
Temora_longicornis	Arthropoda	No	NA
Squalus_acanthias	Chordata	No	1758
Coryphaena_hippurus	Chordata	No	1758
Scyliorhinus_canicula	Chordata	No	NA
Katsuwonus_pelamis	Chordata	No	NA
Thalassoma_bifasciatum	Chordata	No	NA
Trisopterus_minutus	Chordata	No	NA
Atractoscion_aequidens	Chordata	No	NA
Trachurus_trachurus	Chordata	No	NA
Oithona_similis	Arthropoda	No	1866
Pygoscelis_adeliae	Chordata	No	NA
Seriola_lalandi	Chordata	Yes	NA
Chrysoblephus_puniceus	Chordata	No	NA
Pagrus_auratus	Chordata	No	NA
Callionymus_lyra	Chordata	No	1758
Scarus_iseri	Chordata	No	NA
Merluccius_merluccius	Chordata	No	NA
Cheimerius_nufar	Chordata	No	NA
Morus_capensis	Chordata	No	NA
Sparisoma_aurofrenatum	Chordata	No	NA
Glyptocephalus_cyNoglossus	Chordata	No	NA
Euphausia_superba	Arthropoda	No	NA
Pseudocalanus_elongatus	Arthropoda	No	NA
Neophoca_cinerea	Chordata	No	NA
Solea_solea	Chordata	Yes	NA
Limecola_balthica	Mollusca	Yes	NA
Pterogymnus_laniarius	Chordata	No	NA
Stegastes_partitus	Chordata	No	NA
Megaptera_Novaeangliae	Chordata	No	NA
Calanus_helgolandicus	Arthropoda	No	NA
Mytilus_edulis	Mollusca	Yes	1758
Peringia_ulvae	Mollusca	No	NA
Physeter_macrocephalus	Chordata	No	1758
BalaeNoptera_physalus	Chordata	No	NA
Puffinus_gravis	Chordata	No	NA
Centropages_typicus	Arthropoda	Yes	1849
Carcharhinus_leucas	Chordata	No	NA
Ocyurus_chrysurus	Chordata	No	NA
Bucephala_albeola	Chordata	No	NA
Halichoeres_bivittatus	Chordata	No	NA
Fratercula_arctica	Chordata	No	NA
Merluccius_bilinearis	Chordata	No	NA
Halichoeres_garNoti	Chordata	No	NA
Alca_torda	Chordata	No	1758
Scoloplos_armiger	Annelida	Yes	NA
Haemulon_plumierii	Chordata	No	NA
Sebastes_capensis	Chordata	No	NA
Tursiops_truncatus	Chordata	No	NA
Platycephalus_richardsoni	Chordata	No	NA
Lagodon_rhomboides	Chordata	No	NA
Acanthurus_coeruleus	Chordata	No	NA
Reinhardtius_hippoglossoides	Chordata	No	NA
Rhabdosargus_globiceps	Chordata	No	NA
Hoplostethus_atlanticus	Chordata	No	NA
Lobodon_carciNophagus	Chordata	No	NA
Kurtiella_bidentata	Mollusca	No	NA
Alosa_pseudoharengus	Chordata	No	NA
Acanthurus_bahianus	Chordata	No	NA
Argentina_sphyraena	Chordata	No	1758
Nephtys_hombergii	Annelida	No	1818
Callinectes_sapidus	Arthropoda	No	1896
Abra_alba	Mollusca	No	NA
Acanthocybium_solandri	Chordata	No	NA
Chelonia_mydas	Chordata	No	NA
Penaeus_aztecus	Arthropoda	No	NA
Centropages_hamatus	Arthropoda	No	NA
Galeorhinus_galeus	Chordata	No	NA
Ariopsis_felis	Chordata	No	NA
Enchelyopus_cimbrius	Chordata	No	NA
Limacina_retroversa	Mollusca	No	1823
Crocodylus_porosus	Chordata	No	NA
Limanda_ferruginea	Chordata	No	NA
Phocoena_phocoena	Chordata	No	NA
Myoxocephalus_scorpius	Chordata	No	NA
Delphinus_delphis	Chordata	No	1758
Somateria_mollissima	Chordata	No	NA
Micromesistius_poutassou	Chordata	No	NA
Chrysoblephus_anglicus	Chordata	No	NA
Corbula_gibba	Mollusca	No	NA
Calonectris_borealis	Chordata	No	NA
Larus_fuscus	Chordata	No	1758
Porites_lobata	Cnidaria	No	1846
Oceanites_oceanicus	Chordata	No	NA
Sparisoma_viride	Chordata	No	NA
Plectropomus_leopardus	Chordata	Yes	NA
Puffinus_griseus	Chordata	No	NA
Larus_canus	Chordata	No	1758
Lepidorhombus_whiffiagonis	Chordata	No	NA
Caretta_caretta	Chordata	No	NA
Hediste_diversicolor	Annelida	Yes	NA
Heteromastus_filiformis	Annelida	No	NA
Lutjanus_lutjanus	Chordata	No	NA
Eudyptes_chrysolophus	Chordata	No	NA
Metridia_longa	Arthropoda	No	NA
Prionace_glauca	Chordata	No	NA
Spiophanes_bombyx	Annelida	Yes	NA
Urophycis_tenuis	Chordata	No	NA
Thalassarche_melaNophris	Chordata	No	NA
Histrio_histrio	Chordata	No	NA
Alle_alle	Chordata	No	NA
Lepidocybium_flavobrunneum	Chordata	No	NA
Argyrosomus_hololepidotus	Chordata	No	NA
Pseudocalanus_minutus	Arthropoda	No	NA
Halichoeres_maculipinna	Chordata	No	NA
Acartia_(Acartiura)_longiremis	Arthropoda	No	NA
Mya_arenaria	Mollusca	No	1758
Penaeus_setiferus	Arthropoda	No	NA
Nemadactylus_macropterus	Chordata	No	NA
Calanus_glacialis	Arthropoda	No	NA
Eudyptula_miNor	Chordata	No	NA
Larus_glaucescens	Chordata	No	NA
Myoxocephalus_octodecemspiNosus	Chordata	No	NA
Puffinus_puffinus	Chordata	No	NA
ChioNoecetes_opilio	Arthropoda	No	NA
CyNoscion_arenarius	Chordata	No	NA
Acanthopagrus_australis	Chordata	No	NA
Gadus_chalcogrammus	Chordata	No	NA
Mugil_cephalus	Chordata	Yes	1758
Stegastes_variabilis	Chordata	No	NA
Acartia_(Acartiura)_clausi	Arthropoda	No	NA
Achoerodus_viridis	Chordata	No	NA
Pomatomus_saltatrix	Chordata	No	1767
Paraeuchaeta_Norvegica	Arthropoda	No	NA
Mallotus_villosus	Chordata	No	NA
Pygospio_elegans	Annelida	No	1863
TriaeNodon_obesus	Chordata	No	NA
Brevoortia_patronus	Chordata	No	NA
Buglossidium_luteum	Chordata	No	NA
Calanus_hyperboreus	Arthropoda	No	NA
Clangula_hyemalis	Chordata	No	NA
Negaprion_acutidens	Chordata	No	NA
Gavia_stellata	Chordata	No	NA
Boreogadus_saida	Chordata	No	NA
Melanitta_perspicillata	Chordata	No	NA
Thalassoma_duperrey	Chordata	No	NA
Sterna_hirundo	Chordata	No	1758
Calanus_simillimus	Arthropoda	No	NA
Agonus_cataphractus	Chordata	No	NA
Thalassarche_chrysostoma	Chordata	No	NA
Urophycis_chuss	Chordata	No	NA
Haemulon_flavolineatum	Chordata	No	NA
Elagatis_bipinnulata	Chordata	No	NA
Chelidonichthys_cuculus	Chordata	No	NA
Mergus_serrator	Chordata	No	1758
Phoca_vitulina	Chordata	No	1758
OceaNodroma_leucorhoa	Chordata	No	NA
ArNoglossus_laterna	Chordata	No	NA
Larus_philadelphia	Chordata	No	NA
Anarhichas_lupus	Chordata	No	1758
Pagodroma_nivea	Chordata	No	NA
Carcharhinus_falciformis	Chordata	No	NA
Lolliguncula_(Lolliguncula)_brevis	Mollusca	Yes	NA
Carcinus_maenas	Arthropoda	No	NA
Hippoglossoides_elassodon	Chordata	No	NA
Larus_occidentalis	Chordata	No	NA
Leptonychotes_weddellii	Chordata	No	NA
Diomedea_exulans	Chordata	No	1758
Coryphopterus_glaucofraenum	Chordata	No	NA
Gavia_immer	Chordata	No	NA
CteNocalanus_vanus	Arthropoda	No	NA
Lagis_koreni	Annelida	Yes	1866
Scomber_japonicus	Chordata	No	1782
Larus_michahellis	Chordata	No	NA
Uria_lomvia	Chordata	No	NA
Sterna_bergii	Chordata	No	NA
Pseudopleuronectes_americanus	Chordata	No	NA
Parapercis_colias	Chordata	No	NA
