Year	Not	In	No_prop	Yes_prop	Ratio	Ratio_proportion
1760	207	11	0.005133929	0.071428571	0.053140097	13.91304348
1770	45	2	0.001116071	0.012987013	0.044444444	11.63636364
1780	64	2	0.001587302	0.012987013	0.03125	8.181818182
1790	58	3	0.001438492	0.019480519	0.051724138	13.54231975
1800	72	4	0.001785714	0.025974026	0.055555556	14.54545455
1810	68	3	0.001686508	0.019480519	0.044117647	11.55080214
1820	192	3	0.004761905	0.019480519	0.015625	4.090909091
1830	203	7	0.005034722	0.045454545	0.034482759	9.028213166
1840	352	9	0.008730159	0.058441558	0.025568182	6.694214876
1850	487	12	0.012078373	0.077922078	0.024640657	6.451372037
1860	596	1	0.014781746	0.006493506	0.001677852	0.439292251
1870	928	9	0.023015873	0.058441558	0.009698276	2.539184953
1880	1204	9	0.029861111	0.058441558	0.007475083	1.957112655
1890	1572	4	0.038988095	0.025974026	0.002544529	0.666204025
1900	1434	6	0.035565476	0.038961039	0.0041841	1.095473564
1910	2215	7	0.054935516	0.045454545	0.003160271	0.827416376
1920	1701	6	0.0421875	0.038961039	0.003527337	0.923520924
1930	1396	3	0.034623016	0.019480519	0.002148997	0.562646523
1940	1162	5	0.028819444	0.032467532	0.004302926	1.126584259
1950	725	0	0.017981151	0	0	0
1960	1756	2	0.043551587	0.012987013	0.001138952	0.298198385
1970	2612	3	0.064781746	0.019480519	0.001148545	0.30071001
1980	3322	5	0.082390873	0.032467532	0.001505117	0.394067101
1990	4816	2	0.119444444	0.012987013	0.000415282	0.108728481
2000	4775	6	0.118427579	0.038961039	0.001256545	0.328986197
2010	5109	22	0.12671131	0.142857143	0.004306126	1.127422196
2020	3249	8	0.080580357	0.051948052	0.002462296	0.644673886
