Year	Not	In	Ratio
1750	1035	32	0.029990628
1760	387	16	0.039702233
1770	622	15	0.023547881
1780	583	9	0.015202703
1790	1062	19	0.017576318
1800	783	20	0.0249066
1810	1361	16	0.011619463
1820	2119	29	0.013500931
1830	3026	39	0.012724307
1840	5108	44	0.008540373
1850	5307	22	0.004128354
1860	6068	36	0.005897772
1870	6689	25	0.003723563
1880	9153	21	0.002289078
1890	7234	19	0.002619606
1900	12190	19	0.001556229
1910	8268	13	0.001569859
1920	7793	15	0.001921107
1930	7871	13	0.001648909
1940	4135	7	0.001690005
1950	9111	11	0.001205876
1960	10571	9	0.000850662
1970	12728	10	0.000785053
1980	15127	15	0.000990622
1990	14123	13	0.000919638
2000	16165	34	0.002098895
2010	8672	25	0.002874554
			
			
			
			
			
			
			
			
			
			
