Year	has_CS	Proportion
1750	No	0.00583786
1760	No	0.002182852
1770	No	0.003508356
1780	No	0.003288379
1790	No	0.005990152
1800	No	0.004416468
1810	No	0.007676645
1820	No	0.011952101
1830	No	0.017067984
1840	No	0.028811389
1850	No	0.029933838
1860	No	0.034226216
1870	No	0.037728932
1880	No	0.051626986
1890	No	0.040802974
1900	No	0.068757015
1910	No	0.046635193
1920	No	0.043955982
1930	No	0.044395937
1940	No	0.023323237
1950	No	0.051390087
1960	No	0.059625136
1970	No	0.071791574
1980	No	0.085323
1990	No	0.079659994
2000	No	0.091177781
2010	No	0.048913932
1750	Yes	0.058608059
1760	Yes	0.029304029
1770	Yes	0.027472527
1780	Yes	0.016483516
1790	Yes	0.034798535
1800	Yes	0.036630037
1810	Yes	0.029304029
1820	Yes	0.053113553
1830	Yes	0.071428571
1840	Yes	0.080586081
1850	Yes	0.04029304
1860	Yes	0.065934066
1870	Yes	0.045787546
1880	Yes	0.038461538
1890	Yes	0.034798535
1900	Yes	0.034798535
1910	Yes	0.023809524
1920	Yes	0.027472527
1930	Yes	0.023809524
1940	Yes	0.012820513
1950	Yes	0.02014652
1960	Yes	0.016483516
1970	Yes	0.018315018
1980	Yes	0.027472527
1990	Yes	0.023809524
2000	Yes	0.062271062
2010	Yes	0.045787546
