isInSurvey	year
TRUE	NA
TRUE	NA
TRUE	NA
TRUE	1758
TRUE	1849
TRUE	NA
TRUE	NA
TRUE	NA
TRUE	NA
TRUE	1758
TRUE	NA
TRUE	1866
TRUE	1835
TRUE	NA
TRUE	1843
TRUE	NA
TRUE	NA
TRUE	1841
TRUE	NA
TRUE	1758
TRUE	NA
TRUE	NA
TRUE	NA
TRUE	1758
TRUE	NA
TRUE	NA
TRUE	1802
TRUE	NA
TRUE	NA
TRUE	NA
TRUE	NA
TRUE	NA
TRUE	NA
TRUE	1786
TRUE	NA
TRUE	NA
TRUE	NA
TRUE	1767
TRUE	1825
TRUE	NA
TRUE	NA
TRUE	1842
TRUE	NA
TRUE	NA
TRUE	1843
TRUE	1879
TRUE	1798
TRUE	NA
TRUE	NA
TRUE	NA
TRUE	NA
TRUE	NA
TRUE	NA
TRUE	NA
TRUE	NA
TRUE	NA
TRUE	1758
TRUE	1843
TRUE	1974
TRUE	1907
TRUE	NA
TRUE	NA
TRUE	1846
TRUE	NA
TRUE	NA
TRUE	NA
TRUE	NA
TRUE	NA
TRUE	1798
TRUE	NA
TRUE	NA
TRUE	NA
TRUE	NA
TRUE	NA
TRUE	1846
TRUE	NA
TRUE	NA
TRUE	NA
TRUE	1819
TRUE	NA
TRUE	NA
TRUE	NA
TRUE	NA
TRUE	NA
TRUE	1862
TRUE	1826
TRUE	1833
TRUE	NA
TRUE	1797
TRUE	NA
TRUE	NA
TRUE	1840
TRUE	1939
TRUE	1818
TRUE	NA
TRUE	NA
TRUE	NA
TRUE	NA
TRUE	NA
TRUE	NA
TRUE	1758
TRUE	NA
TRUE	NA
TRUE	NA
TRUE	NA
TRUE	NA
TRUE	1822
TRUE	NA
TRUE	NA
TRUE	NA
TRUE	NA
TRUE	NA
TRUE	NA
TRUE	NA
TRUE	NA
TRUE	NA
TRUE	NA
TRUE	NA
TRUE	NA
TRUE	NA
TRUE	NA
TRUE	1925
TRUE	NA
TRUE	NA
TRUE	1846
TRUE	1758
TRUE	NA
TRUE	NA
TRUE	NA
TRUE	1879
TRUE	NA
TRUE	NA
TRUE	NA
TRUE	NA
TRUE	NA
TRUE	NA
TRUE	NA
TRUE	NA
TRUE	1767
TRUE	NA
TRUE	1829
TRUE	NA
TRUE	1758
TRUE	NA
TRUE	1840
TRUE	1789
TRUE	NA
TRUE	NA
TRUE	1837
TRUE	NA
TRUE	NA
TRUE	NA
TRUE	1996
TRUE	1838
TRUE	NA
TRUE	NA
TRUE	NA
TRUE	NA
TRUE	NA
TRUE	NA
TRUE	NA
TRUE	NA
TRUE	NA
TRUE	NA
TRUE	NA
TRUE	1758
TRUE	NA
TRUE	NA
TRUE	NA
TRUE	NA
TRUE	NA
TRUE	NA
TRUE	NA
TRUE	NA
TRUE	NA
TRUE	NA
TRUE	NA
TRUE	NA
TRUE	1902
TRUE	NA
TRUE	NA
TRUE	1908
TRUE	NA
TRUE	NA
TRUE	NA
TRUE	NA
TRUE	NA
TRUE	NA
TRUE	NA
TRUE	NA
TRUE	NA
TRUE	NA
TRUE	NA
TRUE	NA
TRUE	1875
TRUE	NA
TRUE	NA
TRUE	1992
TRUE	NA
TRUE	NA
TRUE	NA
TRUE	NA
TRUE	NA
TRUE	NA
TRUE	1888
TRUE	NA
TRUE	NA
TRUE	2001
TRUE	NA
TRUE	NA
TRUE	1846
TRUE	NA
TRUE	NA
TRUE	NA
TRUE	NA
TRUE	1826
TRUE	1873
TRUE	NA
TRUE	NA
TRUE	NA
TRUE	1878
TRUE	NA
TRUE	NA
TRUE	NA
TRUE	NA
TRUE	1954
TRUE	NA
TRUE	1871
TRUE	NA
TRUE	NA
TRUE	NA
TRUE	NA
TRUE	1758
TRUE	NA
TRUE	NA
TRUE	1913
TRUE	NA
TRUE	1912
TRUE	NA
TRUE	1862
TRUE	NA
TRUE	NA
TRUE	NA
TRUE	NA
TRUE	NA
TRUE	NA
TRUE	NA
TRUE	NA
TRUE	1801
TRUE	NA
TRUE	1852
TRUE	NA
TRUE	NA
TRUE	NA
TRUE	NA
TRUE	1847
TRUE	NA
TRUE	NA
TRUE	1939
TRUE	NA
TRUE	NA
TRUE	2002
TRUE	NA
TRUE	NA
TRUE	NA
TRUE	NA
TRUE	NA
TRUE	1802
TRUE	1862
TRUE	2005
TRUE	NA
TRUE	1961
TRUE	NA
TRUE	NA
TRUE	NA
TRUE	1912
TRUE	NA
TRUE	NA
TRUE	NA
TRUE	NA
TRUE	1885
TRUE	2012
TRUE	1758
TRUE	1822
TRUE	1865
TRUE	NA
TRUE	1899
TRUE	NA
TRUE	NA
TRUE	NA
TRUE	NA
TRUE	NA
TRUE	NA
TRUE	NA
TRUE	NA
TRUE	2008
TRUE	NA
TRUE	NA
TRUE	NA
TRUE	NA
TRUE	NA
TRUE	NA
TRUE	1868
TRUE	NA
TRUE	1834
TRUE	NA
TRUE	NA
TRUE	1994
TRUE	NA
TRUE	NA
TRUE	NA
TRUE	NA
TRUE	1954
TRUE	NA
TRUE	NA
TRUE	NA
TRUE	NA
TRUE	NA
TRUE	NA
TRUE	NA
TRUE	NA
TRUE	2011
TRUE	2004
TRUE	NA
TRUE	NA
TRUE	NA
TRUE	NA
TRUE	1818
TRUE	1913
TRUE	NA
TRUE	1798
TRUE	NA
TRUE	NA
TRUE	1774
TRUE	1920
TRUE	NA
TRUE	NA
TRUE	NA
TRUE	1971
TRUE	NA
TRUE	NA
TRUE	1840
TRUE	1901
TRUE	NA
TRUE	NA
TRUE	1908
TRUE	1865
TRUE	NA
TRUE	NA
TRUE	1786
TRUE	2007
TRUE	1963
TRUE	1848
TRUE	1990
TRUE	NA
TRUE	NA
TRUE	NA
TRUE	1880
TRUE	NA
TRUE	1930
TRUE	NA
TRUE	NA
TRUE	NA
TRUE	NA
TRUE	NA
TRUE	NA
TRUE	NA
TRUE	2005
TRUE	1891
TRUE	NA
TRUE	NA
TRUE	1880
TRUE	2005
TRUE	1876
TRUE	NA
TRUE	NA
TRUE	NA
TRUE	NA
TRUE	NA
TRUE	1993
TRUE	NA
TRUE	1998
TRUE	NA
TRUE	NA
TRUE	NA
TRUE	NA
TRUE	NA
TRUE	NA
TRUE	2013
TRUE	2011
TRUE	NA
TRUE	2006
TRUE	1967
TRUE	NA
TRUE	2001
TRUE	1821
TRUE	NA
TRUE	NA
TRUE	NA
TRUE	2002
TRUE	NA
TRUE	NA
TRUE	NA
TRUE	NA
TRUE	1773
TRUE	NA
TRUE	NA
TRUE	2006
TRUE	NA
TRUE	NA
TRUE	1990
TRUE	NA
TRUE	NA
TRUE	1900
TRUE	2008
TRUE	1897
TRUE	NA
TRUE	1831
TRUE	NA
TRUE	NA
TRUE	NA
TRUE	NA
