Year	Not	In	No_prop	Yes_prop	Ratio	Ratio_proportion	Ratio_total
1860	596	1	0.014781746	0.006493506	0.001677852	0.439292251	0.001675042
1870	928	9	0.023015873	0.058441558	0.009698276	2.539184953	0.009605123
1880	1204	9	0.029861111	0.058441558	0.007475083	1.957112655	0.007419621
1890	1572	4	0.038988095	0.025974026	0.002544529	0.666204025	0.002538071
1900	1434	6	0.035565476	0.038961039	0.0041841	1.095473564	0.004166667
1910	2215	7	0.054935516	0.045454545	0.003160271	0.827416376	0.003150315
1920	1701	6	0.0421875	0.038961039	0.003527337	0.923520924	0.003514938
1930	1396	3	0.034623016	0.019480519	0.002148997	0.562646523	0.002144389
1940	1162	5	0.028819444	0.032467532	0.004302926	1.126584259	0.00428449
1950	725	0	0.017981151	0	0	0	0
1960	1756	2	0.043551587	0.012987013	0.001138952	0.298198385	0.001137656
1970	2612	3	0.064781746	0.019480519	0.001148545	0.30071001	0.001147228
1980	3322	5	0.082390873	0.032467532	0.001505117	0.394067101	0.001502855
1990	4816	2	0.119444444	0.012987013	0.000415282	0.108728481	0.00041511
2000	4775	6	0.118427579	0.038961039	0.001256545	0.328986197	0.001254968
2010	5109	22	0.12671131	0.142857143	0.004306126	1.127422196	0.004287663
2020	3249	8	0.080580357	0.051948052	0.002462296	0.644673886	0.002456248
