nb_zones	isInSurvey	year
3	FALSE	1758
3	FALSE	1758
2	FALSE	NA
2	FALSE	NA
3	FALSE	NA
2	FALSE	NA
4	FALSE	NA
2	FALSE	NA
2	FALSE	1758
2	FALSE	NA
2	FALSE	NA
3	FALSE	NA
3	FALSE	NA
3	FALSE	NA
3	FALSE	NA
4	FALSE	NA
3	FALSE	NA
3	FALSE	NA
3	FALSE	NA
4	FALSE	NA
2	FALSE	NA
3	FALSE	1758
3	FALSE	1763
3	FALSE	NA
2	FALSE	NA
2	FALSE	NA
3	FALSE	NA
1	FALSE	NA
2	FALSE	NA
3	FALSE	NA
3	FALSE	NA
3	FALSE	NA
3	FALSE	NA
2	FALSE	NA
3	FALSE	1758
3	FALSE	1758
3	FALSE	NA
3	FALSE	NA
1	FALSE	NA
3	FALSE	NA
3	FALSE	1758
3	FALSE	1758
2	FALSE	NA
4	FALSE	NA
2	FALSE	NA
1	FALSE	NA
2	FALSE	NA
3	FALSE	NA
5	FALSE	1866
2	FALSE	NA
3	TRUE	NA
2	FALSE	NA
2	FALSE	NA
3	FALSE	1758
2	FALSE	NA
3	FALSE	NA
2	FALSE	NA
2	FALSE	NA
2	FALSE	NA
3	FALSE	NA
4	FALSE	NA
4	FALSE	NA
1	FALSE	NA
2	TRUE	NA
2	TRUE	NA
1	FALSE	NA
2	FALSE	NA
5	FALSE	NA
4	FALSE	NA
4	TRUE	1758
3	FALSE	NA
5	FALSE	1758
5	FALSE	NA
4	FALSE	NA
4	TRUE	1849
3	FALSE	NA
2	FALSE	NA
2	FALSE	NA
2	FALSE	NA
2	FALSE	NA
2	FALSE	NA
2	FALSE	NA
2	FALSE	1758
4	TRUE	NA
3	FALSE	NA
2	FALSE	NA
4	FALSE	NA
2	FALSE	NA
3	FALSE	NA
2	FALSE	NA
2	FALSE	NA
1	FALSE	NA
3	FALSE	NA
3	FALSE	NA
2	FALSE	NA
2	FALSE	NA
2	FALSE	NA
1	FALSE	1758
3	FALSE	1818
3	FALSE	1896
2	FALSE	NA
3	FALSE	NA
3	FALSE	NA
2	FALSE	NA
2	FALSE	NA
3	FALSE	NA
2	FALSE	NA
3	FALSE	NA
4	FALSE	1823
1	FALSE	NA
1	FALSE	NA
3	FALSE	NA
2	FALSE	NA
4	FALSE	1758
2	FALSE	NA
2	FALSE	NA
1	FALSE	NA
4	FALSE	NA
3	FALSE	NA
4	FALSE	1758
3	FALSE	1846
4	FALSE	NA
3	FALSE	NA
3	TRUE	NA
5	FALSE	NA
3	FALSE	1758
2	FALSE	NA
3	FALSE	NA
3	TRUE	NA
4	FALSE	NA
3	FALSE	NA
2	FALSE	NA
3	FALSE	NA
3	FALSE	NA
4	TRUE	NA
2	FALSE	NA
4	FALSE	NA
4	FALSE	NA
3	FALSE	NA
3	FALSE	NA
2	FALSE	NA
3	FALSE	NA
2	FALSE	NA
4	FALSE	NA
3	FALSE	1758
3	FALSE	NA
3	FALSE	NA
2	FALSE	NA
1	FALSE	NA
1	FALSE	NA
1	FALSE	NA
3	FALSE	NA
2	FALSE	NA
2	FALSE	NA
3	FALSE	NA
1	FALSE	NA
4	TRUE	1758
3	FALSE	NA
4	FALSE	NA
2	FALSE	NA
3	FALSE	1767
2	FALSE	NA
2	FALSE	NA
4	FALSE	1863
3	FALSE	NA
2	FALSE	NA
2	FALSE	NA
2	FALSE	NA
2	FALSE	NA
3	FALSE	NA
2	FALSE	NA
2	FALSE	NA
2	FALSE	NA
1	FALSE	NA
4	FALSE	1758
3	FALSE	NA
3	FALSE	NA
3	FALSE	NA
1	FALSE	NA
2	FALSE	NA
3	FALSE	NA
2	FALSE	NA
3	FALSE	1758
3	FALSE	1758
4	FALSE	NA
2	FALSE	NA
3	FALSE	NA
2	FALSE	1758
2	FALSE	NA
3	FALSE	NA
3	TRUE	NA
4	FALSE	NA
1	FALSE	NA
1	FALSE	NA
2	FALSE	NA
4	FALSE	1758
2	FALSE	NA
3	FALSE	NA
4	FALSE	NA
2	TRUE	1866
3	FALSE	1782
3	FALSE	NA
2	FALSE	NA
2	FALSE	NA
1	FALSE	NA
1	FALSE	NA
